,@form,gorman_lemma_1,gorman_lemma_2,gorman_lemma_3,gpt_lemma_1,gpt_lemma_2,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
1758,διεχρήσατο,,,,,,v3saim---,,,,διαχράω,,,,,,,,,,,,,,,,
1764,ἐξέλυεν,ἐκλύω,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1765,κατέδησεν,,,,καταδέω,,v3saia---,,,,,,,,,,,,,,,,,,,,
1781,ἀδελφιδοῦν,ἀδελφιδέος,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
1791,ἄθρουν,ἀθρόος,,,,,a-s---ma-,,,,,,,,,,,,,,,,,,,,
1794,μέγιστος,μέγας,,,,,a-s---mns,,,,,,,,,,,,,,,,,,,,
1799,πιστῷ,,,,πιστός,,n-s---nd-,,,,,,,,,,,,,,,,,,,,
1800,χρησόμενος,χράω,,,,,v-sfpmmn-,,,,,,,,,,,,,,,,,,,,
1806,περιῆν,,,,περίειμι,,v3siia---,,,,,,,,,,,,,,,,,,,,
1811,ὁμαλοῦς,ὁμαλής,,,,,a-s---fg-,,,,,,,,,,,,,,,,,,,,
1825,ἔλεγε,,,,λέγω,,v3siia---,,,,,,,,,,,,,,,,,,,,
1829,σῶος,,,,σῶος,,a-s---mn-,,,,,,,,,,,,,,,,,,,,
1838,ἐμφρόνως,ἔμφρων,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1846,εὐμαρῶς,εὐμαρής,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1853,Θρᾲξ,,,,Θρᾴξ,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
1857,μονομάχοις,,,,μονομάχος,,n-p---md-,,,,,,,,,,,,,,,,,,,,
1863,βιασάμενος,βιάω,,,βιάζω,,v-sapmmn-,,,,,,,,,,,,,,,,,,,,
1867,ὁδοιπόρων,,,,ὁδοιπόρος,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
1871,Βέσβιον,Βέσβιον,,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,
1881,ὑποστρατήγους,ὑποστράτηγος,,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
1884,μονομάχους,,,,μονομάχος,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
1903,λῃστηρίῳ,λῃστήριον,,,,,n-s---nd-,,,,,,,,,,,,,,,,,,,,
1904,ὅμοιον,,,,,,a-s---na-,,,,ὅμοιος,,,,,,,,,,,,,,,,
1906,ἡττῶντο,ἡσσάομαι,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
1909,περιέσπασεν,περισπάω,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1913,μονομάχου,,,,μονομάχος,,n-s---mg-,,,,,,,,,,,,,,,,,,,,
1915,ἑπτὰ,,,,ἑπτά,,m--------,n-s---fv-,,,,,,,,,,,,,,,,,,,
1920,θατέρου,ἕτερος,,,,,a-s---mg-,,,,,,,,,,,,,,,,,,,,
1923,τρισμυρίων,τρισμύριοι,,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,
1924,Γάργανον,Γάργανον,,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,
1925,μέρη,,μέρος,,,,n-s---fn-,n-p---na-,,,,,,,,,,,,,,,,,,,
1928,Ἀπεννίνων,,,,Ἀπέννινος,,n-p---ng-,,,,,,,,,,,,,,,,,,,,
1929,Κελτοὺς,,,,Κελτός,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
1951,προσιόντων,πρόσειμι,,,,,v-pppamg-,,,,,,,,,,,,,,,,,,,,
1954,Πικηνίτιδα,Πικηνῖτις,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1959,ἧσσα,ἧσσα,,,,,n-s---fn-,,,,,,,,,,,,,,,,,,,,
1960,ὁδοῦ,,,,ὁδός,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1962,γεγονὼς,γίγνομαι,,,,,v-srpamn-,,,,,,,,,,,,,,,,,,,,
1964,στρατιωτικῶς,στρατιωτικός,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1976,κεκτῆσθαι,κτάομαι,,,,,v--rne---,,,,,,,,,,,,,,,,,,,,
1978,χαλκὸν,χαλκός,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
1979,ὠνοῦντο,ὀνέομαι,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
1989,ἐξῄεσαν,ἔξειμι,,,ἐξέρχομαι,,v3piia---,,,,,,,,,,,,,,,,,,,,
1990,συνενεχθέντες,συμφέρω,,,,,v-pappmn-,,,,,,,,,,,,,,,,,,,,
1991,χεῖρας,χείρ,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
1996,ἐπανῄεσαν,ἐπάνειμι,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
1997,Τριέτης,τριέτης,,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,
2011,πλούτῳ,,,,πλοῦτος,,n-s---md-,,,,,,,,,,,,,,,,,,,,
2016,ἓξ,ἓξ,,,,,m--------,,,,,,,,,,,,,,,,,,,,
2022,ἡττημένων,ἡσσάομαι,,,,,v-pppemg-,,,,,,,,,,,,,,,,,,,,
2027,ἡττημένον,ἡσσάομαι,,,,,v-srpema-,,,,,,,,,,,,,,,,,,,,
2031,ὁποτέρως,ὁπότερος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2034,ἥττης,ἧσσα,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
2035,φανεὶς,φαίνω,,,,,v-sappmn-,,,,,,,,,,,,,,,,,,,,
2036,Σπαρτακείων,Σπαρτάκειος,,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,
2039,κατακανὼν,κατακαίνω,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
2042,λαμπρῶς,λαμπρός,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2046,καταλαβὼν,καταλαμβάνω,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
2048,ἀπετείχιζε,ἀποτειχίζω,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
2051,Σαυνίτιδα,Σαυνῖτις,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
2054,ἕω,ἠώς,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
2055,τοσούσδε,τοσόσδε,,,,,p-p---ma-,,,,,,,,,,,,,,,,,,,,
2058,ἀποθανόντων,,,,ἀποθνῄσκω,,v-papamg-,,,,,,,,,,,,,,,,,,,,
2064,ποθὲν,ποθέν,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2065,προσιόντας,πρόσειμι,,,,,v-pppama-,,,,,,,,,,,,,,,,,,,,
2068,ἠνώχλει,,,,ἐνοχλέω,,v3siia---,,,,,,,,,,,,,,,,,,,,
2069,περικαθημένοις,περικάθημαι,,,,,v-pppmmd-,,,,,,,,,,,,,,,,,,,,
2081,μεταιχμίῳ,μεταίχμιον,,,,,n-s---nd-,,,,,,,,,,,,,,,,,,,,
2084,πείσονται,πάσχω,,,πείθω,,v3pfim---,,,,,,,,,,,,,,,,,,,,
2089,αὑτοῖς,ἑαυτοῦ,,,,,p-p---md-,,,,,,,,,,,,,,,,,,,,
2106,παρόντων,πάρειμι,,,,,v-pppamg-,,,,,,,,,,,,,,,,,,,,
2115,ἐπανιόντα,ἐπάνειμι,,,,,v-sppama-,,,,,,,,,,,,,,,,,,,,
2116,ἀπογνοὺς,ἀπογιγνώσκω,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
2121,τοσῶνδε,τοσόσδε,,,,,a-p---fg-,,,,,,,,,,,,,,,,,,,,
2123,δορατίῳ,δοράτιον,,,,,n-s---nd-,,,,,,,,,,,,,,,,,,,,
2124,συγκάμψας,συγκάμπτω,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
2126,προβαλὼν,προβάλλω,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
2128,ἐπιόντας,,,,ἔπειμι,,v-pppama-,,,,,,,,,,,,,,,,,,,,
2133,ἀκόσμως,ἄκοσμος,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2148,ὁδόν,,,,ὁδός,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
2149,μησὶν,μείς,,,μήν,,n-p---md-,,,,,,,,,,,,,,,,,,,,
2154,μη,μη,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2162,δημάρχοις,δήμαρχος,,,,,n-p---md-,,,,,,,,,,,,,,,,,,,,
2165,ἐπανάξειν,ἐπανάγω,,,,,v--fna---,,,,,,,,,,,,,,,,,,,,
2174,Ἰβηρικὸν,Ἰβηρικός,,,,,a-s---ma-,,,,,,,,,,,,,,,,,,,,
2178,προδιαλῦσαι,,,,προδιαλύω,,v--ana---,,,,,,,,,,,,,,,,,,,,
2183,ἐδέοντο,δέω,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
2184,προκαθημένων,προκάθημαι,,,,,v-pppmfg-,,,,,,,,,,,,,,,,,,,,
2189,προύλεγον,,,,προλέγω,,v3piia---,,,,,,,,,,,,,,,,,,,,
2194,ταπεινῶς,ταπεινός,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2204,ὑπανίστατο,ὑπανίσταμαι,,,,,v3siie---,,,,,,,,,,,,,,,,,,,,
2209,ἀπέστη,,,,ἀφίστημι,,v3saim---,,,,,,,,,,,,,,,,,,,,
2220,·,,,,,,,,,,·,,,,,,,,,,,,,,,,
2221,.,,,,,,,,,,.,,,,,,,,,,,,,,,,
2222,οὐδὲ,,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,
2223,δ᾽,,,,δέ,,,,,,,,,,,,,,,,,,,,,,
2224,ἀπ᾽,,,,ἀπό,,,,,,,,,,,,,,,,,,,,,,
2225,οὐδ᾽,,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,
2226,ἐφ᾽,,,,ἐπί,,,,,,,,,,,,,,,,,,,,,,
2227,καθ᾽,,,,κατά,,,,,,,,,,,,,,,,,,,,,,
2228,πείθεο,,,,πείθω,,,,,,,,,,,,,,,,,,,,,,
2229,οὐδʼ,,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,
2230,κ- ἀγὼ,,,,καί,ἐγώ,,,,,,,,,,,,,,,,,,,,,
2231,τοὐναντίον,,,,τὸ ἐναντίον,,,,,,,ἐναντίος,,,,,,,,,,,,,,,
2232,οὔτε,,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,
2233,τεῖχη,,,,τεῖχος,,,,,,,,,,,,,,,,,,,,,,
2234,εἰσών,,,,εἴσειμι,,,,,,,,,,,,,,,,,,,,,,
2235,Κόιντος,,,,Κόιντος,,,,,,,,,,,,,,,,,,,,,,
2236,δῆλον,,,,δῆλος,,,,,,,,,,,,,,,,,,,,,,
2237,τἆλλα,,,,ἄλλος,,,,,,,,,,,,,,,,,,,,,,
2238,. ,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,παντός,,,,πᾶς,,,,,,,,,,,,,,,,,,,,,,
2240,τοιαῦτα,,,,τοιοῦτος,,,,,,,,,,,,,,,,,,,,,,
2241,...,,,,,,,,,,,,,,,,,,,,,,,,,,
2242,οὐδέ,,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,
2243,(,,,,,,,,,,,(,,,,,,,,,,,,,,,
2244,),,,,,,,,,,,),,,,,,,,,,,,,,,
2245,· ,,,,,,,,,,,,,,,,,,,,,,,,,,
2246,γεγονώς,,,,γίγνομαι,,,,,,,,,,,,,,,,,,,,,,
2247,κεκτη̂σθαι,,,,κτάομαι,,,,,,,,,,,,,,,,,,,,,,
2248,χαλκόν,,,,χαλκός,,,,,,,,,,,,,,,,,,,,,,
2249,φανείς,,,,φαίνω,,,,,,,,,,,,,,,,,,,,,,
2250,κατακανών,,,,κατακαίνω,,,,,,,,,,,,,,,,,,,,,,
2251,καταλαβών,,,,καταλαμβάνω,,,,,,,,,,,,,,,,,,,,,,
2252,ἑπτά,,,,ἑπτά,,,,,,,,,,,,,,,,,,,,,,
2253,ποθέν,,,,ποθέν,,,,,,,,,,,,,,,,,,,,,,
2254,ᾖει,,,,εἶμι,,,,,,,,,,,,,,,,,,,,,,
2255,μηρόν,,,,μηρός,,,,,,,,,,,,,,,,,,,,,,
2256,προβαλών,,,,προβάλλω,,,,,,,,,,,,,,,,,,,,,,
2257,ἑαυτούς,,,,ἑαυτοῦ,,,,,,,,,,,,,,,,,,,,,,
2258,τούδε,,,,ὅδε,,,,,,,,,,,,,,,,,,,,,,
2259,μηδὲ,,,,μηδέ,,,,,,,,,,,,,,,,,,,,,,
2260,Ἰβηρικόν,,,,Ἰβηρικός,,,,,,,,,,,,,,,,,,,,,,
2261,..,,,,,,,,,,,,,,,,,,,,,,,,,,
