,@form,gorman_lemma_1,gorman_lemma_2,gpt_lemma_1,gpt_lemma_2,gpt_lemma_3,postag_1,postag_2,postag_3,postag_4,postag_5,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
1711,δεδειγμένον,δείκνυμι,,,,,v-srpenn-,,,,,,,,,,,,,,,,,,,,,
1716,δοκῶσιν,,,δοκέω,,,v3ppsa---,,,,,,,,,,,,,,,,,,,,,
1727,ἀποδειχθῆναι,ἀποδείκνυμι,,,,,v--anp---,,,,,,,,,,,,,,,,,,,,,
1734,τεκμηραμένους,τεκμαίρομαι,,,,,v-papmma-,,,,,,,,,,,,,,,,,,,,,
1737,ἀσφαλῶς,ἀσφαλής,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
1743,πιστότατα,,,πιστός,,,a-p---nas,,,,,,,,,,,,,,,,,,,,,
1756,ἱεροῖς,ἱερόν,,ἱερός,,,n-p---nd-,,,,,,,,,,,,,,,,,,,,,
1762,ἱερὰ,ἱερόν,,ἱερός,,,n-p---na-,n-p---nn-,,,,,,,,,,,,,,,,,,,,
1769,ἐχρήσαντο,,,,,,v3paim---,,,,,χράω,,,,,,,,,,,,,,,,
1770,πλοῖς,πλόος,,,,,n-p---md-,,,,,,,,,,,,,,,,,,,,,
1773,οὐχὶ,οὐ,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
1774,ἀξιῶ,,,ἀξιόω,,,v1spia---,,,,,,,,,,,,,,,,,,,,,
1781,παρόντος,,,,,,v-sppamg-,,,,,πάρειμι,,,,,,,,,,,,,,,,
1788,μαρτύρων,,,μάρτυς,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,
1799,μέμνημαι,,,μιμνῄσκω,,,v1srie---,,,,,,,,,,,,,,,,,,,,,
1801,δεῖν,,,,,,v--pna---,,,,,δέω,,,,,,,,,,,,,,,,
1803,σῴζει,,,σῴζω,,,v2spie---,,,,,,,,,,,,,,,,,,,,,
1804,νόμιμα,,,νόμιμος,,,n-p---nn-,,,,,,,,,,,,,,,,,,,,,
1817,εἰσιν,εἰμί,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,
1824,τῷδε,ὅδε,,,,,a-s---md-,,,,,,,,,,,,,,,,,,,,,
1835,σύμμαχοί,σύμμαχος,,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,,
1837,πολεμιώτατοι,πολέμιος,,,,,a-p---mns,,,,,,,,,,,,,,,,,,,,,
1849,ξυνειδὼς,σύνοιδα,,,,,v-srpamn-,,,,,,,,,,,,,,,,,,,,,
1856,τόμια,τόμιον,,,,,n-p---nn-,,,,,,,,,,,,,,,,,,,,,
1860,διαφέροντά,διαφέρω,,,,,v-pppann-,,,,,,,,,,,,,,,,,,,,,
1868,ἀσέβειά,ἀσέβεια,,,,,n-s---fn-,,,,,,,,,,,,,,,,,,,,,
1883,ἀμὲ,ἐγώ,,,,,p-s---md-,,,,,,,,,,,,,,,,,,,,,
1889,ἀκεῖ,ἐκεῖ,,,,,d--------,,,,,,,,,,,,,,,,,,,,,
1904,χρησαμένους,χράω,,,,,v-papmma-,,,,,,,,,,,,,,,,,,,,,
1906,ἔλαττόν,ἐλαχύς ,,,,,a-s---nnc,,,,,,,,,,,,,,,,,,,,,
1910,βλάβος,βλάβος,,,,,n-s---nn-,,,,,,,,,,,,,,,,,,,,,
1914,μετεμέλησεν,μεταμέλομαι,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,,
1915,ἀπολωλεκόσι,ἀπόλλυμι,,,,,v-prpamd-,,,,,,,,,,,,,,,,,,,,,
1927,ποιοῖτο,ποιέω,,,,,v3spoe---,,,,,,,,,,,,,,,,,,,,,
1935,ξυνῄδη,σύνοιδα,,,,,v1slia---,,,,,,,,,,,,,,,,,,,,,
1936,πλέονος,πολύς,,,,,a-s---ngc,,,,,,,,,,,,,,,,,,,,,
1940,συνειδότι,σύνοιδα,,,,,v-srpamd-,,,,,,,,,,,,,,,,,,,,,
1943,ἀπειρηκὸς,ἀπολέγω ,,,,,v-srpana-,,,,,,,,,,,,,,,,,,,,,
1945,συνεξέσωσεν,,,συνεκῴζω,,,v3saia---,,,,,,,,,,,,,,,,,,,,,
1948,ξυνειδέναι,σύνοιδα,,,,,v--rna---,,,,,,,,,,,,,,,,,,,,,
1950,ξυνειδότι,σύνοιδα,,,,,v-srpamd-,,,,,,,,,,,,,,,,,,,,,
1971,πολὺς,πολύς,,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,,
1976,ψηφίσασθαι,,,ψηφίζω,,,v--ane---,,,,,,,,,,,,,,,,,,,,,
1983,τοί,τοι,,σύ,,,d--------,,,,,,,,,,,,,,,,,,,,,
1990,ἀποθανόντι,,,ἀποθνῄσκω,,,v-sapamd-,,,,,,,,,,,,,,,,,,,,,
1993,διομοσάμενοι,διόμνυμι,,,,,v-papmmn-,,,,,,,,,,,,,,,,,,,,,
2003,ἔνεστι,,,ἔνειμι,,,v3spia---,,,,,,,,,,,,,,,,,,,,,
2005,:,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,—,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,[,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,],,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,τοὐναντίον,,,,,,,,,,,,ἐναντίος,,,,,,,,,,,,,,,
2011,μηδὲ,,,μηδέ,,,,,,,,,,,,,,,,,,,,,,,,
2012,μηδ᾽,,,μηδέ,,,,,,,,,,,,,,,,,,,,,,,,
2013,οὐδὲ,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,
2014,Θρᾴξιν,,,Θρᾷξ,,,,,,,,,,,,,,,,,,,,,,,,
2015,Θρᾴκες,,,Θρᾷξ,,,,,,,,,,,,,,,,,,,,,,,,
2016,οὔτε,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,,
2017,οὐδ᾽,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,
2018,οὔτ᾽,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,,
2019,;,,,,,,,,,,,;,,,,,,,,,,,,,,,,
2020,τ-*,,,*,,,,,,,,,,,,,,,,,,,,,,,,
2021,οὔ -τε,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,,
2022,οὔ -τ᾽,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,,
2023,οὐ -δὲ,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,
2024,κ᾽,,,καί,,,,,,,,,,,,,,,,,,,,,,,,
2025,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,οὐδέ,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,
2027,[ μὴ ],,,μή,,,,,,,,,,,,,,,,,,,,,,,,
2028,[ Ἐφιάλτην ],,,Ἐφιάλτης,,,,,,,,,,,,,,,,,,,,,,,,
2029,οὐδενός,,,οὐδείς,,,,,,,,,,,,,,,,,,,,,,,,
2030,κακείνῳ,,,καὶ ἐκεῖνος,,,,,,,,,,,,,,,,,,,,,,,,
2031,εἰσίν,,,εἰμί,,,,,,,,,,,,,,,,,,,,,,,,
2032,κριταί,,,κριτής,,,,,,,,,,,,,,,,,,,,,,,,
2033,σύμμαχοι,,,σύμμαχος,,,,,,,,,,,,,,,,,,,,,,,,
2034,διαφέροντα,,,διαφέρω,,,,,,,,,,,,,,,,,,,,,,,,
2035,ἀσέβεια,,,ἀσέβεια,,,,,,,,,,,,,,,,,,,,,,,,
2036,δικαστάς,,,δικαστής,,,,,,,,,,,,,,,,,,,,,,,,
2037,κἀμὲ,,,καὶ ἐγώ,,,,,,,,,,,,,,,,,,,,,,,,
2038,κἀκεῖ,,,καὶ ἐκεῖ,,,,,,,,,,,,,,,,,,,,,,,,
2039,ἔλαττον,ἐλαχύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,ποιεῖτο,,,ποιέω,,,,,,,,,,,,,,,,,,,,,,,,
2041,πολύς,,,πολύς,,,,,,,,,,,,,,,,,,,,,,,,
