,@form,gorman_lemma_1,gorman_lemma_2,gorman_lemma_3,gpt_lemma_1,gpt_lemma_2,gpt_lemma_3,gpt_lemma_4,gpt_lemma_5,postag_1,postag_2,postag_3,postag_4,postag_5,postag_6,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
1527,Ἀταρνέα,Ἀταρνεύς,,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,,
1539,ἔλαττον,,,,,,,,,a-s---nac,a-s---nnc,,,,,,ἐλαχύς,,,,,,,,,,,,,,,
1542,εἰπὼν,,,,λέγω,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,,,
1543,Αὐτοφραδάτην,Αὐτοφραδάτης,,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,,
1561,ἄπειρον,,,,ἄπειρος,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,,
1563,ἄπειρος,,,,ἄπειρος,,,,,a-s---fn-,,,,,,,,,,,,,,,,,,,,,,
1573,ἥττους,κακός,,,,,,,,a-p---mnc,,,,,,,,,,,,,,,,,,,,,,
1578,πλοῦτος,,,,πλοῦτος,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,,,
1583,ἐπίπλων,ἔπιπλα,,,,,,,,n-p---ng-,,,,,,,,,,,,,,,,,,,,,,
1584,ζητητέον,ζητητέος,,,,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,,,
1585,ἐατέον,ἐατέος,,,,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,,,
1597,Ἀθήνησι,Ἀθήνησι,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1600,εἰρηκὼς,,,,λέγω,,,,,v-srpamn-,,,,,,,,,,,,,,,,,,,,,,
1608,περιττότερος,περισσός,,,,,,,,a-s---mnc,,,,,,,,,,,,,,,,,,,,,,
1624,ἐνεχείρησέ,ἐγχειρέω,,,,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,,,
1657,ἁπλῶς,,,,,,,,,d--------,,,,,,ἁπλόος,,,,,,,,,,,,,,,,
1675,Ἀθήναις,,,,Ἀθῆναι,,,,,n-p---fd-,,,,,,,,,,,,,,,,,,,,,,
1693,κυριωτάτας,κύριος,,,,,,,,a-p---fas,,,,,,,,,,,,,,,,,,,,,,
1695,φιλικῶς,φιλικός,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1703,τροφὴν,τροφή,,,,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,,,
1704,εὐλόγως,εὔλογος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1705,ἦσάν,,,,εἰμί,,,,,v3paia---,,,,,,,,,,,,,,,,,,,,,,
1724,καρπῶν,,,,καρπός,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,,
1727,τίνος,τις,,,,,,,,p-s---ng-,,,,,,,,,,,,,,,,,,,,,,
1740,δικαστὴν,δικαστής,,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,,
1742,διαίτῃ,δίαιτα,,,,,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,,,
1744,κοινολογοῦνται,κοινολογέομαι,,,,,,,,v3ppie---,,,,,,,,,,,,,,,,,,,,,,
1747,δικασταὶ,δικαστής,,,,,,,,n-p---mn-,,,,,,,,,,,,,,,,,,,,,,
1748,κοινολογῶνται,κοινολογέομαι,,,,,,,,v3ppse---,,,,,,,,,,,,,,,,,,,,,,
1753,δικαστὴς,δικαστής,,,,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,,,
1757,εἴκοσι,,,,εἴκοσιν,,,,,m--------,,,,,,,,,,,,,,,,,,,,,,
1761,πλέον,,,,πολύς,,,,,a-s---nac,,,,,,,,,,,,,,,,,,,,,,
1767,διαλογῆς,διαλογή,,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,,
1778,εὑρίσκουσί,εὑρίσκω,,,,,,,,v-pppamd-,,,,,,,,,,,,,,,,,,,,,,
1779,γίνεσθαί,γίγνομαι,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
1781,ἀσφαλὲς,ἀσφαλής,,,,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,,,
1788,ἐμπίπτει,,,,ἐμπίπτω,,,,,v3spia---,,,,,,,,,,,,,,,,,,,,,,
1791,ἀποροῦσι,,,,ἀπορέω,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,,
1792,βλαβερὸν,βλαβερός,,,,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,,,
1795,λεχθέντι,,,,λέγω,,,,,v-sappnd-,,,,,,,,,,,,,,,,,,,,,,
1796,ταχὺ,ταχύς,,,,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,,
1798,εἰσηγεῖσθαί,εἰσηγέομαι,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
1803,εἴπομεν,,,,,λέγω,,,,v1paia---,,,,,,,,,,,,,,,,,,,,,,
1808,ἰατρικὴ,ἰατρικός,,,,,,,,a-s---fn-,,,,,,,,,,,,,,,,,,,,,,
1811,γυμναστικὴ,γυμναστικός,,,,,,,,a-s---fn-,,,,,,,,,,,,,,,,,,,,,,
1814,θετέον,θετέος,,,,,,,,a-s---nn-,,,,,,,,,,,,,,,,,,,,,,
1819,ἁπλοῦς,ἁπλόος,,,,,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,,,
1821,ἐσιδηροφοροῦντό,σιδηροφορέω,,,,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,,,
1823,ἐωνοῦντο,ὠνέομαι,,,,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,,,
1831,μαρτύρων,,,,μάρτυς,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,,
1839,τἀγαθὸν,ἀγαθός,,,τὸ ἀγαθόν,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,,
1841,πρώτους,,,,πρῶτος,,,,,a-p---mas,,,,,,,,,,,,,,,,,,,,,,
1844,ἐσώθησαν,,,,σῴζω,,,,,v3paip---,,,,,,,,,,,,,,,,,,,,,,
1857,κινητέοι,κινητέος,,,,,,,,a-p---mn-,,,,,,,,,,,,,,,,,,,,,,
1858,ποτὲ,ποτέ,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1865,εὐχερῶς,εὐχερής,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1867,ἐνίας,ἔνιοι,,,,,,,,a-p---fa-,,,,,,,,,,,,,,,,,,,,,,
1880,πείθεσθαι,πείθω,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
1882,ῥᾳδίως,ῥᾴδιος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1899,ὑπεναντίως,ὑπεναντίος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1900,προκειμένης,πρόκειμαι,,,,,,,,v-sppefg-,,,,,,,,,,,,,,,,,,,,,,
1905,ἥ,ὁ,,,ὅς,,,,,l-s---fn-,,,,,,,,,,,,,,,,,,,,,,
1906,Θετταλῶν,Θεσσαλός,,,,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,,
1909,Θετταλοῖς,Θεσσαλός,,,,,,,,n-p---md-,,,,,,,,,,,,,,,,,,,,,,
1911,εἵλωτες,Εἵλως,,,,,,,,n-p---mn-,,,,,,,,,,,,,,,,,,,,,,
1930,Μεσήνιοι,Μεσσήνιος,,,,,,,,n-p---mn-,,,,,,,,,,,,,,,,,,,,,,
1932,προσχώροις,πρόσχωρος,,,,,,,,a-p---md-,,,,,,,,,,,,,,,,,,,,,,
1949,εἱλωτείαν,,,,εἱλωτεία,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,,,
1953,ἀνὴρ,ἀνήρ,,,,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,,,
1960,φαύλως,φαῦλος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
1974,πλοῦτον,,,,πλοῦτος,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,,
1980,Κελτῶν,,,,Κελτός,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,,
1995,ἄρχεσθαι,ἄρχω,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
1996,ταὐτὸ,αὐτός,,,,,,,,p-s---nn-,p-s---na-,,,,,,,,,,,,,,,,,,,,,
2002,Θηβαίων,,,,Θηβαῖος,,,,,n-p---fg-,,,,,,,,,,,,,,,,,,,,,,
2003,ἐμβολῆς,ἐμβολή,,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,,
2010,ἀπεξενοῦντο,ἀποξενόω,,,,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,,,
2015,Μεσσηνίους,Μεσσήνιος,,,,,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,,,
2018,προῳδοπεποιημένους,,,,προοδοποιέω,,,,,v-prpema-,,,,,,,,,,,,,,,,,,,,,,
2026,ἀποστῆναι,,,,ἀφίστημι,,,,,v--ana---,,,,,,,,,,,,,,,,,,,,,,
2027,αἰτίαι,αἴτιος,,,αἰτία,,,,,a-s---fd-,,,,,,,,,,,,,,,,,,,,,,
2029,σκοποῦμεν,,,,σκοπέω,,,,,v1ppia---,,,,,,,,,,,,,,,,,,,,,,
2030,τίνι,τις,,,,,,,,p-s---nd-,,,,,,,,,,,,,,,,,,,,,,
2034,ἐλέχθη,,,,λέγω,,,,,v3saip---,,,,,,,,,,,,,,,,,,,,,,
2036,αὑτήν,ἑαυτοῦ,,,,,,,,p-s---fa-,,,,,,,,,,,,,,,,,,,,,,
2039,ῥηθέντα,,,,λέγω,,,,,v-pappna-,,,,,,,,,,,,,,,,,,,,,,
2051,καταλείπειν,,,,καταλείπω,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,,,
2054,ἐκείνως,ἐκεῖνος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
2063,ἀποθάνῃ,,,,ἀποθνῄσκω,,,,,v3sasa---,,,,,,,,,,,,,,,,,,,,,,
2065,καταλίπῃ,,,,καταλείπω,,,,,v2sase---,,,,,,,,,,,,,,,,,,,,,,
2067,θέλῃ,,,,θέλω,,,,,v3spsa---,,,,,,,,,,,,,,,,,,,,,,
2069,τοιγαροῦν,τοιγάρ,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
2083,λέγουσι,,,,λέγω,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,,
2090,μυρίους,μυρίος,,,,,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,,,
2093,πληθύειν,πληθύω,,,,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,,,
2107,ἐμπίπτουσιν,,,,ἐμπίπτω,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,,
2110,οἳ,ὁ,ὅς,,,,,,,l-p---mn-,p-p---mn-,,,,,,,,,,,,,,,,,,,,,
2112,Ἀνδρίοις,Ἄνδριος,,,,,,,,n-p---md-,,,,,,,,,,,,,,,,,,,,,,
2123,συνεπιβλάπτεσθαι,συνεπιβλάπτομαι,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
2125,συνέχει,,,,συνέχω,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,,,
2128,μεγίστης,μέγας,,,,,,,,a-s---fgs,,,,,,,,,,,,,,,,,,,,,,
2130,συμπέπτωκεν,,,,συμπίπτω,,,,,v3sria---,,,,,,,,,,,,,,,,,,,,,,
2145,κρίσεών,κρίσις,,,,,,,,n-p---fg-,,,,,,,,,,,,,,,,,,,,,,
2158,λάθρᾳ,λάθρῃ,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
2166,εἴπειέ,,,,λέγω,,,,,v3saoa---,,,,,,,,,,,,,,,,,,,,,,
2184,λέγομεν,,,,λέγω,,,,,v1ppia---,,,,,,,,,,,,,,,,,,,,,,
2185,εὐθύνας,εὔθυνα,,,,,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,,,
2186,ποιοῦνται,,ποιέω,,,,,,,v3ppie---,,,,,,,,,,,,,,,,,,,,,,
2192,ποιῶν,,,,,,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,,,
2195,κέχρηται,χράω,,,,,,,,v3srie---,,,,,,,,,,,,,,,,,,,,,,
2201,βασιλείας,βασίλεια,,,βασιλεία,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,,
2202,βέλτιόν,ἀγαθός,,,,,,,,a-s---nnc,,,,,,,,,,,,,,,,,,,,,,
2211,συμπρεσβευτὰς,συμπρεσβευτής,,,,,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,,,
2216,φιδίτια,,,,φιδίτιον,,,,,n-p---na-,,,,,,,,,,,,,,,,,,,,,,
2219,σύνοδον,,,,σύνοδος,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,,,
2224,δαπανᾶν,,,,δαπανάω,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,,,
2242,βασιλεία,βασίλεια,,,βασιλεία,,,,,n-s---fn-,,,,,,,,,,,,,,,,,,,,,,
2249,ἐσῴζοντο,,,,σῴζω,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,,,
2263,κρείττω,ἀγαθός,,,,,,,,a-p---nac,,,,,,,,,,,,,,,,,,,,,,
2282,εἰρήσθω,,,,λέγω,,,,,v3srme---,,,,,,,,,,,,,,,,,,,,,,
2286,λέγεταί,,,,λέγω,,,,,v3spie---,,,,,,,,,,,,,,,,,,,,,,
2295,καταλιπὼν,,,,καταλείπω,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,,,
2313,θαλάττῃ,θάλασσα,,,,,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,,,
2316,θάλατταν,θάλασσα,,,,,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,,,
2320,Τριόπιον,Τριόπιον,,,,,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,,,
2322,θαλάττης,θάλασσα,,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,,,
2341,ἀνδρεῖα,ἀνδρεία,,,ἀνδρεῖος,,,,,n-p---na-,,,,,,,,,,,,,,,,,,,,,,
2396,λήμματος,λῆμμα,,,,,,,,n-s---ng-,,,,,,,,,,,,,,,,,,,,,,
2406,συναρχόντων,συνάρχω,,,συναρχών,,,,,v-pppamg-,,,,,,,,,,,,,,,,,,,,,,
2411,φαυλότατον,φαῦλος,,,,,,,,a-s---nns,,,,,,,,,,,,,,,,,,,,,,
2425,ἐπιτίθεσθαι,ἐπιτίθημι,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
2427,σῴζεται,,,,σῴζω,,,,,v3spie---,,,,,,,,,,,,,,,,,,,,,,
2437,ξενικὸς,ξενικός,,,,,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,,,
2442,τοσαῦθ᾽,τοσοῦτος,,,,,,,,p-p---nn-,,,,,,,,,,,,,,,,,,,,,,
2448,πώς,πώς,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
2459,ἑταιριῶν,ἑταιρεία,,,,,,,,n-p---fg-,,,,,,,,,,,,,,,,,,,,,,
2460,φιδιτίοις,,,,φιδίτιον,,,,,n-p---nd-,,,,,,,,,,,,,,,,,,,,,,
2468,αὑτὸ,ἑαυτοῦ,,,,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,,,
2481,εἰρημέναις,,,,,,,,,v-prpefd-,,,,,,,,,,,,,,,,,,,,,,
2514,ἀποροῦντα,,,,ἀπορέω,,,,,v-sppama-,,,,,,,,,,,,,,,,,,,,,,
2524,βέλτιστοι,,,,ἀγαθός,,,,,a-p---mns,,,,,,,,,,,,,,,,,,,,,,
2527,ἄρχοντες,ἄρχω,,,ἄρχων,,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,,,
2543,βεβαίως,βέβαιος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
2544,ἀριστοκρατεῖσθαι,ἀριστοκρατέομαι,,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,,,
2557,ἄριστ᾽,ἀγαθός,,,,,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,,,
2558,προεῖτο,προίημι,,,,,,,,v3saim---,,,,,,,,,,,,,,,,,,,,,,
2563,προστάττειν,προστάσσω,,,,,,,,v--pna---,,,,,,,,,,,,,,,,,,,,,,
2568,πλείονας,,,,πολύς,,,,,a-p---mac,,,,,,,,,,,,,,,,,,,,,,
2572,θᾶττον,ταχύς,,,,,,,,a-s---nnc,,,,,,,,,,,,,,,,,,,,,,
2576,ἄριστα,,,,,,,,,a-p---nas,,,,,,ἀγαθός,,,,,,,,,,,,,,,,
2579,αἰεί,ἀεί,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
2596,ὡντινωνοῦν,ὅστις,,,,,,,,a-p---ng-,,,,,,,,,,,,,,,,,,,,,,
2618,μείξαντα,μίγνυμι,,,μείγνυμι,,,,,v-sapama-,,,,,,,,,,,,,,,,,,,,,,
2627,θάτερα,ἕτερος,,,,,,,,a-p---na-,,,,,,,,,,,,,,,,,,,,,,
2635,ἐκόλουσε,κολούω,,,,,,,,v3saia---,,,,,,,,,,,,,,,,,,,,,,
2636,Περικλῆς,Περικλέης,,,,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,,,
2637,μισθοφόρα,μισθοφόρος,,,,,,,,a-p---na-,,,,,,,,,,,,,,,,,,,,,,
2641,αὔξων,αὐξάνω,,,,,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,,,
2643,συμπτώματος,σύμπτωμα,,,,,,,,n-s---ng-,,,,,,,,,,,,,,,,,,,,,,
2646,ἐφρονηματίσθη,φρονηματίζομαι,,,,,,,,v3saie---,,,,,,,,,,,,,,,,,,,,,,
2661,μετῆν,μέτειμι,,,,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,,,
2664,Χαρώνδας,Χαρώνδης,,,,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,,,
2670,πειρῶνται,πειράω,,,,,,,,v3ppie---,,,,,,,,,,,,,,,,,,,,,,
2680,Θάλητα,Θάλης,,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,,
2682,Θάλητος,Θάλης,,,,,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,,,
2686,Χαρώνδαν,Χαρώνδης,,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,,,
2687,ἀσκεπτότερον,ἄσκεπτος,,,,,,,,a-s---nac,,,,,,,,,,,,,,,,,,,,,,
2691,Βακχιαδῶν,Βακχιάδαι,,,,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,,,
2693,Διοκλέους,Διοκλέης,,,,,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,,,
2695,Ὀλυμπίασιν,Ὀλυμπίασι,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
2705,δεικνύουσι,δείκνυμι,,,,,,,,v3ppia---,,,,,,,,,,,,,,,,,,,,,,
2706,τάφους,,,,τάφος,,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,,,
2717,Κορινθία,Κορίνθιος,,,,,,,,a-s---fn-,,,,,,,,,,,,,,,,,,,,,,
2718,χώματος,χῶμα,,,,,,,,n-s---ng-,,,,,,,,,,,,,,,,,,,,,,
2723,ἰδίως,ἴδιος,,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,,,
2726,σῴζηται,,,,σῴζω,,,,,v3spse---,,,,,,,,,,,,,,,,,,,,,,
2727,Χαρώνδου,Χαρώνδης,,,,,,,,n-s---mg-,,,,,,,,,,,,,,,,,,,,,,
2736,νήφοντας,νήφω,,,,,,,,v-pppama-,,,,,,,,,,,,,,,,,,,,,,
2743,",",",",,,,,,,,u--------,,,,,,,,,,,,,,,,,,,,,,
2762,Ῥηγῖνος,,,,Ῥηγῖνος,,,,,a-s---mn-,,,,,,,,,,,,,,,,,,,,,,
2768,εἰρημένας,λέγω,,,,,,,,v-prpefa-,,,,,,,,,,,,,,,,,,,,,,
2770,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771,(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775,οὐδέ,,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2776,ἀντιπεπονθός,,,,ἀντιπάσχω,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777,εἴτε,,,,εἴτε,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778,οὔτε,,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,ἕν,,,,εἷς,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780,οὐδ᾽,,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781,οὐδὲ,,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782,ἕκαστου,,,,ἕκαστος,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783,ὅσιον,,,,ὅσιος,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784,υἱούς,,,,υἱός,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785,μηδὲ,,,,μηδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786,πατήρ,,,,πατήρ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787,μηδέν,,,,μηδείς,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789,τινά,,,,τις,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790,οὔτ᾽,,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791,οὔθ᾽,,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792,[0],,,,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,
2793,[1],,,,[1],,,,,,,,,,,,,,,,,,,,,,,,,,,
2794,μήτε,,,,μήτε,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795,αἱρεταί,,,,αἱρετός,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796,πολλούς,,,,πολύς,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797,δικαστήν,,,,δικαστής,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798,δικασταί,,,,δικαστής,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799,δικαστής,,,,δικαστής,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,εὑρίσκουσι,,,,εὑρίσκω,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801,βλαβερόν,,,,βλαβερός,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802,ταχύ,,,,ταχύς,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803,εἰσηγεῖσθαι,,,,εἰσηγέομαι,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,εἴ-τε,,,,εἴτε,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,εἴ-τ᾽,,,,εἴτε,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806,ῥᾴδίως,,,,ῥᾴδιος,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807,ἀνήρ,,,,ἀνήρ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808,οὐ-δὲ,,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,οὐ-δ᾽,,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810,ὧδὶ,,,,ὧδὶ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811,μηδέ,,,,μηδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812,ξενικός,,,,ξενικός,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813,μη-δ᾽,,,,μηδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
