,@form,gorman_lemma_1,gorman_lemma_2,gorman_lemma_3,gpt_lemma_1,gpt_lemma_2,gpt_lemma_3,gpt_lemma_4,postag_1,postag_2,postag_3,postag_4,lemma_pedalion_1,lemma_pedalion_2,lemma_pedalion_3,lemma_pedalion_4,lemma_pedalion_5,lemma_pedalion_6,lemma_pedalion_7,lemma_pedalion_8,lemma_pedalion_9,lemma_pedalion_10,lemma_pedalion_11,lemma_pedalion_12,lemma_pedalion_13,lemma_pedalion_14,lemma_pedalion_15,lemma_pedalion_16,lemma_pedalion_17
1692,ἀποκρίσεις,,,,ἀπόκρισις,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
1714,ἀποπέμψει,ἀπόπεμψις,,,ἀποπέμπω,,,,n-s---fd-,,,,,,,,,,,,,,,,,,,,
1718,μεταθήσεσθαι,,,,μετατίθημι,,,,v--fnm---,,,,,,,,,,,,,,,,,,,,
1737,πλέονος,,,,πολύς,,,,a-s---fgc,a-s---mgc,,,,,,,,,,,,,,,,,,,
1741,προιόντος,πρόειμι,,,,,,,v-sppamg-,,,,,,,,,,,,,,,,,,,,
1742,ἀπόκρισιν,,,,ἀπόκρισις,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1751,δῃῶν,δηιόω,,,,,,,v-sppamn-,,,,,,,,,,,,,,,,,,,,
1754,ὁδούς,,,,ὁδός,,,,n-p---fa-,,,,,,,,,,,,,,,,,,,,
1769,ἂν,,,,ἄν,,,,d--------,,,,,ἐάν,,,,,,,,,,,,,,,
1772,Ἰβηρίας,,,,Ἰβηρία,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1797,ἀδελφιδοῦς,ἀδελφιδέος,,,,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
1799,εἴκοσιν,εἴκοσιν,,,,,,,m--------,,,,,,,,,,,,,,,,,,,,
1823,ἡττῆσθαι,ἡσσάομαι,,,,,,,v--pne---,,,,,,,,,,,,,,,,,,,,
1824,ἀνεστρατοπέδευεν,,,,ἀναστρατοπεδεύω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1827,ἠνώχλει,,,,ἐνοχλέω,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1829,Σήτιον,Σήτιον,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
1834,Ἱερὸν,ἱερόν,,,ἱερός,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,
1835,λιμένα,λιμήν,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
1836,ἐξέτασσεν,ἐκτάσσω,,,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
1839,προθύμως,πρόθυμος,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1841,λαιοῦ,λαιός,,,,,,,a-s---ng-,,,,,,,,,,,,,,,,,,,,
1844,πεζῶν,πέζα,,,πεζός,,,,n-p---fg-,,,,,,,,,,,,,,,,,,,,
1855,ἥττης,ἧσσα,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
1862,πρώτους,,,,πρῶτος,,,,a-p---mas,,,,,,,,,,,,,,,,,,,,
1864,ἐπικειμένου,ἐπίκειμαι,,,,,,,v-srpemg-,,,,,,,,,,,,,,,,,,,,
1867,ἀνιμήσαντο,ἀνιμάω,,,,,,,v3paim---,,,,,,,,,,,,,,,,,,,,
1871,αἰεὶ,ἀεί,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1876,ἀνταῦθα,ἐνταῦθα,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
1878,σεσωσμένων,,,,σῴζω,,,,v-prpefg-,,,,,,,,,,,,,,,,,,,,
1894,Βρούτῳ,,,,Βροῦτος,,,,n-s---md-,,,,,,,,,,,,,,,,,,,,
1898,συναγαγεῖν,συνάγω,,,,,,,v--ana---,,,,,,,,,,,,,,,,,,,,
1906,μεγίστην,μέγας,,,,,,,a-s---fas,,,,,,,,,,,,,,,,,,,,
1907,ἱερωμένον,ἱερόω,,,,,,,v-srpema-,,,,,,,,,,,,,,,,,,,,
1908,τῶνδε,ὅδε,,,,,,,p-p---mg-,p-p---ng-,a-p---mg-,,,,,,,,,,,,,,,,,,
1913,ἐσαχθέντων,εἰσάγω,,,,,,,v-pappmg-,,,,,,,,,,,,,,,,,,,,
1916,ἔξοδον,,,,,,,,n-s---fa-,,,,ἔξοδος,,,,,,,,,,,,,,,,
1925,ὁδῶν,,,,ὁδός,,,,n-p---fg-,,,,,,,,,,,,,,,,,,,,
1930,αἵ,ὁ,,,ὅς,,,,l-p---fn-,,,,,,,,,,,,,,,,,,,,
1932,ξὺν,σύν,,,,,,,r--------,,,,,,,,,,,,,,,,,,,,
1933,προσεδέχοντο,προσδέχομαι,,,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
1934,προσιοῦσι,πρόσειμι,,,,,,,v-pppamd-,,,,,,,,,,,,,,,,,,,,
1946,πεδίῳ,,,,πεδίον,,,,n-s---nd-,,,,,,,,,,,,,,,,,,,,
1954,συναγαγὼν,συνάγω,,,,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
1971,Γλάνιν,Γλάνις,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
1973,ἔκτεινεν,,,,κτείνω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
1982,ὁμοεθνῶν,ὁμοεθνής,,,,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,
1990,Οὐριτανὴν,,,,Οὐριτανή,,,,n-s---fa-,,,,,,,,,,,,,,,,,,,,
1996,Νέαν,νέος,,,,,,,a-s---fa-,,,,,,,,,,,,,,,,,,,,
1998,Συλλείων,Σύλλειος,,,,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,
2000,ἔκτειναν,,,,κτείνω,,,,v3paia---,,,,,,,,,,,,,,,,,,,,
2012,διεκρίθησαν,διακρίνω,,,,,,,v3paip---,,,,,,,,,,,,,,,,,,,,
2014,ἄμφω,ἄμφω,,,,,,,a-d---mn-,a-d---ma-,,,,,,,,,,,,,,,,,,,
2017,Καρβωνείων,Καρβώνειος,,,,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,
2039,προσπεσὼν,,,,προσπίπτω,,,,v-sapamn-,,,,,,,,,,,,,,,,,,,,
2050,χαλεπῶς,χαλεπός,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2060,κακῶς,κακός,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2064,Τελεσῖνον,Τελεσῖνος,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
2082,μεταιχμίῳ,μεταίχμιον,,,,,,,n-s---nd-,,,,,,,,,,,,,,,,,,,,
2084,ἤγειρεν,ἀγείρω,,,ἐγείρω,,,,v3saia---,,,,,,,,,,,,,,,,,,,,
2090,πείρας,πεῖρα,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
2102,ἀνοήτως,ἀνόητος,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2105,ἐξέταττον,ἐκτάσσω,,,,,,,v3piia---,,,,,,,,,,,,,,,,,,,,
2109,ἡττώμενοι,ἡσσάομαι,,,,,,,v-pppemn-,,,,,,,,,,,,,,,,,,,,
2114,ἐμπίπτοντες,,,,ἐμπίπτω,,,,v-pppamn-,,,,,,,,,,,,,,,,,,,,
2117,μυρίους,μυρίος,,,,,,,a-p---ma-,,,,,,,,,,,,,,,,,,,,
2119,διαρριφῆναι,διαρρίπτω,,,,,,,v--anp---,,,,,,,,,,,,,,,,,,,,
2122,χιλίων,,,,χίλιοι,,,,a-p---mg-,,,,,,,,,,,,,,,,,,,,
2123,Λευκανῶν,Λευκανοί,,,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
2126,πυθόμενον,,,,πυνθάνομαι,,,,v-spppnn-,,,,,,,,,,,,,,,,,,,,
2138,συνόντας,,,,σύνειμι,,,,v-pppama-,,,,,,,,,,,,,,,,,,,,
2140,Γάιον,,,,Γάιος,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
2142,Φλάυιον,Φλάυιος,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
2147,παρῆσαν,,,,,,,,v3piia---,,,,πάρειμι,,,,,,,,,,,,,,,,
2151,διαίτης,δίαιτα,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
2154,πλησίον,πλησίος,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2157,πιστὸν,,,,πιστός,,,,a-s---ma-,,,,,,,,,,,,,,,,,,,,
2162,σκάφους,,,,σκάφος,,,,n-s---ng-,,,,,,,,,,,,,,,,,,,,
2174,ὑπερεπειγόμενος,,,,ὑπερεπείγω,,,,v-sppemn-,,,,,,,,,,,,,,,,,,,,
2181,Ῥαβέννης,Ῥάβεννα,,,,,,,n-s---fg-,,,,,,,,,,,,,,,,,,,,
2182,Ἄλπεια,Ἄλπειος,,,,,,,n-p---na-,,,,,,,,,,,,,,,,,,,,
2188,Σαυνιτῶν,Σαυνῖται,,,,,,,n-p---mg-,,,,,,,,,,,,,,,,,,,,
2193,ἀσθενῶς,ἀσθενής,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2198,συνενεχθέντες,συμφέρω,,,,,,,v-pappmn-,,,,,,,,,,,,,,,,,,,,
2201,μεγίστῃ,μέγας,,,,,,,a-s---fds,,,,,,,,,,,,,,,,,,,,
2205,βιασόμενοι,βιάω,,,βιάζω,,,,v-pfpmmn-,,,,,,,,,,,,,,,,,,,,
2207,περᾶσαι,,,,περάω,,,,v--ana---,,,,,,,,,,,,,,,,,,,,
2210,ἔρημον,ἐρῆμος,,,,,,,a-s---na-,,,,,,,,,,,,,,,,,,,,
2229,ἡττώμενον,ἡσσάομαι,,,,,,,v-sppenn-,,,,,,,,,,,,,,,,,,,,
2232,εἶδον,,,,ὁράω,,,,v3paia---,,,,,,,,,,,,,,,,,,,,
2233,συνεστρέχοντας,συνειστρέχω,,,,,,,v-pppama-,,,,,,,,,,,,,,,,,,,,
2236,ἐμπίπτουσαι,,,,ἐμπίπτω,,,,v-pppafn-,,,,,,,,,,,,,,,,,,,,
2240,Τελεσῖνόν,Τελεσῖνος,,,,,,,n-s---ma-,,,,,,,,,,,,,,,,,,,,
2243,Λαμπώνιός,,,,Λαμπώνιος,,,,n-s---mn-,,,,,,,,,,,,,,,,,,,,
2245,Καρβωνείου,Καρβώνειος,,,,,,,a-s---fg-,,,,,,,,,,,,,,,,,,,,
2254,πλέον,,,,πολύς,,,,a-s---nnc,,,,,,,,,,,,,,,,,,,,
2259,προσήγοντο,προσάγω,,,,,,,v3piie---,,,,,,,,,,,,,,,,,,,,
2267,ἐκτενῶς,ἐκτενής,,,,,,,d--------,,,,,,,,,,,,,,,,,,,,
2280,πρῶτα,,,,πρῶτος,,,,a-p---nas,,,,,,,,,,,,,,,,,,,,
2286,ἐσέβαλλεν,εἰσβάλλω,,,,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
2299,Πραινεστίους,Πραινέστiος,,,,,,,n-p---ma-,,,,,,,,,,,,,,,,,,,,
2307,γύναια,γύναιον,,,,,,,n-p---na-,,,,,,,,,,,,,,,,,,,,
2308,παιδία,,,,παιδίον,,,,n-p---na-,,,,,,,,,,,,,,,,,,,,
2309,μεθῆκεν,μεθήκω,,,μεθίημι,,,,v3siia---,,,,,,,,,,,,,,,,,,,,
2311,ἀπιέναι,,,,,,,,v--pna---,,,,,ἄπειμι,,,,,,,,,,,,,,,
2336,λάφυρον,λάφυρα,,,,,,,n-s---na-,,,,,,,,,,,,,,,,,,,,
2337,ἀγοράν,,,,ἀγορά,,,,,,,,,,,,,,,,,,,,,,,,
2338,Πραινεστόν,,,,Πραινεστός,,,,,,,,,,,,,,,,,,,,,,,,
2339,μήτε,,,,μήτε,,,,,,,,,,,,,,,,,,,,,,,,
2340,δ᾽,,,,δέ,,,,,,,,,,,,,,,,,,,,,,,,
2341,ἱερεύς,,,,ἱερεύς,,,,,,,,,,,,,,,,,,,,,,,,
2342,βουλή,,,,βουλή,,,,,,,,,,,,,,,,,,,,,,,,
2343,φυλάς,,,,φυλή,,,,,,,,,,,,,,,,,,,,,,,,
2344,συμφοράν,,,,συμφορά,,,,,,,,,,,,,,,,,,,,,,,,
2345,Κιμβρικά,,,,Κιμβρικός,,,,,,,,,,,,,,,,,,,,,,,,
2346,ἑκών,,,,,,,,,,,,ἑκών,,,,,,,,,,,,,,,,
2347,δή,,,,,,,,,,,,δή,,,,,,,,,,,,,,,,
2348,ἐπιγράφεσθαι,,,,ἐπιγράφω,,,,,,,,,,,,,,,,,,,,,,,,
2349,οὐδὲ,,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,
2350,κατ᾽,,,,κατά,,,,,,,,,,,,,,,,,,,,,,,,
2351,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352,(τετράκις,,,,τετράκις,,,,,,,,,,,,,,,,,,,,,,,,
2353,),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,(οὐ,,,,οὐ,,,,,,,,,,,,,,,,,,,,,,,,
2355,·,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,οὐδʼ,,,,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,
2357,Σύλλᾷ,,,,Σύλλας,,,,,,,,,,,,,,,,,,,,,,,,
2358,κ-*,,,,*,,,,,,,,,,,,,,,,,,,,,,,,
2359,οὔτε,,,,οὔτε,,,,,,,,,,,,,,,,,,,,,,,,
2360,μετ᾽,,,,μετά,,,,,,,,,,,,,,,,,,,,,,,,
2361,εἴτε,,,,εἴτε,,,,,,,,,,,,,,,,,,,,,,,,
2362,(,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,τούδε,,,,ὅδε,,,,,,,,,,,,,,,,,,,,,,,,
