;form;lemmi;postag;conteggio_lemmi;conteggio_postag
5334;ἡδέως;['ἡδέως', 'ἡδύς', 'ἡδύς'];['d--------'];3;1
5335;ὀφείλουσα;['ὀφείλω'];['v-sppafn-'];1;1
5336;εὐεργέταις;['εὐεργέτης'];['n-p---md-'];1;1
5337;ἐσώθη;['σῴζω'];['v3saip---'];1;1
5338;πόσης;['πόσος'];['a-s---fg-'];1;1
5339;οἴεσθε;['οἴομαι'];['v2ppme---'];1;1
5340;ἐμπλήσομεν;['ἐμπίμπλημι'];['v1pfia---'];1;1
5341;Σικελίαν;['Σικελία'];['n-s---fa-'];1;1
5342;πόσας;['πόσος'];['p-p---fa-'];1;1
5343;ληψόμεθα;['λαμβάνω'];['v1pfim---'];1;1
5344;δωρεάς;['δωρεά'];['n-p---fa-'];1;1
5345;θεοὺς;['θεός'];['n-p---ma-'];1;1
5346;ὅσια;['ὅσιος'];['a-p---na-'];1;1
5347;ποιήσομεν;['ποιέω'];['v1pfia---'];1;1
5348;ἀντεῖπεν;['ἀντιλέγω'];['v3saia---'];1;1
5349;ἄκαιρε;['ἄκαιρος'];['a-s---mv-'];1;1
5350;ἀνόητε;['ἀνόητος'];['a-s---mv-'];1;1
5351;κελεύεις;['κελεύω'];['v2spia---'];1;1
5352;φιλοσοφεῖν;['φιλοσοφέω'];['v--pna---'];1;1
5353;τυμβωρυχεῖν;['τυμβωρυχέω'];['v--pna---'];1;1
5354;χρηστούς;['χρηστός'];['a-p---ma-'];1;1
5355;ἐλεήσομεν;['ἐλεέω'];['v1pfia---'];1;1
5356;ἠλέησεν;['ἐλεέω'];['v3saia---'];1;1
5357;ἴδιος;['ἴδιος'];['a-s---mn-'];1;1
5358;ἠδίκηκεν;['ἀδικέω'];['v3sria---'];1;1
5359;ἀδικήσει;['ἀδικέω'];['v3sfia---'];1;1
5360;ἐφίλει;['φιλέω'];['v3siia---'];1;1
5361;νεολαία;['νεολαία'];['n-s---fn-'];1;1
5362;ἀποδῶμεν;['ἀποδίδωμι'];['v1pasa---'];1;1
5363;προσήκουσιν;['προσήκω'];['v-pppamd-'];1;1
5364;ἄδηλον;['ἄδηλος'];['a-s---nn-'];1;1
5365;ἕξουσι;['ἔχω'];['v3pfia---'];1;1
5366;γνώμην;['γνώμη'];['n-s---fa-'];1;1
5367;γεγονότος;['γίγνομαι'];['v-srpang-'];1;1
5368;ὑποπτευθῆναι;['ὑποπτεύω'];['v--anp---'];1;1
5369;χαρίσωνται;['χαρίζω'];['v3pasm---'];1;1
5370;τιμωρίαν;['τιμωρία'];['n-s---fa-'];1;1
5371;συγγενεῖς;['συγγενής', 'συγγενεύς'];['a-p---ma-', 'a-p---mn-', 'n-p---ma-', 'n-p---mn-'];2;4
5372;ἀφήσει;['ἀφίημι'];['v3sfia---'];1;1
5373;ἐρεῖ;['λέγω'];['v3sfia---'];1;1
5374;λυσιτελέστερον;['λυσιτελής'];['a-s---nac'];1;1
5375;πωλῆσαι;['πωλέω'];['v--ana---'];1;1
5376;χρυσὸς;['χρυσός'];['n-s---mn-'];1;1
5377;εἰλήφαμεν;['λαμβάνω'];['v1pria---'];1;1
5378;ἔξεστιν;['ἔξεστι'];['v3spia---'];1;1
5379;πλάσασθαι;['πλάσσω'];['v--anm---'];1;1
5380;διήγημα;['διήγημα'];['n-s---na-'];1;1
5381;ἔχον;['ἔχω'];['v-sppana-', 'v-sppann-', 'v3piia---'];1;3
5382;ὀφθαλμούς;['ὀφθαλμός'];['n-p---ma-'];1;1
5383;ὦτα;['οὖς'];['n-p---na-', 'n-p---nn-'];1;2
5384;ἀποκρύψαι;['ἀποκρύπτω'];['v--ana---'];1;1
5385;λάθωμεν;['λανθάνω'];['v1pasa---'];1;1
5386;δούλην;['δούλη'];['n-s---fa-'];1;1
5387;ἐροῦμεν;['λέγω'];['v1pfia---'];1;1
5388;πιστεύσει;['πιστεύω'];['v3sfia---'];1;1
5389;πολυπραγμονοῦντες;['πολυπραγμονέω'];['v-pppamn-'];1;1
5390;ἔμαθον;['μανθάνω'];['v1saia---', 'v3paia---'];1;2
5391;εἰσῄει;['εἴσειμι'];['v3siia---'];1;1
5392;καλοῦ;['καλός'];['a-s---mg-', 'a-s---ng-'];1;2
5393;κινδυνεύοντος;['κινδυνεύω'];['v-sppang-'];1;1
5394;ψυχῆς;['ψυχή'];['n-s---fg-'];1;1
5395;εὐφυοῦς;['εὐφυής'];['a-s---fg-', 'a-s---mg-'];1;2
5396;φονεύσωμεν;['φονεύω'];['v1pasa---'];1;1
5397;περιαγάγωμεν;['περιάγω'];['v1pasa---'];1;1
5398;κατήγορον;['κατήγορος'];['a-s---ma-', 'n-s---ma-'];1;2
5399;συντιθεμένων;['συντίθημι'];['v-pppemg-'];1;1
5400;οὐδετέρᾳ;['οὐδέτερος'];['a-s---fd-'];1;1
5401;γνώμῃ;['γνώμη'];['n-s---fd-'];1;1
5402;ἐπεψήφισε;['ἐπιψηφίζω'];['v3saia---'];1;1
5403;ἐπάγεις;['ἐπάγω'];['v2spia---'];1;1
5404;ἀπολλύεις;['ἀπόλλυμι'];['v2spia---'];1;1
5405;ἀποδώσομαι;['ἀποδίδωμι'];['v1sfim---'];1;1
5406;ἀπολῶ;['ἀπόλλυμι'];['v1sfia---'];1;1
5407;πωλουμένη;['πωλέω'];['v-sppefn-'];1;1
5408;σιγήσει;['σιγάω'];['v3sfia---'];1;1
5409;πραθεῖσα;['πιπράσκω'];['v-sappfn-'];1;1
5410;κατηγορείτω;['κατηγορέω'];['v3spma---'];1;1
5411;ἐμβαίνετε;['ἐμβαίνω'];['v2ppma---'];1;1
5412;πλέωμεν;['πλέω'];['v1ppsa---'];1;1
5413;ἀναχθεῖσα;['ἀνάγω'];['v-sappfn-'];1;1
5414;λαμπρῶς;['λαμπρός'];['d--------'];1;1
5415;ἐβιάζοντο;['βιάζω'];['v3piie---'];1;1
5416;κῦμα;['κῦμα'];['n-s---na-', 'n-s---nn-'];1;2
5417;προκεῖσθαί;['πρόκειμαι'];['v--pne---'];1;1
5418;πλοῦν;['πλόος'];['n-s---ma-'];1;1
5419;ἴδιον;['ἴδιος'];['a-s---ma-', 'a-s---na-', 'a-s---nn-'];1;3
5420;ἄνεμος;['ἄνεμος'];['n-s---mn-'];1;1
5421;οὔριος;['οὔριος'];['a-s---mn-'];1;1
5422;ἐδόκει;['δοκέω'];['v3siia---'];1;1
5423;πρύμναν;['πρύμνα'];['n-s---fa-'];1;1
5424;ἐνέστη;['ἐνίστημι'];['v3saia---'];1;1
5425;νόμιμος;['νόμιμος'];['a-s---mn-'];1;1
5426;ἐκκλησία;['ἐκκλησία'];['n-s---fn-'];1;1
5427;ποικίλαις;['ποικίλος'];['a-p---fd-'];1;1
5428;ἐπινοίαις;['ἐπίνοια'];['n-p---fd-'];1;1
5429;ἀπατᾶν;['ἀπατάω'];['v--pna---'];1;1
5430;ᾐσθάνετο;['αἰσθάνομαι'];['v3siie---'];1;1
5431;προσεποιεῖτο;['προσποιέω'];['v3siie---'];1;1
5432;νοεῖν;['νοέω'];['v--pna---'];1;1
5433;δεδοικυῖα;['δείδω'];['v-srpafn-'];1;1
5434;ἀνέλωσιν;['ἀναιρέω'];['v3pasa---'];1;1
5435;ὀργιζομένην;['ὀργίζω'];['v-sppefa-'];1;1
5436;εἰποῦσα;['λέγω'];['v-sapafn-'];1;1
5437;ἐγκαλυψαμένη;['ἐγκαλύπτω'];['v-sapmfn-'];1;1
5438;δακρύσασα;['δακρύω'];['v-sapafn-'];1;1
5439;πάτερ;['πατήρ'];['n-s---mv-'];1;1
5440;τριακοσίας;['τριακόσιοι'];['m-p---fa-'];1;1
5441;κατεναυμάχησας;['καταναυμαχέω'];['v2saia---'];1;1
5442;ἥρπασε;['ἁρπάζω'];['v3saia---'];1;1
5443;κέλης;['κέλης'];['n-s---mn-'];1;1
5444;μικρὸς;['μικρός'];['a-s---mn-'];1;1
5445;βοηθεῖς;['βοηθέω'];['v2spia---'];1;1
5446;ξένην;['ξένος'];['a-s---fa-'];1;1
5447;ἄγομαι;['ἄγω'];['v1spie---'];1;1
5448;εὐγενῆ;['εὐγενής'];['a-p---na-', 'a-s---fa-'];1;2
5449;ἀγοράσει;['ἀγοράζω'];['v3sfia---'];1;1
5450;πόσῳ;['πόσος'];['p-s---nd-'];1;1
5451;κεῖσθαι;['κεῖμαι'];['v--pne---'];1;1
5452;πάντως;['πάντως'];['d--------'];1;1
5453;ἐκηδεύθη;['κηδεύω'];['v3saip---'];1;1
5454;ζῶντες;['ζάω'];['v-pppamn-'];1;1
5455;ἀποθανόντες;['ἀποθνῄσκω'];['v-papamn-'];1;1
5456;διεζεύχθημεν;['διαζεύγνυμαι'];['v1paip---'];1;1
5457;λῃσταὶ;['λῃστής'];['n-p---mn-'];1;1
5458;νήσους;['νήσος', 'νῆσος'];['n-p---fa-'];2;1
5459;μικρὰς;['μικρός'];['a-p---fa-'];1;1
5460;παρέπλεον;['παραπλέω'];['v3piia---'];1;1
5461;συγκαθεσθεὶς;['συγκαθέζομαι'];['v-sappmn-'];1;1
5462;καλὸς;['καλός'];['a-s---mn-'];1;1
5463;μέγας;['μέγας'];['a-s---mn-'];1;1
5464;σῶζε;['σώζω'];['v2spma---'];1;1
5465;φορτία;['φορτίον'];['n-p---na-', 'n-p---nn-'];1;2
5466;πενήτων;['πένης'];['n-p---mg-'];1;1
5467;ὡρμίσαντο;['ὁρμίζω'];['v3paim---'];1;1
5468;καταντικρὺ;['καταντικρύ'];['r--------'];1;1
5469;Ἀττικῆς;['Ἀττική'];['n-s---fg-'];1;1
5470;χηλήν;['χηλή'];['n-s---fa-'];1;1
5471;πηγὴ;['πηγή'];['n-s---fn-'];1;1
5472;αὐτόθι;['αὐτόθι'];['d--------'];1;1
5473;νάματος;['νᾶμα'];['n-s---ng-'];1;1
5474;λειμὼν;['λειμών'];['n-s---mn-'];1;1
5475;εὐφυής;['εὐφυής'];['a-s---mn-'];1;1
5476;προαγαγόντες;['προάγω'];['v-papamn-'];1;1
5477;φαιδρύνεσθαι;['φαιδρύνω'];['v--pne---'];1;1
5478;ἀναπαύσασθαι;['ἀναπαύω'];['v--anm---'];1;1
5479;ἠξίωσαν;['ἀξιόω'];['v3paia---'];1;1
5480;διασώζειν;['διασῴζω'];['v--pna---'];1;1
5481;μόνοι;['μόνος'];['a-p---mn-'];1;1
5482;ἐβουλεύοντο;['βουλεύω'];['v3piie---'];1;1
5483;στόλον;['στόλος'];['n-s---ma-'];1;1
5484;Ἀθῆναι;['Ἀθήνη', 'Ἀθῆναι'];['n-p---fn-'];2;1
5485;μεγάλη;['μέγας'];['a-s---fn-'];1;1
5486;εὐδαίμων;['εὐδαίμων'];['a-s---fn-'];1;1
5487;ἐμπόρων;['ἔμπορος'];['a-p---mg-'];1;1
5488;εὑρήσομεν;['εὑρίσκω'];['v1pfia---'];1;1
5489;Ἀθήναις;['Ἀθήνη', 'Ἀθῆναι'];['n-p---fd-'];2;1
5490;ἰδεῖν;['nan', 'ὁράω'];['---------', 'v--ana---'];2;2
5491;[4];"['""""', '_', 'nan']";"['""""', '-', 'nan']";3;3
5492;καταπλεῖν;['καταπλέω'];['v--pna---'];1;1
5493;Ἀθήνας;['Ἀθήνη', 'Ἀθῆναι'];['n-p---fa-'];2;1
5494;ἤρεσκε;['ἀρέσκω'];['v3siia---'];1;1
5495;Θήρωνι;['Θήρων'];['n-s---md-'];1;1
5496;περιεργία;['περιεργία'];['n-s---fn-'];1;1
5497;ὑμεῖς;['σύ'];['p-p---cn-', 'p2p----n-', 'p2p---cn-'];1;3
5498;ἀκούετε;['ἀκούω'];['v2ppia---', 'v2ppma---'];1;2
5499;πολυπραγμοσύνην;['πολυπραγμοσύνη'];['n-s---fa-'];1;1
5500;παραδόξου;['παράδοξος'];['a-s---fg-', 'a-s---ng-'];1;2
5501;θεάματος;['θέαμα'];['n-s---ng-'];1;1
5502;διέτρεχε;['διατρέχω'];['v3siia---'];1;1
5503;μνηστῆρες;['μνηστήρ'];['n-p---mn-'];1;1
5504;κατέρρεον;['καταρρέω'];['v3piia---'];1;1
5505;Συρακούσας;['Συράκουσαι'];['n-p---fa-'];1;1
5506;δυνάσται;['δυνάστης'];['n-p---mn-'];1;1
5507;παῖδες;['παῖς'];['n-p---cn-', 'n-p---mn-'];1;2
5508;Ἰταλίας;['Ἰταλία'];['n-s---fg-'];1;1
5509;Ἠπείρου;['Ἤπειρος'];['n-s---fg-'];1;1
5510;νήσων;['νῆσος'];['n-p---fg-'];1;1
5511;Ἠπείρῳ;['Ἤπειρος'];['n-s---md-'];1;1
5512;δῆμός;['δῆμος'];['n-s---mn-'];1;1
5513;λάλος;['λάλος'];['a-s---mn-'];1;1
5514;φιλόδικος;['φιλόδικος'];['a-s---mn-'];1;1
5515;λιμένι;['λιμήν'];['n-s---md-'];1;1
5516;μυρίοι;['μυρίος'];['a-p---mn-'];1;1
5517;συκοφάνται;['συκοφάντης'];['n-p---mn-'];1;1
5518;πεύσονται;['πυνθάνομαι'];['v3pfim---'];1;1
5519;φέρομεν;['φέρω'];['v1ppia---'];1;1
5520;ὑποψία;['ὑποψία'];['n-s---fn-'];1;1
5521;καταλήψεται;['καταλαμβάνω'];['v3sfim---'];1;1
5522;πονηρὰ;['πονηρός'];['a-p---na-', 'a-s---fn-'];1;2
5523;κακοήθεις;['κακοήθης'];['a-p---ma-'];1;1
5524;Ἄρειος;['Ἄρειος'];['a-s---mn-'];1;1
5525;πάγος;['πάγος'];['n-s---mn-'];1;1
5526;βαρύτεροι;['βαρύς'];['a-p---mnc'];1;1
5527;φοβηθῶμεν;['φοβέω'];['v1pasp---'];1;1
5528;ἐπιτήδειόν;['ἐπιτήδειος'];['a-s---nn-'];1;1
5529;Ἰωνία;['Ἰωνία'];['n-s---fn-'];1;1
5530;βασιλικὸς;['βασιλικός'];['a-s---mn-'];1;1
5531;Ἀσίας;['Ἀσία'];['n-s---fg-'];1;1
5532;ἄνωθεν;['ἄνωθεν'];['d--------', 'r--------'];1;2
5533;ἐπιρρέων;['ἐπιρρέω'];['v-sppamn-'];1;1
5534;τρυφῶντες;['τρυφάω'];['v-pppamn-'];1;1
5535;ἀπράγμονες;['ἀπράγμων'];['a-p---mn-'];1;1
5536;ἐλπίζω;['ἐλπίζω'];['v1spia---'];1;1
5537;αὐτόθεν;['αὐτόθεν'];['d--------'];1;1
5538;γνωρίμους;['γνώριμος'];['a-p---ma-'];1;1
5539;ὑδρευσάμενοι;['ὑδρεύω'];['v-papmmn-'];1;1
5540;παρουσῶν;['πάρειμι'];['v-pppafg-'];1;1
5541;ὁλκάδων;['ὁλκάς'];['n-p---fg-'];1;1
5542;ἐπισιτισμὸν;['ἐπισιτισμός'];['n-s---ma-'];1;1
5543;ἔπλεον;['πλέω'];['v1siia---', 'v3piia---'];1;2
5544;εὐθὺ;['εὐθύς', 'εὐθύς2'];['a-s---na-', 'd--------'];2;2
5545;Μιλήτου;['Μίλητος'];['n-s---fg-'];1;1
5546;τριταῖοι;['τριταῖος'];['a-p---mn-'];1;1
5547;κατήχθησαν;['κατάγω'];['v3paip---'];1;1
5548;ὅρμον;['ὅρμος'];['n-s---ma-'];1;1
5549;ἀπέχοντα;['ἀπέχω'];['v-sppama-'];1;1
5550;σταδίους;['στάδιον'];['n-p---ma-'];1;1
5551;ὀγδοήκοντα;['ὀγδοήκοντα'];['m--------'];1;1
5552;εὐφυέστατον;['εὐφυής'];['a-s---mas'];1;1
5553;ὑποδοχήν;['ὑποδοχή'];['n-s---fa-'];1;1
5554;ἐκφέρειν;['ἐκφέρω'];['v--pna---'];1;1
5555;μονὴν;['μονή'];['n-s---fa-'];1;1
5556;Καλλιρόῃ;['Καλλιρόη'];['n-s---fd-'];1;1
5557;παρέχειν;['παρέχω'];['v--pna---'];1;1
5558;φιλανθρωπίας;['φιλανθρωπία'];['n-s---fg-'];1;1
5559;ἔπραττεν;['πράσσω'];['v3siia---'];1;1
5560;φιλοκερδίας;['φιλοκερδία'];['n-s---fg-'];1;1
5561;ἔμπορος;['ἔμπορος'];['n-s---mn-'];1;1
5562;λῃστής;['λῃστής'];['n-s---mn-'];1;1
5563;διέδραμεν;['διατρέχω'];['v3saia---'];1;1
5564;παραλαβὼν;['παραλαμβάνω'];['v-sapamn-'];1;1
5565;ἐπιτηδείων;['ἐπιτήδειος'];['a-p---mg-', 'a-p---ng-'];1;2
5566;μνηστεύεται;['μνηστεύω'];['v3spie---'];1;1
5567;γάμους;['γάμος'];['n-p---ma-'];1;1
5568;σήμερον;['σήμερον'];['d--------'];1;1
5569;ἀξίων;['ἄξιος'];['a-p---mg-', 'a-p---ng-'];1;2
5570;ἐβουλεύετο;['βουλεύω'];['v3siie---'];1;1
5571;ζητεῖν;['ζητέω'];['v--pna---'];1;1
5572;ὠνητὴν;['ὠνητής'];['n-s---ma-'];1;1
5573;περιβόητον;['περιβόητος'];['a-s---na-', 'a-s---nn-'];1;2
5574;ἔσπευδε;['σπεύδω'];['v3siia---'];1;1
5575;πρᾶσιν;['πρᾶσις'];['n-s---fa-'];1;1
5576;δυσδιάθετον;['δυσδιάθετος'];['a-s---na-', 'a-s---nn-'];1;2
5577;ἀπέβαινεν;['ἀποβαίνω'];['v3siia---'];1;1
5578;κτῆμα;['κτῆμα'];['n-s---na-', 'n-s---nn-'];1;2
5579;ἐπιτυχόντων;['ἐπιτυγχάνω'];['v-papamg-'];1;1
5580;πλουσίου;['πλούσιος'];['a-s---mg-'];1;1
5581;βασιλέως;['βασιλεύς'];['n-s---mg-'];1;1
5582;ἐφοβεῖτο;['φοβέω'];['v3siie---'];1;1
5583;γινομένης;['γίγνομαι'];['v-sppefg-'];1;1
5584;διατριβῆς;['διατριβή'];['n-s---fg-'];1;1
5585;ὑπέμενε;['ὑπομένω'];['v3siia---'];1;1
5586;παρολκήν;['παρολκή'];['n-s---fa-'];1;1
5587;ἐπελθούσης;['ἐπέρχομαι'];['v-sapafg-'];1;1
5588;καθεύδειν;['καθεύδω'];['v--pna---'];1;1
5589;ἀνόητος;['ἀνόητος'];['a-s---mn-'];1;1
5590;ἀπολέλοιπας;['ἀπολείπω'];['v2sria---'];1;1
5591;τοσαύταις;['τοσοῦτος'];['p-p---fd-'];1;1
5592;ἡμέραις;['ἡμέρα'];['n-p---fd-'];1;1
5593;ἐρημίᾳ;['ἐρημία'];['n-s---fd-'];1;1
5594;πειραταί;['πειρατής'];['n-p---mn-'];1;1
5595;ἡμετέρους;['ἡμέτερος'];['a-p---ma-'];1;1
5596;φοβοῦμαι;['φοβέω'];['v1spie---'];1;1
5597;δήπου;['δήπου'];['d--------'];1;1
5598;δικαιοτάτους;['δίκαιος'];['a-p---mas'];1;1
5599;ἐστρατολόγησας;['στρατολογέω'];['v2saia---'];1;1
5600;φυλάττωσιν;['φυλάσσω'];['v3ppsa---'];1;1
5601;πονηροτάτους;['πονηρός'];['a-p---mas'];1;1
5602;ᾔδεις;['οἶδα'];['v2slia---'];1;1
5603;κάθευδε;['καθεύδω'];['v2spma---'];1;1
5604;διαδραμὼν;['διατρέχω'];['v-sapamn-'];1;1
5605;ῥῖψον;['ῥίπτω'];['v2sama---'];1;1
5606;περιττήν;['περισσός'];['a-s---fa-'];1;1
5607;ἐπάγου;['ἐπάγω'];['v2spme---'];1;1
5608;μηνύσειε;['μηνύω'];['v3saoa---'];1;1
5609;Ἔρως;['Ἔρως'];['n-s---mn-'];1;1
5610;δημαγωγός;['δημαγωγός'];['n-s---mn-'];1;1
5611;κοιμηθεὶς;['κοιμάω'];['v-sappmn-'];1;1
5612;ἐνύπνιον;['ἐνύπνιον'];['n-s---na-', 'n-s---nn-'];1;2
5613;κεκλεισμένας;['κλείω'];['v-prpefa-'];1;1
5614;θύρας;['θύρα'];['n-p---fa-', 'n-s---fg-'];1;2
5615;ἐπισχεῖν;['ἐπέχω', 'ἐπίσχω'];['v--ana---', 'v--pna---'];2;2
5616;ἀλύων;['ἀλύω'];['v-sppamn-'];1;1
5617;ἐργαστηρίου;['ἐργαστήριον'];['n-s---ng-'];1;1
5618;ταραχώδης;['ταραχώδης'];['a-s---mn-'];1;1
5619;παντάπασι;['παντάπασι'];['d--------'];1;1
5620;μεταξὺ;['μεταξύ'];['d--------', 'r--------'];1;2
5621;παρῄει;['παρέρχομαι'];['v3siia---'];1;1
5622;ἐλευθέρων;['ἐλεύθερος'];['a-p---mg-'];1;1
5623;μέσοις;['μέσος'];['a-p---nd-'];1;1
5624;καθεστώς;['καθίστημι'];['v-srpamn-', 'v-srpannp'];1;2
5625;μελανειμονῶν;['μελανειμονέω'];['v-sppamn-'];1;1
5626;σκυθρωπός;['σκυθρωπός'];['a-s---mn-'];1;1
5627;ἀναστὰς;['ἀνίστημι', 'ἀνίστημι'];['v-sapamn-', 'v-sapmmn-'];2;2
5628;περίεργον;['περίεργος'];['a-s---nn-'];1;1
5629;φύσις;['φύσις'];['n-s---fn-'];1;1
5630;ἐπακολουθούντων;['ἐπακολουθέω'];['v-pppamg-'];1;1
5631;ἀπεκρίνατο;['_', 'ἀποκρίνω'];['-', 'v3saim---'];2;2
5632;ξένος;['ξένος'];['a-s---mn-'];1;1
5633;δοκεῖς;['δοκέω'];['v2spia---'];1;1
5634;μακρόθεν;['μακρόθεν'];['d--------', 'r--------'];1;2
5635;ἥκειν;['ἥκω'];['v--pna---'];1;1
5636;ἀγνοεῖς;['ἀγνοέω'];['v2spia---'];1;1
5637;Διονύσιον;['Διονύσιος'];['n-s---ma-'];1;1
5638;γένει;['γένος'];['n-d---na-', 'n-s---nd-'];1;2
5639;παιδείᾳ;['παιδεία'];['n-s---fd-'];1;1
5640;Ἰώνων;['Ἴων', 'Ἴωνες'];['n-p---mg-'];2;1
5641;ὑπερέχοντα;['ὑπερέχω'];['v-sppama-'];1;1
5642;μεγάλου;['μέγας'];['a-s---mg-', 'a-s---ng-', 'a-s---ngp'];1;3
5643;διατί;['διατί'];['d--------'];1;1
5644;μελανειμονεῖ;['μελανειμονέω'];['v3spia---'];1;1
5645;γυνὴ;['γυνή'];['n-s---fn-'];1;1
5646;ἤρα;['ἐράω'];['v3siia---'];1;1
5647;εἴχετο;['ἔχω'];['v3siie---'];1;1
5648;ὁμιλίας;['ὁμιλία'];['n-s---fg-'];1;1
5649;εὑρηκὼς;['εὑρίσκω'];['v-srpamn-'];1;1
5650;φιλογύναιον;['φιλογύναιος'];['a-s---ma-'];1;1
5651;οὐκέτ’;['οὐκέτι'];['d--------'];1;1
5652;ἀνῆκε;['ἀνίημι'];['v3saia---'];1;1
5653;ἔχεις;['ἔχις', 'ἔχω'];['n-p---ma-', 'v2spia---'];2;2
5654;φιλόπατρις;['φιλόπατρις'];['n-s---mn-'];1;1
5655;ἀντειπεῖν;['ἀντιλέγω'];['v--ana---'];1;1
5656;ἐδυνήθη;['δύναμαι'];['v3saip---'];1;1
5657;δεομένῃ;['δέω'];['v-sppefd-'];1;1
5658;διοικητής;['διοικητής'];['n-s---mn-'];1;1
5659;ὅλων;['ὅλος'];['a-p---fg-', 'a-p---ng-'];1;2
5660;τρέφω;['τρέφω'];['v1spia---'];1;1
5661;μητρὸς;['μήτηρ'];['n-s---fg-'];1;1
5662;ἀθλίας;['ἄθλιος'];['a-s---fg-'];1;1
5663;ὥρας;['ὥρα'];['n-p---fa-', 'n-s---fg-'];1;2
5664;ὀρφανόν;['ὀρφανός'];['a-s---ma-'];1;1
5665;καλῇ;['καλέω'];['v2spie---'];1;1
5666;Λεωνᾶς;['Λεωνᾶς'];['n-s---mn-'];1;1
5667;Λεωνᾶ;['Λεωνᾶς'];['n-s---mg-', 'n-s---mv-'];1;2
5668;συνέβαλον;['συμβάλλω'];['v1saia---'];1;1
5669;ἔμπορός;['ἔμπορος'];['a-s---mn-'];1;1
5670;πλέω;['πλέω'];['v1spia---'];1;1
5671;Συβαρῖτις;['Συβαρῖτις'];['n-s---fn-'];1;1
5672;εὐδαιμονεστάτη;['εὐδαίμων'];['a-s---fns'];1;1
5673;καλλίστην;['καλός'];['a-s---fas'];1;1
5674;ἐπώλησεν;['πωλέω'];['v3saia---'];1;1
5675;ἐπριάμην;['πρίαμαι'];['v1siie---'];1;1
5676;σεαυτῷ;['σεαυτοῦ'];['p2s---md-'];1;1
5677;θέλεις;['θέλω', 'ἐθέλω'];['v2spia---'];2;1
5678;τροφὸν;['τροφός'];['n-s---ma-'];1;1
5679;παιδίου;['παιδίον'];['n-s---ng-'];1;1
5680;πεπαίδευται;['παιδεύω'];['v3srie---'];1;1
5681;ἱκανῶς;['ἱκανός'];['d--------'];1;1
5682;ὑπολαμβάνεις;['ὑπολαμβάνω'];['v2spia---'];1;1
5683;χαρίσασθαι;['χαρίζω'];['v--anm---'];1;1
5684;ἀργυρώνητον;['ἀργυρώνητος'];['a-s---fa-'];1;1
5685;τροφίμῃ;['τρόφιμος'];['a-s---fd-'];1;1
5686;μητρυιὰν;['μητρυιά'];['n-s---fa-'];1;1
5687;ἐπαγάγηται;['ἐπάγω'];['v3sasm---'];1;1
5688;ἤκουσεν;['ἀκούω'];['v3saia---'];1;1
5689;μοί;['ἐγώ'];['p1s---cd-'];1;1
5690;κατέπεμψεν;['καταπέμπω'];['v3saia---'];1;1
5691;ὠνειροπόλουν;['ὀνειροπολέω'];['v1siia---'];1;1
5692;ὕπαρ;['ὕπαρ'];['d--------', 'n-s---na-'];1;2
5693;δεικνύεις;['δείκνυμι'];['v2spia---'];1;1
5694;κατανεύσαντος;['κατανεύω'];['v-sapamg-'];1;1
5695;νέοι;['νέος'];['a-p---mn-'];1;1
5696;ἀπῄεσαν;['ἄπειμι', 'ἄπειμι2'];['v3piia---'];2;1
5697;βουλὴ;['βουλή'];['n-s---fn-'];1;1
5698;ἠκολούθουν;['ἀκολουθέω'];['v3piia---'];1;1
5699;Ἑρμοκράτει;['Ἑρμοκράτης'];['n-s---md-'];1;1
5700;ἐλθὲ;['ἔρχομαι'];['v2sama---'];1;1
5701;γενοῦ;['γίγνομαι'];['v2samm---'];1;1
5702;αἵρεσιν;['αἵρεσις'];['n-s---fa-'];1;1
5703;ὄψις;['ὄψις'];['n-s---fn-'];1;1
5704;κρινεῖ;['κρίνω'];['v3sfia---'];1;1
5705;δεσποτικόν;['δεσποτικός'];['a-s---nn-'];1;1
5706;ἐθαύμαζε;['θαυμάζω'];['v3siia---'];1;1
5707;ὑποδοχὴν;['ὑποδοχή'];['n-s---fa-'];1;1
5708;Περσῶν;['Πέρσης'];['n-p---mg-'];1;1
5709;παρεσκευασμένη;['παρασκευάζω'];['v-srpefn-'];1;1
5710;θεραπείαν;['θεραπεία'];['n-s---fa-'];1;1
5711;δεσπότου;['δεσπότης'];['n-s---mg-'];1;1
5712;λαβὼν;['λαμβάνω'];['v-sapamn-'];1;1
5713;ἀνήγαγεν;['ἀνάγω'];['v3saia---'];1;1
5714;οἴκησιν;['οἴκησις'];['n-s---fa-'];1;1
5715;ἐλευθέριον;['ἐλευθέριος'];['a-s---fa-', 'a-s---ma-'];1;2
5716;παραθεῖναι;['παρατίθημι'];['v--ana---'];1;1
5717;τράπεζαν;['τράπεζα'];['n-s---fa-'];1;1
5718;ἁρμόσασθαι;['ἁρμόζω'];['v--anm---'];1;1
5719;δεινός;['δεινός'];['a-s---mn-'];1;1
5720;ἥπτετο;['ἅπτω'];['v3siie---'];1;1
5721;τροφῆς;['τροφή'];['n-s---fg-'];1;1
5722;ἐφιλοφρονεῖτο;['φιλοφρονέομαι'];['v3siie---'];1;1
5723;προπόσεσι;['πρόποσις'];['n-p---fd-'];1;1
5724;Λεωνᾶν;['Λεωνᾶς'];['n-s---ma-'];1;1
5725;ἁπλότητος;['ἁπλότης'];['n-s---fg-'];1;1
