;form;lemmi_relation;lemmi_definitivo
9051;συνόντων;['σύνειμι1'];['σύνειμι']
9062;Ἄλπεια;['Ἄλπεια', 'Ἄλπειος'];['Ἄλπειος']
9070;ἀνίσχουσι;['ἀνά-ἴσχω'];['ἀνίσχω']
9071;Ἀλπείων;['Ἄλπεια', 'Ἄλπειον', 'Ἄλπις'];['Ἄλπειος']
9082;ἐξιόν;['ἔξειμι2'];['ἔξειμι']
9099;Ῥωμαϊκὴν;['Ῥωμαικός', 'Ῥωμαῖος'];['Ῥωμαικός']
9100;κατέκανε;['κατά-καίνω'];['κατακαίνω']
9106;μετῄει;['μέτειμι2'];['μέτειμι']
9116;ἐκτρύχων;['ἐκτρυχόω'];['ἐκτρύχω']
9145;πολεμίων;['πολέμιος', 'πολεμέω', 'πολεμίος'];['πολέμιος']
9152;εὐθύς;['εὐθύς', 'εὐθύς2'];['εὐθύς']
9153;προκαταρχόμενος;['προκατάρχομαι'];['προκατάρχω']
9162;ἔκτεινεν;['ἐκτείνω'];['κτείνω']
9168;μάχην;['μάχη', 'μαχή'];['μάχη']
9178;πλείοσι;['πλείων'];['πολύς']
9180;ἐπῴκιζεν;['ἐπί-οἰκίζω'];['ἐποικίζω']
9191;ὀλυμπιάδος;['ὀλυμπιάδος', 'ὀλυμπιάς', 'Ὀλυμπιὰς'];['ὀλυμπιάς']
9194;Βιθυνία;['Βιθυνίη'];['Βιθυνία']
9196;ἀπολιπόντος;['ἀπολείπω', 'ἀπολιμπάνω'];['ἀπολείπω']
9199;Λαγίδου;['Λάγιδος'];['Λαγίδης']
9206;λῃστῶν;['ληιστής'];['λῃστής']
9208;Κρήτην;['Κρήτη', 'κρήτη'];['Κρήτη']
9210;μονομάχων;['μονόμαχος'];['μονομάχος']
9226;δορυφόρους;['δορυφόρος', 'δορύφορος'];['δορυφόρος']
9236;ὑπέδακνεν;['ὑπό-δάκνω'];['ὑποδάκνω']
9246;τελέως;['τέλειος', 'τελειός'];['τέλειος']
9257;ὑπήκοα;['ὑπήκοον', 'ὑπήκοος'];['ὑπήκοος']
9262;ὑποκρεμάσαντος;['ὑπό-κρεμάννυμι'];['ὑποκρεμάννυμι']
9271;Καλάγυρον;['Κλάγυρος'];['Καλάγυρος']
9274;ἔκτεινε;['ἐκτείνω'];['κτείνω']
9276;Ἰβηρίᾳ;['Ἰβηρία', 'Ἰβηρίη'];['Ἰβηρία']
9278;πόλεσι;['πολύς', 'πόλις'];['πόλις']
9310;ὑπερηγωνίζοντο;['ὑπέρ-ἀγωνίζομαι'];['ὑπεραγωνίζομαι']
9321;διαίτης;['δίαιτα', 'δίατια'];['δίαιτα']
9324;ἀποθανοῦσι;['ἀποθνήσκω'];['ἀποθνῄσκω']
9349;διεχρήσατο;['διά-χράω2'];['διαχράομαι']
9356;κατέδησεν;['καταδέω1'];['καταδέω']
9377;χρησόμενος;['χράω2'];['χράω']
9399;εἴτε;['εἴτε', 'τε'];['εἴτε']
9416;Θρᾲξ;['Θράκιος'];['Θρᾷξ']
9419;μονομάχοις;['μονόμαχος'];['μονομάχος']
9422;βιασάμενος;['βιάω'];['βιάζω']
9425;ὁδοιπόρων;['ὁδοίπορος'];['ὁδοιπόρος']
9434;μονομάχους;['μονόμαχος'];['μονομάχος']
9441;ἐπεδημηγόρησε;['ἐπί-δημηγορέω'];['ἐπιδημηγορέω']
9451;στρατιὰν;['στρατία', 'στρατιά'];['στρατιά']
9462;μονομάχου;['μονομάχης'];['μονομάχος']
9474;Ἀπεννίνων;['Ἀπέννινον'];['Ἀπέννινος']
9475;Κελτοὺς;['Κελτοί', 'Κελτός'];['Κελτός']
9494;προσιόντων;['προσέρχομαι', 'πρόσειμι1'];['πρόσειμι']
9513;Πικηνίτιδα;['Πικήνιτις'];['Πικηνῖτις']
9530;κεκτῆσθαι;['κτάομαι', 'κτέομαι'];['κτάομαι']
9531;σίδηρον;['σίδηρον', 'σίδηρος'];['σίδηρος']
9541;ἐξῄεσαν;['ἔξειμι2'];['ἔξειμι']
9555;πλούτῳ;['πλοῦτος', 'πλοῦτος1'];['πλοῦτος']
9560;ἓξ;['ἓξ', 'ἕξ'];['ἓξ']
9568;ἡττημένον;['ἡσσάομαι', 'ἡττάω'];['ἡσσάομαι']
9578;κατακανὼν;['κατά-καίνω'];['κατακαίνω']
9597;ἀποθανόντων;['ἀποθνήσκω'];['ἀποθνῄσκω']
9654;ἐπιόντας;['ἐπέρχομαι', 'ἔπειμι1', 'ἔπειμι2'];['ἔπειμι']
9660;ἐψηφίζοντο;['ψηφίζομαι'];['ψηφίζω']
9672;χιλίους;['χίλιοι', 'χίλιος'];['χίλιοι']
9684;δόξῃ;['δοκέω', 'δόξα', 'δόξις'];['δοκέω', 'δόξα']
9698;προδιαλῦσαι;['πρό-διαλύω'];['προδιαλύω']
9701;προκαθημένων;['προκάθημαι', 'πρό-κάθημαι'];['προκάθημαι']
9706;πρῶτα;['πρότερος', 'πρῶτος'];['πρῶτος']
9709;προύλεγον;['προλέγω2'];['προλέγω']
9741;ἀπεικὸς;['ἀπεοικώς'];['ἀπέοικα']
9752;Ῥωμαῖε;['Ῥωμαικός'];['Ῥωμαῖος']
9756;μεμελημένη;['ἐπιμελέομαι'];['μέλω']
9770;ναίουσιν;['ναίω1'];['ναίω']
9788;εἶδον;['εἶδον', 'ὁράω'];['ὁράω']
9790;στρατιὴν;['στρατία', 'στρατιά'];['στρατιά']
9804;ἀποθάνοι;['ἀποθνήσκω'];['ἀποθνῄσκω']
9817;ἐτεθνήκεσαν;['θνήσκω'];['θνῄσκω']
9858;βασιλείας;['βασίλεια', 'βασιλεία'];['βασιλεία']
9859;ὀλυμπιάδων;['ὀλυμπιάδος'];['ὀλυμπιάς']
9869;Μιθριδατείων;['Μιθριδατείος'];['Μιθριδάτειος']
9871;ἀναπνεῦσαι;['ἀναπνέω', 'ἀναπνεύω'];['ἀναπνέω']
9883;ποδῶν;['πoύς', 'πούς'];['πoύς']
9902;διὸ;['διό', 'διὸ'];['διό']
9909;ἀρίστων;['ἄριστον', 'ἄριστος'];['ἀγαθός']
9918;προσεῖπεν;['προσεῖπον'];['προσλέγω']
9922;χρῷτο;['χράομαι', 'χράω2'];['χράω']
9927;προείρηται;['προερέω'];['προλέγω']
9936;δεόμενον;['δέομαι', 'δέω', 'δέω1', 'δέω2'];['δέω']
9943;θεωμένων;['θεάομαι', 'θεάω'];['θεάομαι']
9950;ὑπέδακνον;['ὑπό-δάκνω'];['ὑποδάκνω']
9958;ἡττημένοις;['ἡσσάομαι', 'ἡττάω'];['ἡσσάομαι']
9960;δεηθῆναι;['δέω2'];['δέω']
9964;Μιθριδατείῳ;['Μιθριδατείος'];['Μιθριδάτειος']
9966;βασιλείαν;['βασιλεία', 'βασιλειά'];['βασιλεία']
9972;Ἰταλοῖς;['ἰταλός'];['Ἰταλός']
9975;ἀποροῦντος;['ἀπορέω', 'ἀφοράω'];['ἀπορέω']
9985;ἤ;['ἤ', 'ἤ1'];['ἤ']
10005;ἐψηφίσατο;['ψηφίζομαι'];['ψηφίζω']
10006;Ἀλεξανδρέων;['Ἀλεξάνδρη', 'Ἀλεξανδρεύς'];['Ἀλεξανδρεύς']
10008;βασιλείου;['βασίλειον', 'βασίλειος'];['βασίλειος']
10009;δεομένων;['δέομαι', 'δέω', 'δέω2'];['δέω']
10019;ἔκτειναν;['κτείνω', 'ἐκτείνω'];['κτείνω']
10050;βιασάμενον;['βιάζω', 'βιάω'];['βιάζω']
10095;φυλασσόμενος;['φυλάζω'];['φυλάσσω']
10100;ὑπεστρατευμένων;['ὑπό-στρατεύω'];['ὑποστρατεύομαι']
10124;δεηθεῖσι;['δέω2'];['δέω']
10126;παρεκάθητο;['πάρημαι'];['παρακάθημαι']
10137;πονουμένοιν;['πονέομαι'];['πονέω']
10143;ἐπεπτώκει;['πίπτω'];['ἐπιπίπτω']
10150;Ἀσκλαίοις;['Ἀσκλαίος'];['Ἀσκλαῖος']
10151;ἴδωσι;['εἶδον'];['ὁράω']
10153;ἐπιόντα;['ἔπειμι1', 'ἔπειμι2'];['ἔπειμι']
10156;Ἀσκλαῖοι;['Ἀσκλαίοις'];['Ἀσκλαῖος']
10163;περιέσεσθαι;['περίειμι1'];['περίειμι']
10166;πυρὰν;['πυρή'];['πυρά']
10167;νήσας;['νέω3'];['νέω']
10171;πότου;['πότης', 'πότος'];['πότος']
10192;Τυρρηνοὶ;['Τυρηηνός', 'Τυρρηνός'];['Τυρρηνός']
10204;Τυρρηνοὺς;['Τυρηηνός', 'Τυρρηνός'];['Τυρρηνός']
10209;πολεμοῦντας;['πολεμέω', 'πολεμόω'];['πολεμέω']
10215;πλέονες;['πλείων'];['πολύς']
10232;Τυρρηνίαν;['Τυρρηνία', 'Τυρρηνίη'];['Τυρρηνία']
10235;ἐψηφισμέναις;['ψηφίζομαι'];['ψηφίζω']
10249;Μάρσοις;['Μάρσοι'];['Μάρσος']
10250;πολεμῶν;['πολεμέω', 'πολεμόω', 'πόλεμος'];['πολεμέω']
10266;συνιόντων;['σύνειμι1'];['σύνειμι']
10275;ἐκπλαγέντες;['ἐκπλάσσω', 'ἐκπλήσσω'];['ἐκπλήσσω']
10276;Γαλάται;['Γαλάται', 'Γαλάτης'];['Γαλάται']
10299;ἔπεσε;['πίπτω', 'ἐπιέννυμι'];['πίπτω']
10304;Λευκανοὺς;['Λευκανός'];['Λευκανοί']
10321;Ἱρπίνων;['Ἱρπῖνοι'];['Ἱρπινοί']
10326;Σαυνιτῶν;['Σαυνίτης', 'Σαυνῖται'];['Σαυνῖται']
10331;προσπεσὼν;['προσπίτνω'];['προσπίπτω']
10336;τραυματίας;['τραυματίας', 'τραυματίης'];['τραυματίας']
10345;Βουάνων;['Βουάνος'];['Βουανός']
10363;Μάρσους;['Μάρσοι'];['Μάρσος']
10364;Μαρρουκίνους;['Μαρρουκῖνοι'];['Μαρρουκινοί']
10369;Κάννας;['Κάννα'];['Κάνναι']
10379;διείργοντος;['διείργω'];['διέργω']
10380;περᾶν;['περάω1'];['περάω']
10382;περάσειεν;['περάω1'];['περάω']
10388;Οὐενουσίων;['Οὐενουσίος'];['Οὐενούσιοι']
10390;Ποιδίκλους;['Ποίδικλος'];['Ποιδίκλοι']
10405;Λευκανῶν;['Λευκανοί', 'Λευκανός'];['Λευκανοί']
10419;ἀναμεμιγμένοι;['ἀναμίσγω'];['ἀναμίγνυμι']
10450;ἔθυε;['θύω1'];['θύω']
10486;ἆθλον;['ἆθλον', 'ἆθλος'];['ἄεθλον', 'ἆθλος']
10492;Βιθυνίαν;['Βιθυνία', 'Βιθυνίη'];['Βιθυνία']
10493;Φρυγίαν;['Φρυγία', 'φρυγία'];['Φρυγία']
10498;Ἀσίας;['̓Ασία', 'Ἀσία', 'Ἀσίας'];['̓Ασία']
10509;προλέγων;['προλέγω1'];['προλέγω']
10581;ἄρχοντες;['ἄρχω', 'ἄρχων'];['ἄρχω']
10602;ἀπιοῦσιν;['ἀπέρχομαι', 'ἄπειμι1'];['ἄπειμι']
10606;Αἰσκυλείας;['Αἰσκυλεία'];['Αἰσκύλειος']
10608;Κολλίνας;['Κολλίνας'];['Κολλῖνος']
10617;Αἰσκύλειον;['Αἰσκύλειον'];['Αἰσκύλειος']
10622;ἀπροφασίστως;['ἀπροφάσιστος', 'ἀπρόφατος'];['ἀπροφάσιστος']
10628;αἰδοῖ;['αἰδώ', 'αἰδώς'];['αἰδώς']
10632;νεαλεῖς;['νεαλής'];['νεαλεής']
10634;νώτου;['νῶτον', 'νῶτος'];['νῶτον']
10656;κρείττονας;['κρείσσων'];['ἀγαθός']
10657;προσιόντος;['πρόσειμι1'];['πρόσειμι']
10659;Ἱερὰν;['ἱερά', 'ἱερή', 'Ἱερή'];['Ἱερή']
10706;αἰδῶ;['αἰδώ', 'αἰδώς'];['αἰδώς']
10715;Κοίντον;['Κοίντος'];['Κόιντος']
10717;Ἀλβινοουανὸν;['Ἀλβινοουανoς'];['Ἀλβινοουανός']
10724;ἐψήφιστο;['ψηφίζομαι'];['ψηφίζω']
10729;ἀναφυομένου;['ἀνά-φύω'];['ἀναφύω']
10747;προσιόντα;['πρόσειμι1'];['πρόσειμι']
10753;ὑπανιστάμενος;['ὑπανίσταμαι'];['ὑπανίστημι']
10762;βοῶν;['βοάω', 'βοόω', 'βοῦς', 'βόα'];['βοή']
10765;ἐνέπιπτέ;['ἐμπίτνω'];['ἐμπίπτω']
10766;δαιμόνιον;['δαιμόνιον', 'δαιμόνιος'];['δαιμόνιον']
10780;Μιντούρνης;['Μιντούρνη'];['Μιντοῦρναι']
10782;ἔνθουν;['ἔνθεος'];['ἔνθους']
10791;ἠλᾶτο;['ἐλαύνω'];['ἀλάομαι']
10799;σκάφος;['σκάφος2'];['σκάφος']
10809;νεὼς;['ναός', 'ναῦς', 'νεώς'];['ναῦς']
10812;ἐπέρα;['περάω1'];['περάω']
10814;Σεξστιλίου;['Σεξστίλιος'];['Σεξτίλιος']
10817;ἄνω;['ἄνω', 'ἄνω2'];['ἄνω']
10818;Νομάδων;['Νομάς', 'νομάς'];['Νομάς']
10823;συγκατεγνωσμένων;['σύν-καταγιγνώσκω'];['συγκαταγιγνώσκω']
10824;Κέθηγός;['Κέθηγός'];['Κέθηγος']
10848;ἀπέλειπον;['ἀπολιμπάνω'];['ἀπολείπω']
10849;ἐνὸν;['ἐν-εἰμί'];['ἔνειμι']
10850;περιόντων;['περάω1'];['περίειμι']
10859;ἐψηφισμένος;['ψηφίζομαι'];['ψηφίζω']
10863;πυθόμενός;['πύθω'];['πυνθάνομαι']
10871;Τυρρηνοί;['Τυρηηνός', 'Τυρρηνός'];['Τυρηηνός']
10877;προϊών;['πρόειμι1'];['πρόειμι']
10879;φῶς;['φάος'];['φώς']
10886;σκυτοτόμου;['σκυτότομος'];['σκυτοτόμος']
10891;Οὐράιον;['Οὐράιος'];['Οὔραιος']
10906;ἐκπεσόντα;['ἐκπίτνω'];['ἐκπίπτω']
10917;ἐξῄει;['ἔξειμι2'];['ἔξειμι']
10931;ἀποστῆναι;['ἀφίστημι', 'ἀφεστήξω'];['ἀφίστημι']
10954;ἀπειλῶν;['ἀπειλέω', 'ἀπειλή'];['ἀπειλέω']
10956;ἐπανῃρέθη;['ἐπαναιρέομαι'];['ἐπαναιρέω']
10963;φειδώ;['φειδός'];['φειδώ']
10967;ἐκραγείσης;['ἐξαράσσω'];['ἐκρήγνυμι']
10970;συνεξέφαινε;['σύν-ἐκφαίνω'];['συνεκφαίνω']
10972;Μάρσοι;['Μάρσοι'];['Μάρσος']
10973;Παιλιγνοὶ;['Παιλιγνοὶ'];['Παιλιγνοί']
10975;Μαρρουκῖνοι;['Μαρρουκῖνοι'];['Μαρρουκινοί']
10977;Φρεντανοὶ;['Φρεντανοί'];['Φρεντανός']
10978;Ἱρπῖνοι;['Ἱρπῖνοι'];['Ἱρπινοί']
10979;Πομπηιανοὶ;['Πομπηιανοὶ'];['Πομπηιανός']
10983;Σαυνῖται;['Σαυνίτης', 'Σαυνῖται'];['Σαυνῖται']
11015;ἀρίστους;['ἀγαθός', 'ἄριστος'];['ἀγαθός']
11044;ἀντεκαθέζοντο;['ἀντί-καθέζομαι'];['ἀντικαθέζομαι']
11047;Σέξστον;['Σέξστον'];['Σέξστος']
11067;Γαΐῳ;['Γάιος', 'Γαῖος', 'Γαῗος'];['Γάιος']
11089;καταπλαγεῖσαι;['καταπλάσσω'];['καταπλήσσω']
11091;στρατιάν;['στρατία', 'στρατιά'];['στρατιά']
11099;Νομάδας;['Νομάς', 'νομάς'];['Νομάς']
11105;Ἰογόρθου;['Ἰογόρθος'];['Ἰογόρθης']
11112;Νομάσι;['Νομάς', 'νομάς'];['Νομάς']
11139;ὑπεριδὼν;['ὑπέρ-εἶδον'];['ὑπεροράω']
11150;περάσας;['περάω1'];['περάω']
11157;ἀποροῦντα;['ἀπορέω', 'ἀφοράω'];['ἀπορέω']
11167;ἀποθνῄσκοντας;['ἀποθνήσκω'];['ἀποθνῄσκω']
11169;θάνωσι;['θνήσκω'];['θνῄσκω']
11174;στρατιᾶς;['στρατία', 'στρατιά'];['στρατιά']
11185;ἐσθῆσι;['ἐσθής', 'ἔσθος'];['ἐσθής']
11202;προσέζευξεν;['προσζεύγνυμαι'];['προσζεύγνυμι']
11207;προσπεσόντος;['προσπίπτω', 'προσπίτνω'];['προσπίπτω']
11208;Ἐγνατίου;['Ἐγνατίος'];['Ἐγνάτιος']
11232;Μάρσων;['Μάρσοι'];['Μάρσος']
11234;θηρίων;['θηρίον', 'θηριόν'];['θηρίον']
11238;ἐπιέναι;['ἔπειμι2'];['ἔπειμι']
11251;ἀναμιχθῆναι;['ἀναμίσγω'];['ἀναμίγνυμι']
11253;ψηφιζόμενοι;['ψηφίζομαι', 'ψηφίζω'];['ψηφίζω']
11263;παρῄεσαν;['πάρειμι2'];['πάρειμι']
11265;ῥαβδοφόρων;['ῥαβδοφόρος', 'ῥαβδόφορος'];['ῥαβδόφορος']
11298;ἐξέδραμεν;['ἐκδιδράσκω'];['ἐκτρέχω']
11299;πολίτιδας;['πόλιτις'];['πολῖτις']
11301;Τίβυρτόν;['Τίβυρίς'];['Τίβουρα']
11319;Κίνναν;['Κίννας', 'κίννα'];['Κίννας']
11325;Μακεδονίας;['Μακεδ́νιος', 'Μακεδονία'];['Μακεδονία']
11356;Πικηνίτιδος;['Πικηνίτης'];['Πικηνῖτις']
11362;Γάιός;['Γάιός', 'Γαῗος'];['Γάιος']
11364;συνέλεξε;['συλλέγω', 'σύν-λέγω1', 'σύν-λέγω3'];['συλλέγω']
11375;Πόντον;['Πόντος', 'πόντος'];['πόντος']
11379;ἐκπεσών;['ἐκπίτνω'];['ἐκπίπτω']
11398;Μερόλαν;['Μερόλας'];['Μερούλας']
11407;ἀπολείποντες;['ἀπολείπω', 'ἀπολιμπάνω'];['ἀπολείπω']
11417;πλέοσι;['πλείων'];['πολύς']
11434;ἐνέπιπτε;['ἐμπίτνω'];['ἐμπίπτω']
11447;ἔσεισε;['εἰσίζομαι'];['σείω']
11448;νεώς;['ναός', 'ναῦς', 'νεώς'];['ναῦς']
11462;ἅλωσιν;['ἅλων', 'ἅλωσις'];['ἅλωσις']
11477;πλεῖον;['πλέω', 'πλέως', 'πλείων'];['πολύς']
11492;θνῄσκουσι;['θνήσκω'];['θνῄσκω']
11502;συνόδου;['σύνοδος1', 'σύνοδος2'];['σύνοδος']
11503;λεχθέντα;['λέγω3'];['λέγω']
11505;λελεγμένων;['λέγω3'];['λέγω']
11509;ἀποκρίσεις;['ἀπόκρισις', 'ἄποκρισλς'];['ἀπόκρισις']
11517;ἀποκρίσεως;['ἀπόκρισις', 'ἄποκρισλς'];['ἀπόκρισις']
11518;ἀπορῶν;['ἀπορέω', 'ἀφοράω'];['ἀπορέω']
11526;ἀποπέμψει;['ἀποπέμπω', 'ἀπόπεμψις'];['ἀπόπεμψις']
11528;μεταθήσεσθαι;['μεταθέω'];['μετατίθημι']
11542;ἀπόκρισιν;['ἀπόκρισις', 'ἄποκρισλς'];['ἀπόκρισις']
11548;ὁδούς;['ὁδός', 'ὁδός2'];['ὁδός']
11550;ἐψηφίζετο;['ψηφίζομαι'];['ψηφίζω']
11577;μεσημβρίαν;['μεσήμβριος', 'μεσημβρία'];['μεσημβρία']
11584;ἡττῆσθαι;['ἡσσάομαι', 'ἡττάω'];['ἡσσάομαι']
11585;ἀνεστρατοπέδευεν;['ἀνά-ἐνστρατοπεδεύω'];['ἀναστρατοπεδεύω']
11589;Σήτιον;['Σήτιος'];['Σήτιον']
11590;Ἱερὸν;['ἱερόν', 'Ἱερόν'];['ἱερόν']
11613;σεσωσμένων;['σώζω'];['σῴζω']
11622;προσδοκῶν;['προσδοκάω', 'προσδοκέω'];['προσδοκέω']
11624;Βρούτῳ;['Βρούτος'];['Βροῦτος']
11637;ἔξοδον;['ἔξοδος1'];['ἔξοδος']
11646;ὁδῶν;['ὁδός', 'ὁδός1', 'ὁδός2'];['ὁδός']
11651;ξὺν;['ξὺν', 'σύν'];['σύν']
11653;προσιοῦσι;['πρόσειμι1'];['πρόσειμι']
11661;πεδίῳ;['πέδιον', 'πεδίον'];['πεδίον']
11662;εἴσω;['εἴσω'];['ἔσω']
11687;Οὐριτανὴν;['Οὐριτανά'];['Οὐριτανή']
11710;Καρβωνείων;['Καρβωνείος'];['Καρβώνειος']
11766;καταθορὼν;['κατά-θρῴσκω'];['καταθρῴσκω']
11774;ὥρας;['ὅρα', 'ὤρα', 'ὥρα'];['ὤρα']
11784;ἐμπίπτοντες;['ἐμπίτνω'];['ἐμπίπτω']
11789;χιλίων;['χίλιοι', 'χίλιος'];['χίλιοι']
11806;πιστὸν;['πιστόν', 'πιστός', 'πιστός1', 'πιστός2'];['πιστός']
11808;σκάφους;['σκάφος2'];['σκάφος']
11816;ὑπερεπειγόμενος;['ὑπέρ-ἐπείγω'];['ὑπερεπείγω']
11833;βιασόμενοι;['βιάω'];['βιάζω']
11834;πάντως;['πάντως'];['πᾶς']
11835;περᾶσαι;['περάω1'];['περάω']
11839;ἐστρατοπέδευον;['ἐνστρατοπεδεύω'];['στρατοπεδεύω']
11845;Κολλίναις;['Κολλίναι'];['Κολλῖνος']
11852;συνεστρέχοντας;['σύν-εἰστρέχω'];['συνειστρέχω']
11855;ἐμπίπτουσαι;['ἐμπίτνω'];['ἐμπίπτω']
11862;Λαμπώνιός;['Λαμπώνιός'];['Λαμπώνιος']
11864;Καρβωνείου;['Καρβωνείος'];['Καρβώνειος']
11873;θεώμενοι;['θεάομαι', 'θεάω'];['θεάομαι']
11903;παιδία;['παίδιον', 'παιδίον'];['παιδίον']
11919;δυνατῶν;['δυνάτης', 'δυνατός'];['δυνατός']
11927;ἐφίστανον;['ἐπί-ἱστάνω'];['ἐφίστημι']
11931;ἐπικουρεῖν;['ἐπί-ἐπικουρέω'];['ἐπικουρέω']
11935;μάλιστά;['μάλα', 'μάλιστα'];['μάλα']
11948;πιστὸς;['πιστός1', 'πιστός2'];['πιστός']
11953;ἀνεμίχθησαν;['ἀναμίσγω'];['ἀναμίγνυμι']
11964;πεπερακότα;['περάω1'];['περάω']
11971;Ἄππιον;['̓́Αππιος', 'Ἄππιος'];['̓́Αππιος']
11974;Ἰάνουκλον;['Ἰάνουκλον', 'Ἰάνουκλος'];['Ἰάνουκλος']
11983;καταρραγέντων;['καταρράσσω'];['καταρρήγνυμι']
11984;ἀναμιγῆναι;['ἀναμίσγω'];['ἀναμίγνυμι']
12001;σταδίους;['στάδιον', 'στάδιος'];['στάδιος']
12005;Ἀλβανὸν;['Ἀλβανόν', 'Ἀλβανός'];['Ἀλβανόν']
12006;ἀντικαθημένων;['ἀντί-κάθημαι'];['ἀντικάθημαι']
12027;ἐστρατοπέδευεν;['ἐνστρατοπεδεύω'];['στρατοπεδεύω']
12028;ἀπορούντων;['ἀφοράω'];['ἀπορέω']
12030;ἀποροῦσα;['ἀφοράω'];['ἀπορέω']
12042;μέσου;['μέσης', 'μέσος'];['μέσος']
12043;ἄκοντος;['ἀέκων', 'ἄκων'];['ἀέκων']
12075;προυκάθητο;['πρό-κάθημαι'];['προκάθημαι']
12089;Κηνσωρίνου;['Κηνσωρίνος'];['Κηνσωρῖνος']
12098;πρώτου;['πρότερος', 'πρῶτος'];['πρῶτος']
12104;περιιόν;['περίειμι1'];['περίειμι']
12110;ἐπῆν;['ἔπειμι1'];['ἔπειμι']
12117;τεθνεώτων;['θνήσκω'];['θνῄσκω']
12119;θέαν;['θέα', 'θεά2'];['θέα']
12135;οἶνον;['οἶνον', 'οἶνος'];['οἶνος']
12138;πυθομένου;['πυνθάνομαι', 'πύθω'];['πυνθάνομαι']
12139;θεράπων;['θέραψ', 'θεράπων'];['θέραψ']
12144;ἡδονῆς;['ἡδονά', 'ἡδονή'];['ἡδονή']
12155;ἀκροωμένους;['ἀκροάζομαι', 'ἀκροάομαι'];['ἀκροάομαι']
12161;περιέσωσαν;['περισώζω'];['περισῴζω']
12168;πυράν;['πυρή'];['πυρά']
12171;ἐπιόντων;['ἔπειμι1', 'ἔπειμι2'];['ἔπειμι']
12175;περισέσωστο;['περισώζω'];['περισῴζω']
12177;θύσειν;['θύω1'];['θύω']
12240;ἄνθρακας;['ἄνθρα'];['ἄνθραξ']
12267;κατακανών;['κατά-καίνω'];['κατακαίνω']
12278;νεῶν;['νέα', 'ναῦς', 'νεώς'];['ναῦς']
12288;ὀξείας;['ὀξύς2'];['ὀξύς']
12291;ἔκτεινάν;['ἐκτείνω'];['κτείνω']
12294;Ἰογόρθαν;['Ἰογόρθας'];['Ἰουγούρθας']
12306;ἀπορουμένους;['ἀφοράω'];['ἀπορέω']
12311;προύλεγεν;['προλέγω2'];['προλέγω']
12314;ἐπεῖχε;['ἐπώχατο'];['ἐπέχω']
12316;προερεῖν;['προερέω'];['προλέγω']
12318;δέοιτο;['δέω', 'δέω2'];['δέω']
12320;εἴρητο;['λέγω', 'ἐρῶ'];['λέγω']
12325;πρέσβεων;['πρέσβις', 'πρέσβυς', 'πρεσβεύς'];['πρέσβις', 'πρέσβυς']
12326;ἀνεῖπον;['ἀνειπεῖν'];['ἀναλέγω']
12327;θᾶττον;['θάσσων', 'ταχύς'];['ταχύς']
12337;περάσειν;['περάω1'];['περάω']
12354;φαύλως;['φαύλως', 'φαῦλος'];['φαῦλος']
12355;ζῴῳ;['ζώιον', 'ζῷον'];['ζῷον']
12370;ζῴοις;['ζώιον', 'ζῷον'];['ζῷον']
12372;ἀγρίων;['ἀγρίος', 'ἄγριος'];['ἄγριος']
12373;βελτίω;['βελτίων'];['ἀγαθός']
12377;κρεῖττον;['κρατύς', 'κρείσσων'];['ἀγαθός']
12378;ἄρχον;['ἄρχω', 'ἄρχων'];['ἄρχω']
12385;βέλτιστον;['βέλτιστος', 'ἀγαθός'];['ἀγαθός']
12386;βέλτιόν;['βελτίων'];['ἀγαθός']
12387;εἰρημένοις;['ἐρῶ'];['λέγω']
12389;διώρισται;['διά-ὁρίζω'];['διορίζω']
12396;ζῷα;['ζώιον', 'ζῷον'];['ζῷον']
12401;ἀναγκαῖα;['ἀμ̄ακαῖος', 'ἀναγκαῖον', 'ἀναγκαῖος'];['ἀναγκαῖος']
12405;ἀναγκαίαν;['ἀναγκαίη', 'ἀναγκαῖος'];['ἀνάγκη']
12419;διωρίσθαι;['διά-ὁρίζω'];['διορίζω']
12430;κρείττονος;['κρείσσων'];['ἀγαθός']
12443;κρείττονα;['κρείσσων'];['ἀγαθός']
12444;διαστάντων;['διαστάζω'];['διίστημι']
12447;ἅτεροι;['ἅτερος'];['ἕτερος']
12458;δοκοῦντας;['δοκέω', 'δοκόω'];['δοκέω']
12464;λέγωσιν;['λέγω3'];['λέγω']
12465;εἴπομεν;['εἶπον'];['λέγω']
12472;θείων;['θεῖος1'];['θεῖος']
12494;δούλης;['δούλη', 'δοῦλος'];['δούλη']
12495;ταὐτόν;['ταὐτός'];['αὐτός']
12506;λέγονται;['λέγω3'];['λέγω']
12512;Συρακούσαις;['Συράκουσα', 'Συρακοῦσαι'];['Συράκουσαι']
12530;βαρβάρων;['βάπβαρος', 'βάρβαρος'];['βάρβαρος']
12542;διωρίσθω;['διά-ὁρίζω'];['διορίζω']
12546;ἐπείπερ;['ἐπεί', 'ἐπείπερ'];['ἐπεί']
12564;χρησομένη;['χράω2'];['χράω']
12577;πλοῦτος;['πλοῦτος1'];['πλοῦτος']
12587;ζῳοφάγα;['ζῳόφαγος'];['ζῳοφάγος']
12592;διώρισεν;['διά-ὁρίζω'];['διορίζω']
12594;ζῳοφάγων;['ζῳόφαγος'];['ζῳοφάγος']
12598;ἀργότατοι;['ἀργός1', 'ἀργός2'];['ἀργός']
