,@form,lemma_1,lemma_2,lemma_3,lemma_4,lemma_5,lemma_6,lemma_7,lemma_8,lemma_9,lemma_10,lemma_11,lemma_12,lemma_13,lemma_14,lemma_15,lemma_16,lemma_17,lemma_18,lemma_19,lemma_20,postag_1,postag_2,postag_3,postag_4,postag_5,postag_6,postag_7,postag_8
5571,ὅντιν᾽,ὅντινα,ὅστις,,,,,,,,,,,,,,,,,,,a-s---ma-,p-s---ma-,,,,,,
5572,προαίρεσίν,προαίρεσις,πρόαιρεσις,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
5573,προαίρεσις,προαίρεσις,πρόαιρεσις,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
5574,φιλοπόνως,φιλοπόνως,φιλόπονος,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
5575,σωθήσεσθαι,σώζω,σῴζω,,,,,,,,,,,,,,,,,,,v--fnp---,,,,,,,
5576,χρησάμενον,χράομαι,χράω2,,,,,,,,,,,,,,,,,,,v-sapmma-,,,,,,,
5577,πονησάντων,πονέω,,,,,,,,,,,,,,,,,,,,v-papang-,,,,,,,
5578,συντριβέντων,συντρίβω,συντρῖβω,,,,,,,,,,,,,,,,,,,v-pappng-,,,,,,,
5579,ἐστρατήγουν,στρατηγέω,στρατηγεω,,,,,,,,,,,,,,,,,,,v1siia---,,,,,,,
5580,εἵμαρτο,"εἱμαρται (forma 'εἵμαρτο' → 'ἁμαρτάνω' radice ? Melius 'εἱμαρμένον' = 'destinato'. LSJ: εἵμαρτο da ""εἱμαρμένη"".) ",εἵμαρτο,μείρομαι,,,,,,,,,,,,,,,,,,v3slie---,,,,,,,
5581,προσδοκῆσαι,προσδοκάω,προσδοκέω,,,,,,,,,,,,,,,,,,,v--ana---,,,,,,,
5582,πεῖραν,πειράω,πεῖρα,,,,,,,,,,,,,,,,,,,v--pna---,,,,,,,
5583,προλέγειν,προλέγω,προλέγω2,,,,,,,,,,,,,,,,,,,v--pna---,,,,,,,
5584,προῄδεις,προείδω,πρόοιδα,,,,,,,,,,,,,,,,,,,v2slia---,,,,,,,
5585,ἀγνοίας,ἀγνοία,ἄγνοια,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
5586,κατηγορέω,κατηγορέω,,,,,,,,,,,,,,,,,,,,v1spia---,,,,,,,
5587,διαλέγομαι,διαλέγομαι,διαλέγω,,,,,,,,,,,,,,,,,,,v1spie---,,,,,,,
5588,βελτίω,βέλτιων,βελτίων,ἀγαθός,,,,,,,,,,,,,,,,,,a-p---nac,a-s---fac,,,,,,
5589,παρέσχες,παρέχω,παρίημι,,,,,,,,,,,,,,,,,,,v2saia---,,,,,,,
5590,φαυλότατος,φαυλός,φαῦλος,,,,,,,,,,,,,,,,,,,a-s---mns,,,,,,,
5591,ἀπέκειτο,ἀποκείμαι,ἀπόκειμαι,,,,,,,,,,,,,,,,,,,v3siie---,,,,,,,
5592,συνενηνόχασιν,συμπάσχω,συμφέρω,,,,,,,,,,,,,,,,,,,v3pria---,,,,,,,
5593,πράττεταί,πράσσω,πράττω,,,,,,,,,,,,,,,,,,,v3spie---,,,,,,,
5594,πάρεστιν,πάρειμι,πάρειμι1,πάρεστι,πάρεστι(ν),,,,,,,,,,,,,,,,,v3spia---,,,,,,,
5595,σπάσματα,σπάσμα,σπασμός,,,,,,,,,,,,,,,,,,,n-p---nn-,,,,,,,
5596,ἅπασι,πᾶς,ἅπας,ἅπας (dat.m.pl),ἅπας (m. dat. pl. “a tutti quanti”),,,,,,,,,,,,,,,,,a-p---md-,,,,,,,
5597,προῄδεσαν,προείδω,πρόοιδα,,,,,,,,,,,,,,,,,,,v3plia---,,,,,,,
5598,προὔλεγες,προλέγω,προλέγω1,,,,,,,,,,,,,,,,,,,v2siia---,,,,,,,
5599,ἀποστατέον,ἀποστατέον,ἀποστατέω,,,,,,,,,,,,,,,,,,,a-s---nn-,v-sppann-,,,,,,
5600,ἀποστᾶσα,,ἀφίστημι,,,,,,,,,,,,,,,,,,,v-sapafn-,,,,,,,
5601,προεῖτ᾽,προίημι,πρόειμι2,,,,,,,,,,,,,,,,,,,v2ppoa---,,,,,,,
5602,Ἀμφικτυόσιν,Ἀμφικτύων,,,,,,,,,,,,,,,,,,,,,,,,,,,
5603,θάργηλιῶνος,Θαργηλιών,,,,,,,,,,,,,,,,,,,,,,,,,,,
5604,μη -δ᾽,μήδέ,μήδε,,,,,,,,,,,,,,,,,,,,,,,,,,
5605,οὐ -δ᾽,οὐδέ,οὐδείς,,,,,,,,,,,,,,,,,,,,,,,,,,
5606,ὄυσιν,εἰμί,,,,,,,,,,,,,,,,,,,,,,,,,,,
5607,Ἑλλησι,Ἕλλην,,,,,,,,,,,,,,,,,,,,,,,,,,,
5608,πονῆσαντων,πονέω,,,,,,,,,,,,,,,,,,,,,,,,,,,
5609,οὐ -θ᾽,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5610,οὐ -τ᾽,οὐδέ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5611,ἀγάσαιτο,ἀγάζω,ἄγαμαι,,,,,,,,,,,,,,,,,,,v3saom---,,,,,,,
5612,Κυρσίλον,Κυρσίλος,Κύρσιλος,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
5613,ἐζήτουν,ζητέω,ἐζητέω,,,,,,,,,,,,,,,,,,,v3piia---,,,,,,,
5614,γονεῦσι,γονάω,γονεύς,,,,,,,,,,,,,,,,,,,v-pppamd-,,,,,,,
5615,ἐπιδεῖν,ἐπεῖδον,ἐπιδέομαι,ἐπιδέω,ἐπιδείκνυμι,,,,,,,,,,,,,,,,,v--ana---,,,,,,,
5616,ἐθελήσει,εθέλω,ἐθέλω,ἐθέλω (fut. 3s),ἐθέλω (fut.),,,,,,,,,,,,,,,,,v2sfim---,v3sasa---,v3sfia---,,,,,
5617,τοιαύτας,τοιοῦτος,τοιόσδε,,,,,,,,,,,,,,,,,,,a-p---fa-,,,,,,,
5618,δείκνυμ᾽,δείκνυμι,δεικνύω,,,,,,,,,,,,,,,,,,,v1spia---,,,,,,,
5619,μετεῖναί,μέτειμι1,μετέω,,,,,,,,,,,,,,,,,,,v--pna---,,,,,,,
5620,ἐγκώμι᾽,ἐγκώμιον,ἐγκώμιος,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
5621,ὑμῶν,σύ,σύ (gen. pl.),ἐγώ,ἐσύ,ὑμεῖς,,,,,,,,,,,,,,,,p2p---mg-,,,,,,,
5622,τουδὶ,οὗτος,ὅδε,,,,,,,,,,,,,,,,,,,p-s---mg-,,,,,,,
5623,ἀράμενοι,ἀείρω,ἀράομαι,,,,,,,,,,,,,,,,,,,v-pppemn-,,,,,,,
5624,Πλαταιαῖς,Πλάταια,Πλαταιαί,,,,,,,,,,,,,,,,,,,n-p---fd-,,,,,,,
5625,ἔλεγες,λέγω,λέγω3,,,,,,,,,,,,,,,,,,,v2siia---,,,,,,,
5626,προσεδεῖθ᾽,προσδέομαι,προσδέω,,,,,,,,,,,,,,,,,,,v3siie---,,,,,,,
5627,παριόντα," ""capitare / passare"")",πάρειμι,πάρειμι1,πάρειμι2,παρέρχομαι,παρίημι,παρίημι (part. pres. n. pl.? O “passanti”? Sott. “uomini e bestie che passavano in quell’area”?),παριέμι,παριέω (o παριέναι,,,,,,,,,,,,v-pppann-,v-sppama-,,,,,,
5628,συμβόλαια,συμβόλαιον,συμβόλαιος,σύμβολαιον,,,,,,,,,,,,,,,,,,a-p---na-,n-p---na-,,,,,,
5629,σκοποῦντας,σκοπάω,σκοπέω,,,,,,,,,,,,,,,,,,,v-pppama-,,,,,,,
5630,εἰσίητε,εἰσέρχομαι,εἴσειμι,,,,,,,,,,,,,,,,,,,v2ppsa---,,,,,,,
5631,ἐπέμψαμεν,πέμπω,ἐπιπέμπω,,,,,,,,,,,,,,,,,,,v1paia---,,,,,,,
5632,συκοφαντίας,συκοφαντία,συκοφαντίας,,,,,,,,,,,,,,,,,,,n-p---ma-,n-s---fg-,n-s---mn-,,,,,
5633,ἐμὴν,ἐγώ,ἐγώ (f.acc.sg.encl),ἐμός,ἐμός (f. acc. sg.),,,,,,,,,,,,,,,,,a-s---fa-,,,,,,,
5634,αἰτίαν,αἰτία,αἴτιος,,,,,,,,,,,,,,,,,,,a-s---fa-,n-s---fa-,,,,,,
5635,ἀτυχηθέντων,ἀτυχέω,ἀτυχεω,,,,,,,,,,,,,,,,,,,v-pappng-,,,,,,,
5636,κεφάλαιον,κεφάλαιον,κεφάλαιος,,,,,,,,,,,,,,,,,,,a-s---na-,a-s---nn-,,,,,,
5637,συνεμβαλόντας,συνεμβάλλω,συνμβάλλω,,,,,,,,,,,,,,,,,,,v-papama-,,,,,,,
5638,ἐδείκνυσαν,δείκνυμι,δεικνύω,,,,,,,,,,,,,,,,,,,v3piia---,,,,,,,
5639,βοσκήματα,βοσκήμα,βόσκημα,,,,,,,,,,,,,,,,,,,n-p---na-,,,,,,,
5640,παρεληλυθότων,παρέρχομαι,παρεληλυθώς,παρερχομαι,,,,,,,,,,,,,,,,,,v-prpamg-,v-prpang-,,,,,,
5641,ἀπεκρίναντο,ἀποκρίνομαι,ἀποκρίνω,,,,,,,,,,,,,,,,,,,v3paim---,,,,,,,
5642,μετεπέμποντο,μεταπέμπω,μετεπέμπω,,,,,,,,,,,,,,,,,,,v3piie---,,,,,,,
5643,ἐξῇτε,ἐξαίτεω,ἔξειμι2,,,,,,,,,,,,,,,,,,,v2piia---,,,,,,,
5644,ἔδειξαν,δείκνυμι,δεικνύω,,,,,,,,,,,,,,,,,,,v3paia---,,,,,,,
5645,ἐγκώμια,ἐγκώμιον,ἐγκώμιος,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
5646,ἐφάνησαν,φαίνομαι,φαίνω,φανάω,,,,,,,,,,,,,,,,,,v3paip---,v3piia---,,,,,,
5647,ἐνεκάλεσεν,ἐγκαλέω,ἐνκαλέω,,,,,,,,,,,,,,,,,,,v3saia---,,,,,,,
5648,συμπαραταξάμενοι,συμπαρατάσσομαι,συμπαρατάσσω,,,,,,,,,,,,,,,,,,,v-papemn-,,,,,,,
5649,ἀμέμπτους,ἀμέμπτος,ἄμεμπτος,,,,,,,,,,,,,,,,,,,a-p---ma-,,,,,,,
5650,ἐδείξατε,δείκνυμι,δεικνύω,,,,,,,,,,,,,,,,,,,v2paia---,,,,,,,
5651,ἐροίμην,ἐράομαι,ἐρέω,ἐρωτάω,ἔρομαι,,,,,,,,,,,,,,,,,v1saom---,v1spoe---,,,,,,
5652,συνευφραίνετο,συνευφραίνομαι,σύν-εὐφραίνω,,,,,,,,,,,,,,,,,,,v3siie---,,,,,,,
5653,ὀμωμοκότας,ὀμνύω,ὄμνυμι,,,,,,,,,,,,,,,,,,,v-prpama-,,,,,,,
5654,σεσῶσθαι,σώζω,σῴζω,,,,,,,,,,,,,,,,,,,v--rne---,,,,,,,
5655,πλάνοι,πλάνη,πλάνος,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
5656,Θρασύβουλος,Θράσυβος,Θρασυβούλος,Θρασύβουλος,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
5657,μυρίοι,μυρίος,,,,,,,,,,,,,,,,,,,,a-p---mn-,,,,,,,
5658,ὑπερῆρας,ὑπερέρομαι,ὑπεραίρω,,,,,,,,,,,,,,,,,,,v2saia---,,,,,,,
5659,οὐδεμίαν,μηδείς,οὐδείς,οὐδεμία,,,,,,,,,,,,,,,,,,a-s---fa-,,,,,,,
5660,ἀντέλεγες,ἀντελέγω,ἀντιλέγω,ἀντιλέγω (impf.2s),,,,,,,,,,,,,,,,,,v2siia---,,,,,,,
5661,ψήφων,ψήφος,ψήφων,ψῆφος,,,,,,,,,,,,,,,,,,n-p---fg-,,,,,,,
5662,ἐκλέξαντα,ἐκ-λέγω3,ἐκλέγω,,,,,,,,,,,,,,,,,,,v-sapama-,,,,,,,
5663,προῄδει,προοιδάω,πρόοιδα,,,,,,,,,,,,,,,,,,,v3slia---,,,,,,,
5664,ῥηθῆναι,λέγω,ἐρῶ,,,,,,,,,,,,,,,,,,,v--anp---,,,,,,,
5665,περιῇ,περίειμι,περίειμι1,,,,,,,,,,,,,,,,,,,v3spsa---,,,,,,,
5666,φαινομένοις,φαίνομαι,φαίνω,,,,,,,,,,,,,,,,,,,v-pppemd-,v-pppend-,,,,,,
5667,συνεμβαλεῖν,συμβάλλω,συνεμβάλλω,,,,,,,,,,,,,,,,,,,v--ana---,,,,,,,
5668,Ἀττικῇ,Ἀττική,Ἀττικός,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
5669,λῃστὰς,ληιστής,ληστής,λῃστής,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
5670,ἆρά,ἆρά,ἆρα,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
5671,ὅμοιος,ὁμοῖος,ὅμοιος,,,,,,,,,,,,,,,,,,,a-s---mn-,,,,,,,
5672,προστίθημι,προστίθημι,προτίθημι,,,,,,,,,,,,,,,,,,,v1spia---,,,,,,,
5673,διελέχθην,διαλέγομαι,διαλέγω,,,,,,,,,,,,,,,,,,,v1saip---,,,,,,,
5674,παρήνεγκα,παρανέχω,παραφέρω,,,,,,,,,,,,,,,,,,,v1saia---,,,,,,,
5675,ἐσκόπει,σκοπάω,σκοπέω,ἐσκοπέω,,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
5676,εἰσῄειν,εἰσέρχομαι,εἴσειμι,,,,,,,,,,,,,,,,,,,v1siia---,,,,,,,
5677,συνήγαγον,συνάγω,συναγω,,,,,,,,,,,,,,,,,,,v1saia---,v3paia---,,,,,,
5678,ἐδείκνυεν,δείκνυμι,δεικνύω,,,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
5679,χρήσομαι,χράομαι,χράω,χράω2,,,,,,,,,,,,,,,,,,v1sfim---,,,,,,,
5680,Χίος,Χίος,Χῖος,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
5681,προεξειλεγμένα,προεκλέγω,προεξειλέω,προεξελέγω,,,,,,,,,,,,,,,,,,v-prpena-,v-prpenn-,,,,,,
5682,ἀπῇτε,ἀπαίτεω,ἄπειμι2,,,,,,,,,,,,,,,,,,,v2piia---,,,,,,,
5683,Κερκυραίους,Κερκυραῖος,Κερυκυραῖος,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
5684,συνήχθησαν,συνάγω,συναγω,,,,,,,,,,,,,,,,,,,v3paip---,,,,,,,
5685,διαλέγει,διαλέγομαι,διαλέγω,,,,,,,,,,,,,,,,,,,v2spie---,,,,,,,
5686,ἐλαττοῦσθαι,ἐλασσόω,ἐλαττόω,,,,,,,,,,,,,,,,,,,v--pne---,,,,,,,
5687,προσθήσων,προσθέω,προστίθημι,,,,,,,,,,,,,,,,,,,v-sfpamn-,,,,,,,
5688,Βυζαντίου,Βυζάντιον,Βυζάντιος,,,,,,,,,,,,,,,,,,,n-s---ng-,,,,,,,
5689,ἄπλους,ἄπλοος,ἄπλους,,,,,,,,,,,,,,,,,,,a-s---fn-,,,,,,,
5690,θάλαττα,θάλασσα,θάλαττα,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
5691,τἀνθρώπιόν,ἀνθρώπινος,ἀνθρώπιον,,,,,,,,,,,,,,,,,,,n-s---nn-,,,,,,,
5692,δεικνύοι,δείκνυμι,δεικνύω,,,,,,,,,,,,,,,,,,,v3spoa---,,,,,,,
5693,διεξίοι,διέξειμι,διεξέρχομαι,,,,,,,,,,,,,,,,,,,v3spoa---,,,,,,,
5694,ἐμβρόντητε,ἐμβροντάω,ἐμβρόντητος,,,,,,,,,,,,,,,,,,,a-s---mv-,,,,,,,
5695,στένειν,στένω,στενάζω,,,,,,,,,,,,,,,,,,,v--pna---,,,,,,,
5696,ἡττηθεὶς,ἡσσάομαι,,,,,,,,,,,,,,,,,,,,v-sapemn-,,,,,,,
5697,Ἀμβρακίας,Ἀμβρακία,Ἀμβρακίη,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
5698,βραδυτῆτας,βραδυτής,βραδύτης,,,,,,,,,,,,,,,,,,,n-p---fa-,,,,,,,
5699,ἀναγκαῖ᾽,ἀμ̄ακαῖος,ἀναγκαῖος,,,,,,,,,,,,,,,,,,,a-p---nn-,,,,,,,
5700,ἔροιθ᾽,ἐρωτάω,ἔρομαι,,,,,,,,,,,,,,,,,,,v3saom---,,,,,,,
5701,τίσιν,τίς,τίσις,τις,,,,,,,,,,,,,,,,,,a-p---fd-,p-p---nd-,,,,,,
5702,εἴποιεν,εἴπον,εἶπον,λέγω,,,,,,,,,,,,,,,,,,v3paoa---,,,,,,,
5703,ἀήττητος,ἀήσσητος,ἀήττητος,,,,,,,,,,,,,,,,,,,a-s---fn-,,,,,,,
5704,γνώμας,γνώμη,γνώμη (f. acc. pl.),γνῶμα,,,,,,,,,,,,,,,,,,n-p---fa-,,,,,,,
5705,φυλάκων,φυλακός,φύλαξ,,,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
5706,τείχη,  ,τεῖχος,,,,,,,,,,,,,,,,,,,n-p---na-,,,,,,,
5707,γραφάς,γραφή,γραφής,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
5708,Σωσικλέους,Σωσικλέης,Σωσικλῆς,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
5709,Φιλοκράτους,Φιλοκράτης,Φιλόκρατης,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
5710,Διώνδου,Διώνδης,Διώνδος,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
5711,Μελάντου,Μελάντας,Μελάντος,,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
5712,ὀμωμοκότων,ὀμνύω,ὄμνυμι,,,,,,,,,,,,,,,,,,,v-prpamg-,,,,,,,
5713,ἐπεσημαίνεσθε,ἐπισημαίνομαι,ἐπισημαίνω,,,,,,,,,,,,,,,,,,,v2piie---,,,,,,,
5714,προσωμολογεῖτε,προσομολογέω,προσωμολογέω,,,,,,,,,,,,,,,,,,,v2piia---,,,,,,,
5715,διαλεχθήσομαι,διαλέγομαι,διαλέγω,,,,,,,,,,,,,,,,,,,v1sfip---,,,,,,,
5716,προελέσθαι,,προαιρέω,,,,,,,,,,,,,,,,,,,v--anm---,,,,,,,
5717,κυριωτέραν,κυριώτερος,κύριος,,,,,,,,,,,,,,,,,,,a-s---fac,,,,,,,
5718,φαύλην,φαύλος,φαῦλος,,,,,,,,,,,,,,,,,,,a-s---fa-,,,,,,,
5719,προαιρεῖ,,προαιρέω,,,,,,,,,,,,,,,,,,,v2spie---,,,,,,,
5720,ἐμπίπτειν,ἐμπίπτω,ἐμπίτνω,,,,,,,,,,,,,,,,,,,v--pna---,,,,,,,
5721,ἀπολείπεσθαι,ἀπολείπω,ἀπολιμπάνω,,,,,,,,,,,,,,,,,,,v--pne---,,,,,,,
5722,συνεσκευωροῦ,συνεσκευωρέω,συσκευωρέομαι,,,,,,,,,,,,,,,,,,,v2siie---,,,,,,,
5723,κρατηρίζων,κρατηρίζω,κρατηριζω,,,,,,,,,,,,,,,,,,,v-sppamn-,,,,,,,
5724,τηλικοῦτ᾽,τηλικοῦτος,τηλικόσδε,,,,,,,,,,,,,,,,,,,p-s---na-,,,,,,,
5725,σεμνυνόμενος,σεμνύνομαι,σεμνύνω,,,,,,,,,,,,,,,,,,,v-sppemn-,,,,,,,
5726,παρείας,παρείας,παρεῖος,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
5727,ὑῆς,υἱός,ὑῆς,,,,,,,,,,,,,,,,,,,n-p---mv-,,,,,,,
5728,ἄττης,ἄττης,Ἄττης,,,,,,,,,,,,,,,,,,,i--------,,,,,,,
5729,κιττοφόρος,κισσοφόρος,κιττοφόρος,,,,,,,,,,,,,,,,,,,a-s---mn-,,,,,,,
5730,γρᾳδίων,γραίδιον,γραῖδιον,,,,,,,,,,,,,,,,,,,n-p---ng-,,,,,,,
5731,ἔνθρυπτα,ἔνθρυπτον,ἔνθρυπτος,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
5732,νεήλατα,νεήλατον,νεήλατος,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
5733,ὁπωσδήποτε,ὁπωσδήποτε,ὅπως,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
5734,ἀρχιδίοις,ἀρχίδιον,ἀρχίδιος,,,,,,,,,,,,,,,,,,,n-p---nd-,,,,,,,
5735,ἀπηλλάγης,ἀπαλλάσσω,ἀπαλλαξείω,,,,,,,,,,,,,,,,,,,v2saip---,,,,,,,
5736,προϋπηργμένων,προυπάρχω,προϋπηργμένος,προϋπηρετέω,,,,,,,,,,,,,,,,,,v-prpeng-,,,,,,,
5737,βαρυστόνοις,βαρυστόνος,βαρύστονος,,,,,,,,,,,,,,,,,,,a-p---md-,,,,,,,
5738,Σιμύκᾳ,Σιμύκας,Σιμύκης,,,,,,,,,,,,,,,,,,,n-s---md-,,,,,,,
5739,προσδοκῶν,προσδοκάω,προσδοκάω (part.pres.nom.m.),προσδοκέω,,,,,,,,,,,,,,,,,,v-sppamn-,,,,,,,
5740,συνῄδεις,συνέιδω,σύνοιδα,,,,,,,,,,,,,,,,,,,v2slia---,,,,,,,
5741,ἠτύχησαν,ἀτυγχάνω,ἀτυχέω,,,,,,,,,,,,,,,,,,,v3paia---,,,,,,,
5742,δείξαιμι,δείκνυμι,δεικνύω,,,,,,,,,,,,,,,,,,,v1saoa---,,,,,,,
5743,προσόντ᾽,προσέειμι,πρόσειμι1,,,,,,,,,,,,,,,,,,,v-pppana-,,,,,,,
5744,ποτέρου,ποιεῖος,πότερος,,,,,,,,,,,,,,,,,,,a-s---mg-,,,,,,,
5745,ἐτελούμην,τελέομαι,τελέω,,,,,,,,,,,,,,,,,,,v1siie---,,,,,,,
5746,ἐξέπιπτες,ἐκπίπτω,ἐκπίτνω,,,,,,,,,,,,,,,,,,,v2siia---,,,,,,,
5747,ἀνωμολόγημαι,ἀνομολογέομαι,ἀνωμολογέομαι,,,,,,,,,,,,,,,,,,,v1srie---,,,,,,,
5748,θέλοντά,θέλω,ἐθέλω,,,,,,,,,,,,,,,,,,,v-sppama-,,,,,,,
5749,ἀπολέσειαν,ἀπολλύμι,ἀπόλλυμι,,,,,,,,,,,,,,,,,,,v3paoa---,,,,,,,
5750,ἴσθ᾽,εἰμί,οἶδα,,,,,,,,,,,,,,,,,,,v2pria---,,,,,,,
5751,ἐλυσάμην,λύω,ἐλύω,,,,,,,,,,,,,,,,,,,v1saim---,,,,,,,
5752,ἰδόντων,εἶδον,ὁράω,,,,,,,,,,,,,,,,,,,v-papamg-,,,,,,,
5753,ὅλαι,ὅλοξ,ὅλος,,,,,,,,,,,,,,,,,,,a-p---fn-,,,,,,,
5754,παρῆτε,πάρειμι,πάρειμι1,πάρεστί,πάρεἰμι,,,,,,,,,,,,,,,,,v2piia---,,,,,,,
5755,προσῆν,προσήκω,προσῆκω,πρόσειμι,πρόσειμι1,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
5756,δηλονότι,δηλονότι,δηλόνοτι,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
5757,διωρισμένα,διά-ὁρίζω,διορίζω,,,,,,,,,,,,,,,,,,,v-prpena-,,,,,,,
5758,κατώρθωσεν,καθορθόω,κατορθόω,,,,,,,,,,,,,,,,,,,v3saia---,,,,,,,
5759,συνάχθεσθαι,συνάχθομαι,συναθροίζω,,,,,,,,,,,,,,,,,,,v--pne---,,,,,,,
5760,;;,punct,,,,,,,,,,,,,,,,,,,,,,,,,,,
5761,τε(neg/composito),,,,,,,,,,,,,,,,,,,,,,,,,,,,
5762,δε,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5763,παρακρούσομαι,παρακρούομαι,παρακρούω,,,,,,,,,,,,,,,,,,,v1sfim---,,,,,,,
5764,προσόνθ᾽,προσήκω,πρόσειμι1,,,,,,,,,,,,,,,,,,,v-pppana-,,,,,,,
5765,ἀποδέξησθε,ἀποδέχομαι,ἀποδείκνυμι,,,,,,,,,,,,,,,,,,,v2pasm---,,,,,,,
5766,διακείμεν᾽,διάκειμαι,διακείμαι,,,,,,,,,,,,,,,,,,,v-prpena-,,,,,,,
5767,προαιρεῖσθαι,,προαιρέω,,,,,,,,,,,,,,,,,,,v--pne---,,,,,,,
5768,οὕσπερ,οὗσπερ,ὅς,ὅσπερ,,,,,,,,,,,,,,,,,,p-p---ma-,,,,,,,
5769,ὁρᾷς,ὁράω,,,,,,,,,,,,,,,,,,,,v2spia---,,,,,,,
5770,ἐπορεύου,πορεύομαι,πορεύω,,,,,,,,,,,,,,,,,,,v2siie---,,,,,,,
5771,πότερ᾽,πότερος,,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
5772,ὥστ᾽,ὥστε,,,,,,,,,,,,,,,,,,,,c--------,,,,,,,
5773,διομνύμενος,διομνύω,διόμνυμι,,,,,,,,,,,,,,,,,,,v-sppemn-,,,,,,,
5774,τάχισθ᾽,τάχιστος,,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
5775,τυμπανιστρίας,τυμπανίστρια,τυμπανιστής,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
5776,μηνυτὴς,μηνυτής,μηνύτης,,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
5777,ἐροῦντ᾽,λέγω,,,,,,,,,,,,,,,,,,,,v-sppama-,,,,,,,
5778,ταὔθ᾽,ταὐτός,ὁ αὐτός,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
5779,νυνί,νυν,νυνί,νῦν,,,,,,,,,,,,,,,,,,d--------,,,,,,,
5780,ἔτ᾽,ἔτι,,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
5781,εὐθενούντων," star bene"".)",εὐθενέω,"εὐθονέω (forma non standard; verosimilmente: ""εὐθύνω""? Oppure in contesto potrebbe essere da ""εὐθηνέω"" = “prosperare”. Lemma più probabile: “εὐθηνέω” → ""prosperare",,,,,,,,,,,,,,,,,,v-pppang-,,,,,,,
5782,διομνύμενοι,διομνύω,διόμνυμι,,,,,,,,,,,,,,,,,,,v-pppemn-,,,,,,,
5783,οἰκειοτάτῳ,οἰκειότατος,οἰκεῖος,,,,,,,,,,,,,,,,,,,a-s---mds,,,,,,,
5784,εἰδῇς,εἴδω,οἶδα,,,,,,,,,,,,,,,,,,,v2srsa---,,,,,,,
5785,πάτρας,πάτρα,πατρίς,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
5786,σφετέρας,σφέτερος,σφετερος,σφετερός,σφέτερος,,,,,,,,,,,,,,,,,a-p---fa-,a-s---fg-,,,,,,
5787,μαρνάμενοι,μάρναμαι,μαρναομαι,,,,,,,,,,,,,,,,,,,v-pppemn-,,,,,,,
5788,ἐσάωσαν,σώζω,ἐσαόω,,,,,,,,,,,,,,,,,,,v3paia---,,,,,,,
5789,Ἀΐδην,Αἵδης,Ἀΐδης,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
5790,οὕνεκεν,οὕνεκα,οὕνεκεν,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
5791,δουλοσύνης,  ,δουλοσύνη,δουλόσύνη,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
5792,ἁμαρτεῖν,ἁμαρτάνω,ἁμαρτέω,,,,,,,,,,,,,,,,,,,v--pna---,,,,,,,
5793,βιοτῇ,βιοτή,βιόω,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
