Forma,Lemma Corretto
οὑπιχώριοι,"['ὁ ἐπιχώριος', 'ἐπιχώριος']"
λύπης,"['λύπη', 'λύπη']"
ἐκταραχθέντα,['ἐκταράσσω']
πρίω,"['πρίαμαι', 'πρίαμαι']"
ἴρινον,['ἴρινος']
Ξανθία,"['Ξανθίας', 'Ξανθίας']"
βάκκαριν,"['βάκκαρις', 'βάκκαρις']"
Σφιγγοκαρίωνι,"['σφιγγοκαρίων', 'σφιγγοκαρίων']"
νιν,"['νιν', 'νιν']"
παρθενικαὶ,"['παρθενική', 'παρθενική']"
Προκρίδι,"['Πρόκρις', 'Πρόκρις']"
Προκρίδος,"['Πρόκρις', 'Πρόκρις']"
ὑποστορεῖτε,['ὑποστόρνυμι']
δεύσετε,"['δεύω', 'δεύω']"
Ἀλκήστιδι,"['Ἄλκηστις', 'Ἄλκηστις']"
Μητραγύρτῃ,"['Μητραγύρτης', 'Μητραγύρτης']"
Ζακυνθίῳ,"['Ζακύνθιος', 'Ζακύνθιος']"
τουτὶ,"['οὗτος', 'οὗτος']"
τριφθῆναι,"['τρίβω', 'τρίβω']"
Θορικίοις,"['Θορίκιος', 'Θορίκιος']"
λοῦται,"['λοῦται', 'λούω']"
φοινικίνῳ,"['φοινίκινος', 'φοινίκινος']"
τιτθία,"['τιτθίον', 'τιτθίον']"
σισυμβρίνῳ,"['σισύμβρινος', 'σισύμβρινος']"
ἀμαρακίνῳ,['ἀμαράκινος']
ἑρπυλλίνῳ,['ἑρπύλλινος']
Πέρωνος,"['Πέρων', 'Πέρων']"
Μελανώπῳ,"['Μελάνωπος', 'Μελάνωπος']"
Αἰγυπτίου,"['Αἰγύπτιος', 'Αἰγύπτιος']"
Θεμιστοκλέους,"['Θεμιστοκλέης', 'Θεμιστοκλέης']"
Πρυτάνεσιν,"['πρύτανις', 'πρύτανις']"
Χείρωσι,"['Χείρων', 'Χείρων']"
παλαιτέρων,"['παλαιός', 'παλαιός']"
σισύμβριον,"['σίσυμβριον', 'σίσυμβριον']"
ἐθάκει,['θακέω']
μῆλον,"['  ', 'μῆλον', '  ', 'μῆλον']"
Ἐρωτικοῖς,['ἐρωτικός']
ὥρας,['ὤρα']
χάριν,"['χάρις', 'χάρις']"
αἰτηθεῖσι,"['αἰτέω', 'αἰτέω']"
προυπογράφειν,"['προυπογράφω', 'προυπογράφω']"
ὡραίων,['ὡραῖος']
ἀνθῶν,"['ἄνθη', 'ἄνθη']"
προκαλεῖται,"['προκαλέω', 'προκαλέω']"
ἐρωμένων,['ἐράω']
ἐπικοσμεῖται,['ἐπικοσμέω']
φιλοκάλους,"['φιλόκαλος', 'φιλόκαλος']"
καρποῖσι,"['καρπός', 'καρπός']"
ἐρῶντες,['ἐράω']
οἷον,"['οἷος', 'οἷος']"
ὡριαινόμενοι,['ὡριαίνω']
ἁβρύνονται,"['ἁβρύνω', 'ἁβρύνω']"
ἀμέργουσαν,['ἀμέργω']
ἐξήρτηντο,['ἐξαρτάω']
Καλλιπύγου,"['καλλίπυγος', 'καλλίπυγος']"
ἱδρύσασθαι,['ἱδρύω']
φιλονικήσασαί,"['φιλονεικέω', 'φιλονεικέω']"
ἑαυτὰς,['ἑαυτοῦ']
διεκρίνοντο,"['διακρίνω', 'διακρίνω']"
ποτέρα,"['πότερος', 'πότερος']"
καλλιπυγοτέρα,"['καλλίπυγος ', 'καλλίπυγος ']"
παριόντος,"['πάρειμι', 'πάρειμι']"
διηγεῖται,"['διηγέομαι', 'διηγέομαι']"
γεγενημένα,"['γίγνομαι', 'γίγνομαι']"
Μεγαλοπολίτης,"['Μεγαλοπολίτης', 'Μεγαλοπολίτης']"
Ἰάμβοις,['ἴαμβος']
ἐπιλαβόμεναι,['ἐπιλαμβάνω']
ἱδρύσαντο,['ἱδρύω']
Καλλίπυγον,"['καλλίπυγος', 'καλλίπυγος']"
ἡδίστην,['ἡδύς']
διετέθη,"['διατίθημι', 'διατίθημι']"
καταγόμενα,"['κατάγω', 'κατάγω']"
ἀπεγράφετο,"['ἀπογράφω', 'ἀπογράφω']"
ὅσησπερ,['ὅσος']
ἡσθείη,['ἥδομαι']
ἀπολομένων,"['ἀπόλλυμι', 'ἀπόλλυμι']"
ἐπεζήτει,['ἐπιζητέω']
σῳζομένοις,"['σῴζω ', 'σῴζω ']"
πλείστης,"['πολύς', 'πολύς']"
ἐπιδημήσας,['ἐπιδημέω']
μανία,"['μανία', 'μανία']"
ἡσθῆναι,['ἥδομαι']
ἡντινοῦν,['ὅστις']
κωμωδιοποιός,"['κωμῳδιοποιός', 'κωμῳδιοποιός']"
ἀνεγίνωσκέ,"['ἀναγιγνώσκω', 'ἀναγιγνώσκω']"
Ἀλεξάνδρῳ,"['̓Αλέξανδρος', '̓Αλέξανδρος']"
συμβόλων,"['σύμβολος', 'σύμβολος']"
δεδειπνηκέναι,"['δειπνέω', 'δειπνέω']"
εἰληφέναι,"['λαμβάνω', 'λαμβάνω']"
δεδωκέναι,"['δίδωμι', 'δίδωμι']"
Κωμῳδίας,"['κωμῳδία', 'κωμῳδία']"
γαμετῶν,"['γαμετή', 'γαμετή']"
εἰδόσιν,"['οἶδα', 'οἶδα']"
ἐκτιθέμενοι,['ἐκτίθημι']
Ἐρατὼ,['̓Ερατώ']
ἐπικαλεσάμενοι,['ἐπικαλέω']
ἰέναι,['εἶμι']
ποιησόμεθα,"['ποιέω', 'ποιέω']"
Ἐρατώ,"['̓Ερατώ', 'Ἐρατώ']"
ἵστασο,['ἵστημι']
ἔνισπε,['ἐνέπω']
γαμετὰς,"['γαμετή', 'γαμετή']"
Νομοθετῶν,"['νομοθέτης', 'νομοθέτης']"
ἐνεκλείοντο,['ἐγκλείω']
συνεγκλειομένων,"['συνεγκλείω', 'συνεγκλείω']"
ἐπιλάβοιτο,['ἐπιλαμβάνω']
ἐβουλεύετο,['βουλεύω']
περικαλλεστέραν,"['περικαλλής', 'περικαλλής']"
ἀγαγέσθαι,['ἄγω']
Παροιμιῶν,"['παροιμία', 'παροιμία']"
προσίωσι,"['πρόσειμι', 'πρόσειμι']"
οὐσῶν,"['εἰμί', 'εἰμί']"
συνόδων,"['σύνοδος', 'σύνοδος']"
ὄντων,['εἰμί']
νομισθῆναι,"['νομίζω', 'νομίζω']"
εἰδότων,"['οἶδα', 'οἶδα']"
ὁρμώμενος,['ὁρμάω']
μέμψαιτ᾽,"['μέμφομαι', 'μέμφομαι']"
καλουμένου,"['καλέω', 'καλέω']"
Εὐγενείας,"['εὐγένεια', 'εὐγένεια']"
συγκεχωρημένον,"['συγχωρέω', 'συγχωρέω']"
μνημονεύοντας,"['μνημονεύω', 'μνημονεύω']"
Ἱερώνυμος,['̔Ιερώνυμος']
Ῥόδιος,['Ῥόδιος']
διαπέμψομαι,"['διαπέμπω', 'διαπέμπω']"
ἀντεῖπε,"['ἀντιλέγω', 'ἀντιλέγω']"
γαμετῆς,"['γαμετή', 'γαμετή']"
θρησκεύεσθαι,"['θρησκεύω', 'θρησκεύω']"
χρῆται,['χράω']
ἰῆς,['εἷς']
ἔτικτον,['τίκτω']
Φοίνικος,"['Φοῖνιξ', 'Φοῖνιξ']"
εἰδυῖα,"['οἶδα', 'οἶδα']"
ἐκδεδιῃτημένη,['ἐκδιαιτάω']
Κλυταιμήστρα,"['Κλυταιμνήστρα', 'Κλυταιμνήστρα']"
Κασσάνδραν,"['Κασσάνδρη', 'Κασσάνδρη']"
ἐπηγάγετο,['ἐπάγω']
γενόμενος,"['γίγνομαι', 'γίγνομαι']"
οὐδαμοῦ,"['οὐδαμός', 'οὐδαμός']"
συγκοιμωμένην,"['συγκοιμάομαι', 'συγκοιμάομαι']"
κοιμῶνται,"['κοιμάω', 'κοιμάω']"
ἐκλελυμένοι,['ἐκλύω']
ἔρρωντο,['ῥώννυμι']
γαμετὴν,"['γαμετή', 'γαμετή']"
Ἑλένην,['Ἑλένη']
φυλάττεται,"['φυλάσσω', 'φυλάσσω']"
Θερσίτου,"['Θερσίτης', 'Θερσίτης']"
λοιδορεῖται,"['λοιδορέω', 'λοιδορέω']"
πλεῖαί,"['πλέως', 'πλεῖος']"
ἐξαίρετοι,['ἐξαίρετος']
πρωτίστῳ,"['πρώτιστος', 'πρώτιστος']"
παρεσκευάσατο,"['παρασκευάζω', 'παρασκευάζω']"
δόξας,"['δοκέω', 'δόξα', 'δοκέω', 'δόξα']"
ἐσχηκέναι,['ἔχω']
Θεστίου,"['Θέστιος', 'Θέστιος']"
ἔγημε,['γαμέω']
Ὅπλητος,['Ὅπλης']
Χαλκώδοντος,"['Χαλκώδων', 'Χαλκώδων']"
Αἴθραν,"['Αἴθρη', 'Αἴθρη']"
ἔλαβον,['λαμβάνω']
γεγενῆσθαι,"['γίγνομαι', 'γίγνομαι']"
Ἱππολύτην,['Ἱππολύτη']
Σίνιδος,"['Σίνις', 'Σίνις']"
γῆμαι,"['γαμέω', 'γαμέω']"
Φαίδραν,"['Φαίδρη', 'Φαίδρη']"
ἐπήγετο,"['πήγνυμι', 'ἐπάγω']"
καταλυθείς,"['καταλύω', 'καταλύω']"
τριακοσίας,"['τριακόσιοι', 'τριακόσιοι']"
περιήγετο,"['περιάγω', 'περιάγω']"
παλλακάς,"['παλλακή', 'παλλακή']"
Βίου,"['βίος', 'βίος']"
ἐγάμει,['γαμέω']
ἐβασίλευεν,['βασιλεύω']
Ἰλλυρίδα,['Ἰλλυρίς']
γήμας,"['γαμέω', 'γαμέω']"
Δέρδα,"['Δέρδας', 'Δέρδας']"
ἐπαιδοποιήσατο,['παιδοποιέω']
Θετταλίδων,"['Θεσσαλίς', 'Θεσσαλίς']"
Φεραία,"['Φεραῖος', 'Φεραῖος']"
Θετταλονίκην,"['Θεσσαλονίκη', 'Θεσσαλονίκη']"
Λαρισαία,"['Λαρισαῖος', 'Λαρισαῖος']"
Φίλιννα,"['Φίλιννα', 'Φίλιννα']"
προσεκτήσατο,"['προσκτάομαι', 'προσκτάομαι']"
Μολοττῶν,"['Μολοσσός', 'Μολοσσός']"
Θρᾴκην,"['Θρᾴκη', 'Θρᾴκη']"
εἷλεν,"['αἱρέω', 'αἱρέω']"
Μήδαν,"['Μήδη', 'Μήδη']"
ἐρασθεὶς,['ἐράω']
Ἀττάλου,['Ἄτταλος']
ἀδελφιδῆν,['ἀδελφιδῆ']
ἐπεισάγων,['ἐπεισάγω']
γεννηθήσονται,"['γεννάω', 'γεννάω']"
ἀκούσας,"['  ', 'ἀκούω']"
κἀκεῖνος,"['καὶ ἐκεῖνος', 'καὶ ἐκεῖνος']"
Μολοττοὺς,"['Μολοσσός', 'Μολοσσός']"
Κλεοπάτρα,"['Κλεοπάτρα', 'Κλεοπάτρα']"
κληθεῖσαν,"['καλέω', 'καλέω']"
Ὑπομνήμασίν,['ὑπόμνημα']
Σοφοκλεῖ,"['Σοφοκλέης', 'Σοφοκλέης']"
Σοφοκλῆς,"['Σοφοκλέης', 'Σοφοκλέης']"
γαμεταὶ,"['γαμετή', 'γαμετή']"
οὔκ,"['οὐ', 'οὐ']"
Στεφανοπώλισιν,"['στεφανόπωλις', 'στεφανόπωλις']"
μὰ,"['μά', 'μά']"
περιπεπλασμέναι,"['περιπλάσσω', 'περιπλάσσω']"
συκαμίνῳ,"['συκάμινον', 'συκάμινον']"
κεχριμέναι,"['χρίω', 'χρίω']"
ἐξίητε,['ἔξειμι']
ὑδρορρόαι,['ὑδρορρόα']
γνάθων,"['γνάθος', 'γνάθος']"
ἄλοκα,"['ἄλοξ', 'ἄλοξ']"
εἴξασι,"['εἴκω', 'ἔοικα', 'ἔοικα']"
πολιαῖς,"['πολιά', 'πολιά']"
Νεοττίδι,"['νεοσσίς', 'νεοσσίς']"
δύναιτ᾽,"['δύναμαι', 'δύναμαι']"
παρανομώτερον,"['παράνομος', 'παράνομος']"
Χίμαιρα,"['Χίμαιρα', 'Χίμαιρα']"
ποντία,"['πόντιος', 'πόντιος']"
Ἁρπυιῶν,['Ἅρπυια']
ἀφῖκται,"['ἀφικνέομαι', 'ἀφικνέομαι']"
καταπτύστου,"['κατάπτυστος', 'κατάπτυστος']"
ἔνεσθ᾽,['ἐνίημι']
κακῶν,"['κακόν', 'κακός', 'κακόω', 'κακόω ', 'κακός']"
Πλαγγόνα,"['Πλαγγών', 'Πλαγγών']"
παρείλετο,"['παραιρέω', 'παραιρέω']"
Ὕδρᾳ,['ὕδρα']
σύνεισι,"['σύνειμι', 'σύνειμι']"
παραπέφυκε,"['παραφύω', 'παραφύω']"
ἀπαλλαγεῖσι,"['ἀπαλλάσσω ', 'ἀπαλλάσσω ']"
Νάννιον,"['Νάννιον', 'Νάννιον']"
ἀποπνίξασ᾽,"['ἀποπνίγω', 'ἀποπνίγω']"
θηρεύεται,"['θηρεύω', 'θηρεύω']"
Φρύνη,"['Φρύνη', 'Φρύνη']"
Χάρυβδιν,"['Χάρυβδις', 'Χάρυβδις']"
λαβοῦσα,"['λαμβάνω', 'λαμβάνω']"
καταπέπωκ᾽,"['καταπίνω', 'καταπίνω']"
σκάφει,"['σκάφος', 'σκάφος']"
Σειρήν,"['Σειρήν', 'Σειρήν']"
ἀποτετιλμένη,"['ἀποτίλλω', 'ἀποτίλλω']"
κοψίχου,"['κόψιχος', 'κόψιχος']"
αἰνιγμοῖς,"['αἰνιγμός', 'αἰνιγμός']"
σύνεισιν,"['σύνειμι', 'σύνειμι']"
γένοιτο,"['γίγνομαι', 'γίγνομαι']"
τρίπους,"['τρίπους', 'τρίπους']"
γνοὺς,"['γιγνώσκω', 'γιγνώσκω']"
ἠρμένοι,['αἴρω']
φέρονθ᾽,"['φέρω', 'φέρω']"
ὑψοῦ,['ὑψοῦ']
αἴθραν,"['αἴθρη', 'αἴθρη']"
συντεμόντι,"['συντέμνω', 'συντέμνω']"
ἔσθ᾽,['εἰμί']
ἐξωλέστερον,['ἐξώλης']
Λαρηνσίου,"['Λαρήνσιος', 'Λαρήνσιος']"
Λεωνίδης,"['Λεωνίδας', 'Λεωνίδας']"
Μάντεων,"['μάντις', 'μάντις']"
προηνέγκατο,"['προφέρω', 'προφέρω']"
ταυτὶ,"['οὗτος', 'οὗτος']"
πεπρακότες,"['πιπράσκω', 'πιπράσκω']"
προῖκ᾽,"['προίξ', 'προίξ']"
ἔχουσ᾽,['ἔχω']
ἀδικούμενοι,['ἀδικέω']
ἀδικοῦσαι,['ἀδικέω']
προσεγκαλοῦσ᾽,"['προσεγκαλέω', 'προσεγκαλέω']"
ἐχρῆν,['χράω']
λέγουσ᾽,"['λέγω', 'λέγω']"
Ὕπνῳ,['ὕπνος']
ἔνι,['ἔνειμι']
Κορινθιαστῇ,"['Κορινθιαστής', 'Κορινθιαστής']"
ἐτὸς,['ἐτός']
Ἀθάμαντι,"['Ἀθάμας', 'Ἀθάμας']"
εὐνοικώτερον,"['εὐνοικός', 'εὐνοικός']"
καταφρονοῦσ᾽,"['καταφρονέω', 'καταφρονέω']"
ὠνητέος,['ὠνητέος']
Χρυσίλλᾳ,"['Χρύσιλλα', 'Χρύσιλλα']"
ἀπόλοιθ᾽,"['ἀπόλλυμι', 'ἀπόλλυμι']"
πεπυσμένος,"['πυνθάνομαι', 'πυνθάνομαι']"
προελθών,"['προέρχομαι', 'προέρχομαι']"
ἀπολοίμην,"['ἀπόλλυμι', 'ἀπόλλυμι']"
Κλυταιμνήστρα,"['Κλυταιμνήστρα', 'Κλυταιμνήστρα']"
ἀντέθηκα,"['ἀντιτίθημι', 'ἀντιτίθημι']"
Καλλωνίδῃ,"['Καλλωνίδης', 'Καλλωνίδης']"
ἠδίκει,['ἀδικέω']
γυναῖχ᾽,"['γυνή', 'γυνή']"
λαβὼν,"['λαμβάνω', 'λαμβάνω']"
προὖπτον,"['πρόοπτος', 'πρόοπτος']"
Φιλοπάτορι,"['Φιλοπάτωρ', 'Φιλοπάτωρ']"
γεγάμηκε,"['γαμέω', 'γαμέω']"
ἀληθινῶς,['ἀληθινός']
γεγάμηκεν,"['γαμέω', 'γαμέω']"
ζῶντα,"['ζάω', 'ζάω']"
περιπατοῦντά,"['περιπατέω', 'περιπατέω']"
κατέλιπον,"['καταλείπω', 'καταλείπω']"
Ἀρρηφόρῳ,['ἀρρηφόρος']
Αὐλητρίδι,"['αὐλητρίς', 'αὐλητρίς']"
ἔχῃς,['ἔχω']
καταλείπων,"['καταλείπω', 'καταλείπω']"
γεγάμηκα,"['γαμέω', 'γαμέω']"
δεδογμένον,"['δοκέω', 'δοκέω']"
ἀνερρίφθω,"['ἀναρρίπτω', 'ἀναρρίπτω']"
σωθείης,"['σῴζω ', 'σῴζω ']"
σέσωσθ᾽,"['σῴζω ', 'σῴζω ']"
Ἐμπιμπραμένῃ,['ἐμπίμπρημι']
ἐξειπεῖν,['ἐκλέγω']
ἀρκοῦν,"['ἀρκέω', 'ἀρκέω']"
εἴπῃς,"['λέγω', 'λέγω']"
ἠλικίαν,['ἡλικία']
ἀγόμενοι,['ἄγω']
παραινέσαντος,"['παραινέω', 'παραινέω']"
πείθεται,"['  ', 'πείθω', '  ', 'πείθω']"
ἀπορρήξασα,"['ἀπορρήγνυμι', 'ἀπορρήγνυμι']"
ἐξευρέθη,['ἐξευρίσκω']
γεόμενος,"['γίγνομαι', 'γίγνομαι']"
συνκοιμωμένην,"['συνκοιμάομαι', 'συγκοιμάομαι']"
μέγιστοι,"['μέγας', 'μέγας']"
Βρισηίδα,"['Βρισηίς', 'Βρισηίς']"
καλούμενος,"['καλέω', 'καλέω']"
γαμετήν,"['γαμετή', 'γαμετή']"
Ἰστοριῶν,['ἱστορία']
ἁρπασθεῖσαν,"['ἁρπάζω', 'ἁρπάζω']"
συμμαχήσαντος,"['συμμαχέω', 'συμμαχέω']"
ἔσχεν,['ἔχω']
εἷλον,"['αἱρέω', 'αἱρέω']"
Κρισαικὸς,"['Κρισαικός', 'Κρισαικός']"
Ἱεροῦ,['ἱερός']
Πολέμου,"['πόλεμος', 'πόλεμος']"
Φωκεῖς,"['Φωκεύς', 'Φωκεύς']"
ἐπολέμησαν,['πολεμέω']
ἁρπασάντων,"['ἁρπάζω', 'ἁρπάζω']"
ἐπανιούσας,['ἐπάνειμι']
ἑάλω,['ἁλίσκομαι']
ἀνετράπησαν,"['ἀνατρέπω', 'ἀνατρέπω']"
Φαίδρας,"['Φαίδρη', 'Φαίδρη']"
Ὑψέως,['Ὑψεύς']
πυνθανόμενος,"['πυνθάνομαι', 'πυνθάνομαι']"
ἐκπεπτώκει,['ἐκπίπτω ']
γενομένην,"['γίγνομαι', 'γίγνομαι']"
ἧτταν,['ἧσσα']
ἀνῄρητο,"['ἀναιρέω', 'ἀναιρέω']"
ἡσθεὶς,['ἥδομαι']
ἐρεθισθεὶς,['ἐρεθίζω']
δεηθείσης,"['δέω', 'δέω']"
Δίνων,"['Δίνων', 'Δίνων']"
Κύρῳ,"['Κῦρος', 'Κῦρος']"
πεμφθῆναί,"['πέμπω', 'πέμπω']"
γεννηθῆναι,"['γεννάω', 'γεννάω']"
ἐκδικοῦντα,['ἐκδικέω']
ποιήσασθαι,"['ποιέω', 'ποιέω']"
βακχικώτερον,"['βακχικός', 'βακχικός']"
τυμπάνων,"['τύμπανος', 'τύμπανος']"
προελθεῖν,"['προέρχομαι', 'προέρχομαι']"
Μακεδονικῶς,"['Μακεδονικός', 'Μακεδονικός']"
καθωπλισμένην,"['καθοπλίζω', 'καθοπλίζω']"
ἀσκηθεῖσαν,"['ἀσκέω', 'ἀσκέω']"
Ἰλλυρίδι,['Ἰλλυρίς']
παροῦσι,"['πάρειμι', 'πάρειμι']"
ἔρωτος,['ἔρως']
πάμπολλοι,"['πάμπολυς', 'πάμπολυς']"
ἥδιστος,['ἡδύς']
ἔφυ,['φύω']
συνείην,"['σύνειμι', 'σύνειμι']"
ναίοιμι,"['ναίω ', 'ναίω ']"
ἔλθῃ,['ἔρχομαι']
προσέθηκε,"['προστίθημι', 'προτίθημι (aor.)', 'προστίθημι']"
κἀνθρώπων,"['καὶ ἄνθρωπος', 'καὶ ἄνθρωπος']"
ἐρῶσιν,['ἐράω']
εἶ,"['εἰ', 'εἰμί', 'εἶμι', 'εἰ', 'εἰμί', 'εἶμι']"
εὐτυχῶς,"['εὐτυχής', 'εὐτυχής']"
δρῶν,"['δράω', 'δράω']"
ἔσῃ,['εἰμί']
διδάσκεσθαι,"['διδάσκω', 'διδάσκω']"
ἀφαιρεθήσῃ,"['ἀφαιρέω', 'ἀφαιρέω']"
τιμῶσί,"['τιμάω', 'τιμάω']"
Κιτιέα,"['Κιτιεύς', 'Κιτιεύς']"
κεχωρισμένον,"['χωρίζω', 'χωρίζω']"
συνιδρῦσθαι,"['συνιδρύω', 'συνιδρύω']"
Ἑρμῇ,['̔Ερμῆς']
Ἡρακλεῖ,['Ἡρακλέης']
προεστῶτι,"['προίστημι', 'προίστημι']"
ἑνωθέντων,['ἑνόω']
γεννᾶται,"['γεννάω', 'γεννάω']"
καλλίστη,"['καλός', 'καλός']"
μετιοῦσιν,"['μέτειμι', 'μέτειμι']"
συναύξεται,"['συναυξάνω', 'συναυξάνω']"
ἀπέσχον,"['ἀπέχω', 'ἀπέχω']"
Ἀκαδημίας,"['Ἀκαδήμεια', 'Ἀκαδήμεια']"
ἐκδήλως,['ἔκδηλος']
καθιερωμένης,"['καθιερόω', 'καθιερόω']"
ἱδρυσάμενοι,['ἱδρύω']
συνθύουσιν,"['συνθύω', 'συνθύω']"
Θεσπιεῖς,"['Θεσπιεύς', 'Θεσπιεύς']"
Ἐρωτίδια,"['ἐρωτίδια', 'Ἐρωτίδια']"
Ῥόδιοί,['Ῥόδιος']
τιμᾶται,"['τιμάω', 'τιμάω']"
Ἔρωτι,['ἔρως']
προθύονται,"['προθύω', 'προθύω']"
παραταττομένων,"['παρατάσσω', 'παρατάσσω']"
κειμένης,"['κεῖμαι', 'κεῖμαι']"
καλλίστους,"['καλός', 'καλός']"
κοσμήσαντες,"['κοσμέω', 'κοσμέω']"
συνέστηκεν,"['συνίστημι', 'συνίστημι']"
ἐραστῶν,"['ἐραστής', 'ἐραστός']"
ἀσπαζομένων,"['ἀσπάζομαι', 'ἀσπάζω']"
ἐπονειδίστου,['ἐπονείδιστος']
Σάμιοι,"['Σάμιος', 'Σάμιος']"
Ἐρξίας,['Ἐρξίας']
ἀγομένην,['ἄγω']
Ἐλευθέρια,['ἐλευθέριος']
ἔτυχον,['τυγχάνω']
Πεισιστρατίδαι,"['Πεισιστρατίδης', 'Πεισιστρατίδης']"
ἐκπεσόντες,['ἐκπίπτω']
ἐπεχείρησαν,['ἐπιχειρέω']
λεχθέντων,"['λέγω', 'λέγω']"
ἀπεμνημόνευσε,"['ἀπομνημονεύω', 'ἀπομνημονεύω']"
πορευομένῳ,"['πορεύω', 'πορεύω']"
ἐπῆλθέ,['ἐπέρχομαι']
συντομώτατον,"['σύντομος', 'σύντομος']"
ποιοῦσιν,"['ποιέω', 'ποιέω']"
συνενηνεγμένος,"['συμφέρω', 'συμφέρω']"
φρονοῦντος,"['φρονέω', 'φρονέω']"
ἀδάμαντος,['ἀδάμας']
Ἀραρὼς,"['Ἀραρώς', 'Ἀραρώς']"
γράψας,"['γράφω', 'γράφω']"
κηροπλαστήσας,"['κηροπλαστέω', 'κηροπλαστέω']"
ᾔδει,['οἶδα']
ἀπαλλαγῆναι,"['ἀπαλλάσσω', 'ἀπαλλάσσω']"
φέροντι,"['φέρω', 'φέρω']"
κἄφησέ,"['καί φημί', 'καί φημί']"
Ἄλεξις,"['̓́Αλεξις', 'ἄλεξις']"
Ἀποκοπτομένῳ,"['ἀποκόπτω', 'ἀποκόπτω']"
γραφεῖς,"['γραφεύς', 'γραφεύς']"
Ἐρωτικῷ,['ἐρωτικός']
χαλεπώτατος,"['χαλεπός', 'χαλεπός']"
Τραυματίᾳ,"['τραυματίας', 'τραυματίας']"
ζῆν,"['ζάω', 'ζάω']"
εὐπόρους,"['εὔπορος', 'εὔπορος']"
ἀθλιωτάτους,['ἄθλιος']
Φιλαύλῳ,"['φίλαυλος', 'φίλαυλος']"
καταλείπετ᾽,"['καταλείπω', 'καταλείπω']"
καὐτὸς,"['καί αὐτός', 'καί αὐτός']"
κιθαριστρίας,"['κιθαρίστρια', 'κιθαρίστρια']"
ἐρῶν,['ἐράω']
ἀπεψηφισμένος,"['ἀποψηφίζομαι', 'ἀποψηφίζομαι']"
κἀκείνους,"['καί ἐκεῖνος', 'καί ἐκεῖνος']"
πέτηται,"['πέτομαι', 'πέτομαι']"
ἐφυγάδευσαν,['φυγαδεύω']
εἶχε,"['  ', 'ἔχω', '  ', 'ἔχω']"
Διθυράμβῳ,"['διθύραμβος', 'διθύραμβος']"
ἐρᾷ,['ἐράω']
Ἔρωτ᾽,['ἔρως']
κᾆτα,"['καί εἶτα', 'καί εἶτα']"
ὑποκριτῆρες,['ὑποκριτήρ']
τἀν,"['τά ἐν', 'ἐν']"
κᾆθ᾽,"['καί εἶτα', 'καί εἶτα']"
παιδοπῖπαι,"['παιδοπίπης', 'παιδοπίπης']"
Φοίνικα,"['Φοῖνιξ', 'Φοῖνιξ']"
παιδικοῖς,"['παιδικόν', 'παιδικός', 'παιδικόν', 'παιδικός']"
συνέχειν,"['συνέχω', 'συνέχω']"
Ἀρίστων,"['Ἀρίστων', 'Ἀρίστων']"
Κεῖος,"['Κεῖος', 'Κεῖος']"
εἰρηκέναι,"['λέγω', 'λέγω']"
Ἐρωτικῶν,['ἐρωτικός']
Ὁμοίων,['ὅμοιος']
ἐπιδεικνύντα,['ἐπιδείκνυμι']
Δόλωνά,"['Δόλων', 'Δόλων']"
δοκῶ,"['δοκέω', 'δοκέω']"
Δώρων,"['Δῶρα', 'Δῶρα']"
ἡδυσμάτων,['ἥδυσμα']
ἀνηδύντων,"['ἀνήδυντος', 'ἀνήδυντος']"
ἤρων,['ἐράω']
παιδικά,"['παιδικόν', 'παιδικός', 'παιδικόν', 'παιδικός']"
ἄρρενος,"['ἄρσην', 'ἄρσην']"
πεφύκῃ,"['φύω', 'φύω']"
διαλεγομένην,"['διαλέγω', 'διαλέγω']"
ὕπνος,['ὕπνος']
ἀναπεπταμένοις,"['ἀναπετάννυμι', 'ἀναπετάννυμι']"
ὄσσοις,['ὅσος']
θαυμαζόμενον,"['θαυμάζω', 'θαυμάζω']"
κἄντα,"['καί ἄντα', 'καί ἄντα']"
δίζημαί,"['δίζημαι', 'δίζημαι']"
ἄεις,"['ἄω', 'ἄω']"
μεγαλοφωνότατος,"['μεγαλόφωνος', 'μεγαλόφωνος']"
Θεοξένου,"['Θεόξενος', 'Θεόξενος']"
ὄσσων,['ὅσος']
μαρμαρυζοίσας,"['μαρμαρύζω', 'μαρμαρύζω']"
δρακεὶς,"['δέρκομαι', 'δέρκομαι']"
κυμαίνεται,"['κυμαίνω', 'κυμαίνω']"
μέλαιναν,"['μέλας', 'μέλας']"
φλογί,"['φλόξ', 'φλόξ']"
ἐπαινῶν,['ἐπαινέω']
ἐρώτων,['ἔρως']
Ἰβυκείῳ,['Ἰβύκειον']
ῥοδέοισιν,['ῥόδεος']
Τρωίλου,"['Τρωίλος', 'Τρωίλος']"
παρῇσι,"['παρηίς', 'παρηίς']"
ξυρουμένους,"['ξυρέω', 'ξυρέω']"
ξύρεσθαι,"['ξυρέω', 'ξυρέω']"
εὑρημένου,"['εὑρίσκω', 'εὑρίσκω']"
ἀκαίρως,['ἄκαιρος']
μεμνήσομαι,"['μιμνῄσκω', 'μιμνῄσκω']"
παρωνύμιον,"['παρωνύμιον', 'παρωνύμιον']"
Κόρσην,"['Κόρσης', 'Κόρσης']"
πιττοκοπούμενὸν,"['πισσοκοπέω', 'πισσοκοπέω']"
ξυρούμενον,"['ξυρέω', 'ξυρέω']"
