form,lemmi_originari,lemmi_dizionario,match_ratio
οἵδε,['ὅδε'],['ὅδε'],27/27
ἀναιρέσεως,['ἀναίρεσις'],['ἀναίρεσις'],6/6
γεγονὼς,['γίγνομαι'],['γίγνομαι'],18/18
ὤχετο,['ἀχεύω'],['οἴχομαι'],0/1
κατεῖπεν,['κατεῖπον'],['καταλέγω'],0/1
Ἑλληνοταμίαι,['Ἑλληνοταμίαι'],['Ἑλληνοταμίαι'],2/2
ἀπέθανον,"['ἀποθνήσκω', 'ἀποθνῄσκω']",['ἀποθνῄσκω'],1/27
Σωσίαν,['Σωσίης'],['Σωσίας'],0/1
ἐτεθνήκει,['θνήσκω'],['θνῄσκω'],0/3
ἐτέθνασαν,['θνήσκω'],['θνῄσκω'],0/1
πυνθάνεσθαι,['πυνθάνομαι'],['πυνθάνομαι'],8/8
γένοιτ᾽,['γίγνομαι'],['γίγνομαι'],7/7
ἀπολέσαντες,['ἀπόλλυμι'],['ἀπολλύμι'],0/6
ὀργιζόμενος,['ὀργίζω'],['ὀργίζω'],4/4
βουλεύεται,['βουλεύω'],['βουλεύω'],3/3
διαφθείρει,['διαφθείρω'],['διαφθείρω'],8/8
γεγενημένων,['γίγνομαι'],['γίγνομαι'],18/18
ἐλεηθῆναι,['ἐλεάω'],['ἐλεέω'],0/1
ἄξιός,['ἄξιος'],['ἄξιος'],15/15
ἐλεεῖσθαι,"['ἐλεάω', 'ἐλεέω']",['ἐλεέω'],2/3
σῴζειν,"['σώζω', 'σῴζω']",['σῴζω'],1/19
ἀπολλύναι,['ἀπόλλυμι'],['ἀπόλλυμι'],9/9
ἐπισχεῖν,"['ἐπίσχω', 'ἐπέχω', 'ἐπώχατο']","['ἐπέχω', 'ἐπίσχω']",6/8
κελεύουσιν,['κελεύω'],['κελεύω'],13/13
εἴργεσθαι,['ἔργω1'],['ἔργω'],0/8
προαγορεύουσι,['προαγορεύω'],['προαγορεύω'],2/2
φεύγουσι,['φεύγω'],['φεύγω'],6/6
πρεσβύτερός,['πρέσβυς'],['πρέσβυς'],2/2
νεώτερος,['νέος'],['νέος'],9/9
νεώτερός,"['νέος', 'νεώτερος']",['νέος'],1/2
εἰπών,['εἶπον'],['λέγω'],0/12
Μυτιληναίων,"['Μυτιληναῖοι', 'Μυτιληναῖος']",['Μυτιληναῖος'],1/17
ἐδείκνυε,['δείκνυμι'],['δείκνυμι'],2/2
ἀποστᾶσα,['ἀφίστημι'],['ἀφίστημι'],3/3
ἀνταποθανεῖν,['ἀντί-ἀποθνήσκω'],['ἀνταποθνῄσκω'],0/1
κειμένου,['κεῖμαι'],['κεῖμαι'],4/4
ἐκλιπεῖν,['ἐκλείπω'],['ἐκλείπω'],10/10
εὐρόπως,['εὔροπος'],['εὔροπος'],1/1
ἐνέχυρα,['ἐνέχυρον'],['ἐνέχυρον'],12/12
ἀδυνάτως,['ἀδύνατος'],['ἀδύνατος'],4/4
ἐκολάσατε,['κολάζω'],['κολάζω'],4/4
Μυτιληναίοις,['Μυτιληναῖοι'],['Μυτιληναῖος'],0/5
σφετέραν,['σφέτερος'],['σφέτερος'],8/8
δεόντων,"['δέον', 'δέω', 'δεῖ', 'δέω2']",['δέω'],2/11
χορηγίας,['χορηγία'],['χορηγία'],29/29
ἐπεῖδον,['ἐπεῖδον'],"['ἐπεῖδον', 'ἐφοράω']",3/3
γενομένην,['γίγνομαι'],['γίγνομαι'],45/45
ἰδία,"['ἰδία', 'ἴδιος']",['ἴδιος'],2/3
ἐφίεσθαι,['ἐφίημι'],['ἐφίημι'],6/6
βοηθεῖν,['βοηθέω'],['βοηθέω'],73/73
τιμωρεῖν,['τιμωρέω'],['τιμωρέω'],12/12
μεῖζον,['μέγας'],['μέγας'],33/33
εἰσιόντες,"['εἴσειμι', 'εἰσέρχομαι']",['εἴσειμι'],7/8
δεδειγμένον,['δείκνυμι'],['δείκνυμι'],1/1
πείθειν,['πείθω'],['πείθω'],12/12
δοκῶσιν,"['δοκάω', 'δοκέω']",['δοκέω'],2/4
τιμὴ,['τιμή'],['τιμή'],9/9
δύναμις,['δύναμις'],['δύναμις'],33/33
ἀποδειχθῆναι,['ἀποδείκνυμι'],['ἀποδείκνυμι'],2/2
σημείοις,['σημεῖον'],['σημεῖον'],6/6
γενομένοις,['γίγνομαι'],['γίγνομαι'],11/11
τεκμηραμένους,['τεκμαίρομαι'],['τεκμαίρομαι'],1/1
ἀσφαλῶς,['ἀσφαλής'],['ἀσφαλής'],59/59
πιστότατα,"['πιστός2', 'πιστός', 'πιστός1']",['πιστός'],1/4
εἰπόντα,['εἶπον'],['λέγω'],0/4
διώκων,['διώκω'],['διώκω'],17/17
γίγνηται,['γίγνομαι'],['γίγνομαι'],8/8
διακειμένους,['διάκειμαι'],['διάκειμαι'],4/4
θεούς,['θεός'],['θεός'],29/29
ἱεροῖς,"['ἱερόν', 'ἱερός']","['ἱερόν', 'ἱερός']",24/24
ἐγένοντο,['γίγνομαι'],['γίγνομαι'],128/128
πλοῖς,['πλόος'],['πλόος'],1/1
κάλλιστα,"['καλός', 'κάλλιστα']",['καλός'],39/42
κατηγοροῦσι,['κατηγορέω'],['κατηγορέω'],5/5
μαρτυροῦσιν,"['μαρτυρέω', 'μαρτύρομαι']",['μαρτυρέω'],12/13
λέγουσι,"['λέγω3', 'λέγω2']",['λέγω'],0/77
χρῆναι,['χρή'],['χράω'],0/42
ἐλέγχουσιν,['ἐλέγχω'],['ἐλέγχω'],2/2
σῴζει,['σώζω'],['σῴζω'],0/3
νόμιμα,"['νόμιμα', 'νόμιμος']",['νόμιμος'],5/16
δικάσειν,['δικάζω'],['δικάζω'],4/4
τῷδε,['ὅδε'],['ὅδε'],40/40
ὀρθότατα,['ὀρθός'],['ὀρθός'],2/2
δέον,"['δεῖ', 'δέω2']",['δέω'],0/41
σῇ,['σός'],['σός'],3/3
ἐσωζόμην,['σώζω'],['σῴζω'],0/1
ἀγαθοῖς,['ἀγαθός'],['ἀγαθός'],19/19
ἄμεινον,"['ἀμείνων', 'ἀγαθός']",['ἀγαθός'],1/38
ἀγῶνες,['ἀγών'],['ἀγών'],6/6
σύμμαχοί,['σύμμαχος'],['σύμμαχος'],1/1
πολεμιώτατοι,['πολέμιος'],['πολέμιος'],1/1
γνωσθεῖσα,['γιγνώσκω'],['γιγνώσκω'],2/2
δίκῃ,['δίκη'],['δίκη'],23/23
πιστεύσας,['πιστεύω'],['πιστεύω'],7/7
ξυνειδὼς,['σύνοιδα'],['σύνοιδα'],2/2
τόμια,['τόμιον'],['τόμιον'],2/2
τἆλλ᾽,['ἄλλος'],['ἄλλος'],4/4
διαφέροντά,['διαφέρω'],['διαφέρω'],2/2
ἀσέβειά,['ἀσέβεια'],['ἀσέβεια'],1/1
σεαυτῷ,['σαυτοῦ'],['σεαυτοῦ'],0/1
διομοσαμένους,['διόμνυμι'],['διόμνυμι'],2/2
ἐάσετε,['ἐάω'],['ἐάω'],4/4
νομιζόμενον,['νομίζω'],['νομίζω'],4/4
κατηγορῆσαι,['κατηγορέω'],['κατηγορέω'],3/3
ἀμὲ,['ἐγώ'],['ἐμός'],0/4
ἀκεῖ,['ἐκεῖ'],['ἐκεῖ'],12/12
βούλησθε,['βούλομαι'],['βούλομαι'],8/8
ἀπολέσασι,['ἀπόλλυμι'],['ἀπόλλυμι'],3/3
βουλεύσασθαι,['βουλεύω'],['βουλεύω'],18/18
ἁμαρτεῖν,"['ἁμαρτάνω', 'ἁμαρτέω']",['ἁμαρτάνω'],1/5
κελεύεις,['κελεύω'],['κελεύω'],5/5
μαρτυροῦσι,['μαρτυρέω'],['μαρτυρέω'],11/11
σὴν,['σός'],['σός'],9/9
παρανομίαν,['παρανομία'],['παρανομία'],7/7
χρησαμένους,['χράω2'],['χράω'],0/6
ἔλαττόν,['ἐλάσσων'],['ἐλαχύς'],0/2
βλάβος,['βλάβος'],['βλάβος'],2/2
μετεμέλησεν,['μεταμέλομαι'],['μεταμέλομαι'],2/2
ἀπολωλεκόσι,['ἀπόλλυμι'],['ἀπόλλυμι'],1/1
χρῆν,"['χρή', 'χράω2', 'χρῆ']",['χράω'],0/31
ἀπολωλέναι,['ἀπόλλυμι'],['ἀπόλλυμι'],9/9
τύχης,['τύχη'],['τύχη'],67/67
ποιοῖτο,['ποιέω'],['ποιέω'],2/2
χειρὶ,"['χείρ', 'χειρίς']",['χείρ'],8/11
λέγεις,"['λέγω3', 'λέγω']",['λέγω'],1/36
ἀπιών,['ἄπειμι2'],['ἄπειμι'],0/2
ὡσπερεὶ,['ὥσπερ'],['ὥσπερ'],2/2
ἄκοντά,['ἀέκων'],['ἀέκων'],1/1
ἀναγκάσας,['ἀναγκάζω'],['ἀναγκάζω'],4/4
γῆν,"['γῆ', 'Γαῖα']",['γῆ'],157/191
ξυνῄδη,['σύνοιδα'],['σύνοιδα'],1/1
συνειδότι,['σύνοιδα'],['σύνοιδα'],2/2
ἀπειρηκὸς,['ἀπό-ἐρῶ'],"['ἀπολέγω', 'ἀπολέγω ']",0/1
συνεξέσωσεν,['συνεκσώζω'],['συνεκσῴζω'],0/1
ξυνειδέναι,['σύνοιδα'],['σύνοιδα'],1/1
ξυνειδότι,['σύνοιδα'],['σύνοιδα'],1/1
ἀσεβημάτων,['ἀσέβημα'],['ἀσέβημα'],2/2
αὖθις,['αὖθις'],['αὖθις'],147/147
κολάσαι,['κολάζω'],['κολάζω'],3/3
χρόνος,['χρόνος'],['χρόνος'],49/49
παρανόμως,['παράνομος'],['παράνομος'],11/11
ψηφίσασθαι,"['ψηφίζομαι', 'ψηφίζω']",['ψηφίζω'],9/15
στέρεσθαι,['στέρομαι'],['στέρομαι'],3/3
ἐλθεῖν,['ἔρχομαι'],['ἔρχομαι'],50/50
ὀφλεῖν,['ὀφλέω'],['ὀφλισκάνω'],0/2
βουλευομένων,['βουλεύω'],['βουλεύω'],6/6
τοί,"['τοι', 'σύ', 'ὁ']",['τοι'],4/7
διομοσάμενοι,['διόμνυμι'],['διόμνυμι'],2/2
ἐμὴ,['ἐμός'],['ἐμός'],15/15
ἔνεστι,['ἐν-εἰμί'],['ἔνειμι'],0/5
πειθόμενοι,['πείθω'],['πείθω'],14/14
ἀποστερεῖν,['ἀποστερέω'],['ἀποστερέω'],6/6
θέμενος,['τίθημι'],['τίθημι'],12/12
ἁπάντων,['ἅπας'],['ἅπας'],160/160
δηλῶσαι,['δηλόω'],['δηλόω'],11/11
αὐτά,['αὐτός'],['αὐτός'],30/30
ἀρχαιοτάτοις,['ἀρχαῖος'],['ἀρχαῖος'],2/2
διομοσάμενος,['διόμνυμι'],['διόμνυμι'],2/2
ἀναμφισβητήτως,['ἀναμφισβήτητος'],['ἀναμφισβήτητος'],3/3
τοῖσδε,['ὅδε'],['ὅδε'],18/18
μηδέν,['μηδείς'],['μηδείς'],22/22
ἐξεῖναί,['ἔξεστι'],['ἔξειμι'],0/1
ἑλὼν,['αἱρέω'],['αἱρέω'],14/14
ὠφληκότα,['ὀφλέω'],['ὀφλισκάνω'],0/2
πιστοὶ,"['πιστός1', 'πιστός2', 'πιστός']",['πιστός'],2/9
ἐσώθησαν,"['σώζω', 'εἰσωθέω']",['σῴζω'],0/9
ἐψεύσαντο,['ψεύδω'],['ψεύδω'],2/2
δεινότερα,['δεινός'],['δεινός'],5/5
ἐδέθην,['δέω1'],['δέω'],0/1
ἐγγυητὰς,"['ἐγγυητής', 'ἐγγυητός']",['ἐγγυητός'],1/10
διεπράξαντο,['διαπράσσω'],['διαπράσσω'],4/4
ἐδέθη,['δέω1'],['δέω'],0/3
κοινὸς,['κοινός'],['κοινός'],7/7
ἀπαρασκευότατον,['ἀπαράσκευος'],['ἀπαράσκευος'],1/1
διαπράσσεσθαι,['διαπράσσω'],['διαπράσσω'],1/1
ἀμαυτοῦ,['ἐμαυτοῦ'],['ἐμαυτοῦ'],1/1
προσήκουσιν,['προσήκω'],['προσήκω'],3/3
προσεδόκησεν,['προσδοκέω'],['προσδοκέω'],3/3
πλοῦν,['πλόος'],['πλόος'],40/40
ὅν,['ὅς'],['ὅς'],12/12
Θρᾳξὶν,"['Θράκιος', 'Θρᾷξ']",['Θρᾷξ'],1/2
συνέπλει,['συμπλέω'],['συμπλέω'],1/1
Θρᾷκες,"['Θράκιος', 'Θρᾷξ']",['Θρᾷξ'],1/2
πλοῦ,['πλόος'],['πλόος'],6/6
χρησάμενοι,"['χράω2', 'χράω']",['χράω'],1/25
κατασχεῖν,"['κατέχω', 'κατασχάω']",['κατέχω'],11/13
ὥρμει,['ὁρμάω'],['ὁρμέω'],0/1
μετεκβάντα,['μετεκβαίνω'],['μετεκβαίνω'],1/1
ἀκροᾶσθαι,"['ἀκροάομαι', 'ἀκροάζομαι']",['ἀκροάομαι'],6/7
φαίνομαι,['φαίνω'],['φαίνω'],5/5
ποιησάμενος,['ποιέω'],['ποιέω'],37/37
κατασχόντες,['κατέχω'],['κατέχω'],8/8
παρασκευῆς,['παρασκευή'],['παρασκευή'],22/22
οὐδεμιᾶς,['οὐδείς'],['οὐδείς'],17/17
ἐστεγασμένον,['στεγάζω'],['στεγάζω'],1/1
μετεξέβημεν,['μετεκβαίνω'],['μετεκβαίνω'],1/1
ἐκβὰς,['ἐκβαίνω'],['ἐκβαίνω'],2/2
νυκτὸς,['νύξ'],['νύξ'],117/117
ἀνδράσι,['ἀνήρ'],['ἀνήρ'],26/26
οὗπερ,"['ὅσπερ', 'ὄσπερ', 'οὗπερ']",['ὅσπερ'],5/15
ἔτυχον,['τυγχάνω'],['τυγχάνω'],32/32
ὁμοίως,"['ὅμοιος', 'ὁμοίως', 'ὁμοῖος', 'ὁμοιός']",['ὅμοιος'],161/193
ἄγγελον,['ἄγγελος'],['ἄγγελος'],8/8
βαδίζειν,['βαδίζω'],['βαδίζω'],16/16
ἕτοιμος,['ἑτοῖμος'],['ἑτοῖμος'],21/21
πλοῦς,['πλόος'],['πλόος'],3/3
ἀνήγετο,['ἀνάγω'],['ἀνάγω'],9/9
πλοῖα,['πλοῖον'],['πλοῖον'],37/37
ἀνάγεσθαί,['ἀνάγω'],['ἀνάγω'],1/1
γλώσσῃ,['γλῶσσα'],['γλῶσσα'],5/5
ἁμάρτω,['ἁμαρτάνω'],['ἁμαρτάνω'],2/2
εἴπω,['εἶπον'],['λέγω'],0/5
δεινότητι,['δεινότης'],['δεινότης'],3/3
γεγενημένον,['γίγνομαι'],['γίγνομαι'],11/11
ἐνέβαλον,['ἐμβάλλω'],['ἐμβάλλω'],9/9
εἰκότι,['ἔοικα'],['ἔοικα'],1/1
ἐδύνατο,['δύναμαι'],['δύναμαι'],37/37
ὁδὸν,"['ὁδός2', 'ὁδός1', 'ὁδός']",['ὁδός'],1/44
λιμένι,['λιμήν'],['λιμήν'],14/14
κᾆτ᾽,['εἶτα'],['καί εἶτα'],0/1
πόρρω,['πρόσω'],['πρόσω'],18/18
ἥδιστον,['ἡδύς'],['ἡδύς'],6/6
ἀνθρώπῳ,['ἄνθρωπος'],['ἄνθρωπος'],24/24
συνειδέναι,['σύνοιδα'],['σύνοιδα'],6/6
παλαιότατα,['παλαιός'],['παλαιός'],1/1
διδάξαι,['διδάσκω'],['διδάσκω'],13/13
Ἀμπελίνου,['Ἀμπέλινος'],['Ἀμπελῖνος'],0/1
εἰσήγγειλα,['εἰσαγγέλλω'],['εἰσαγγέλλω'],3/3
βουλήν,['βουλή'],['βουλή'],16/16
εἰργόμενος,['ἔργω1'],['ἔργω'],0/3
εἰσαγγείλαντος,['εἰσαγγέλλω'],['εἰσαγγέλλω'],2/2
ἐπισταμένου,['ἐφίστημι'],"['ἐπίσταμαι', 'ἐφίστημι']",1/1
ἐπεξιόντος,['ἐπέξειμι'],['ἐπέξειμι'],1/1
Λυσιστράτῳ,['Λυσίστρατος'],['Λυσίστρατος'],1/1
φυλάξαντες,"['φυλάσσω', 'φυλάζω']",['φυλάσσω'],2/4
ἀνάγκην,['ἀνάγκη'],['ἀνάγκη'],26/26
εἴρηται,"['εἴρω', 'ἐρῶ', 'ἔρομαι', 'εἴρω2']",['λέγω'],0/48
ἐλπίζων,['ἐλπίζω'],['ἐλπίζω'],12/12
βασιλεὺς,['βασιλεύς'],['βασιλεύς'],172/172
καλεῖσθαι,['καλέω'],['καλέω'],17/17
εἷλον,['αἱρέω'],['αἱρέω'],24/24
ἐλάμβανον,['λαμβάνω'],['λαμβάνω'],12/12
οἷόι,['οἷος'],['οἷος'],1/1
προσιόντες,"['πρόσειμι1', 'πρόσειμι']",['πρόσειμι'],1/14
ἕτοιμοι,['ἑτοῖμος'],['ἑτοῖμος'],14/14
οἵπερ,"['ὁ', 'ὅς', 'ὅσπερ']",['ὅσπερ'],2/10
νεῷ,"['ναός', 'νεός']",['νέος'],0/2
Ἀθηνᾶς,['Ἀθήνη'],['Ἀθήνη'],19/19
συνῆσάν,['σύνειμι1'],['σύνειμι'],0/2
διελέγοντο,['διαλέγω'],['διαλέγω'],14/14
σφετέρᾳ,['σφέτερος'],['σφέτερος'],1/1
πανταχοῦ,['πανταχοῦ'],['πανταχοῦ'],27/27
Ζεῦ,"['Ζεύς', 'ζεύς']",['Ζεύς'],11/12
ἁπτόμενος,['ἅπτω'],['ἅπτω'],3/3
δόξαι,"['δοκέω', 'δόξα']","['δόξα', 'δοκέω']",14/14
προειρημένον,['προερέω'],['προλέγω'],0/17
διαλεγομένους,['διαλέγω'],['διαλέγω'],2/2
βασιλέως,['βασιλεύς'],['βασιλεύς'],204/204
ἐμὴν,['ἐμός'],['ἐμός'],41/41
σπουδὴν,['σπουδή'],['σπουδή'],36/36
ἐθέλειν,['ἐθέλω'],['θέλω'],0/22
βασιλέα,['βασιλεύς'],['βασιλεύς'],138/138
τρισὶ,['τρεῖς'],['τρεῖς'],18/18
μησί,['μείς'],['μείς'],1/1
τετάρτῳ,['τέταρτος'],['τέταρτος'],15/15
μηνί,['μείς'],['μείς'],2/2
ἀρχῆς,['ἀρχή'],['ἀρχή'],252/252
λοιποὶ,['λοιπός'],['λοιπός'],26/26
μῆνες,['μείς'],['μείς'],4/4
πλείω,"['πλείων', 'πολύς', 'πλέως']",['πολύς'],2/91
ἐλπίσιν,['ἐλπίς'],['ἐλπίς'],18/18
ἠδίκει,['ἀδικέω'],['ἀδικέω'],8/8
εἰσῆλθεν,['εἰσέρχομαι'],['εἰσέρχομαι'],11/11
Ἑκατομβαιῶνος,['ἑκατομβαιών'],['Ἑκατομβαιών'],0/1
μηνὸς,['μείς'],['μείς'],23/23
τριάκονθ᾽,['τριάκοντα'],['τριάκοντα'],2/2
συνεχῶς,['συνεχής'],['συνεχής'],34/34
ἐβούλοντο,['βούλομαι'],['βούλομαι'],37/37
ἀπεγράφοντο,['ἀπογράφω'],['ἀπογράφω'],4/4
οὐδεμιᾷ,['οὐδείς'],['οὐδείς'],7/7
πω,['πω'],['πω'],34/34
παρεῖσαν,['παρέζομαι'],['παρέζομαι'],1/1
εἴκοσιν,"['εἴκοσιν', 'εἴκοσι']",['εἴκοσι'],12/25
αἷς,['ὅς'],['ὅς'],70/70
εἰσιόντ᾽,['εἴσειμι'],['εἴσειμι'],1/1
ἐς,['εἰς'],['εἰς'],1230/1230
ἱερόν,"['ἱερόν', 'ἱερός']","['ἱερόν', 'ἱερός']",23/23
εἴργειν,['ἔργω1'],['ἔργω'],0/5
παραβαίνων,['παραβαίνω'],['παραβαίνω'],5/5
ὑπομνῆσαι,['ὑπομιμνήσκω'],['ὑπομιμνῄσκω'],0/3
ἀμφότερα,['ἀμφότερος'],['ἀμφότερος'],30/30
συνῆσαν,['σύνειμι1'],['σύνειμι'],0/5
ἀξιοῦντες,['ἀξιόω'],['ἀξιόω'],20/20
σχετλιώτεροι,['σχέτλιος'],['σχέτλιος'],1/1
ἀνομώτεροι,['ἄνομος'],['ἄνομος'],1/1
σφᾶς,"['σφεῖς', 'σφός']",['σφεῖς'],110/112
ἔπεισαν,"['πείθω', 'ἐφίζω']",['πείθω'],15/17
ἀπεδίκασαν,['ἀποδικέω'],['ἀποδικάζω'],0/1
ζητοῦσι,['ζητέω'],['ζητέω'],6/6
εἶπον,"['εἶπον', 'λέγω']",['λέγω'],2/57
παρεσχόμην,['παρέχω'],['παρέχω'],5/5
νομίζειν,['νομίζω'],['νομίζω'],41/41
ἐπιορκοτάτους,['ἐπίορκος'],['ἐπίορκος'],2/2
ἀνοσιωτάτους,['ἀνόσιος'],['ἀνόσιος'],2/2
ποίαν,['ποῖος'],['ποῖος'],16/16
λαβόντες,['λαμβάνω'],['λαμβάνω'],60/60
πυθόμενος,"['πυνθάνομαι', 'πύθω']",['πυνθάνομαι'],24/39
εἰσῆγον,['εἰσάγω'],['εἰσάγω'],4/4
διδόασιν,['δίδωμι'],['δίδωμι'],5/5
αὐτοί,['αὐτός'],['αὐτός'],43/43
μεσεγγυησάμενοι,['μεσεγγυάω'],['μεσεγγυάω'],1/1
πραχθέντα,['πράσσω'],['πράσσω'],13/13
βούλωνται,['βούλομαι'],['βούλομαι'],27/27
οἷοί,['οἷος'],['οἷος'],27/27
ἀσέβεια,['ἀσέβεια'],['ἀσέβεια'],2/2
ἀδικώτατόν,['ἄδικος'],['ἄδικος'],1/1
ἀδικῶ,['ἀδικέω'],['ἀδικέω'],7/7
ἀποκρίνεσθαι,['ἀποκρίνω'],['ἀποκρίνω'],3/3
κατηγοροῦσιν,['κατηγορέω'],['κατηγορέω'],3/3
τιμὴν,['τιμή'],['τιμή'],35/35
οἴσειν,['φέρω'],['φέρω'],7/7
ἐπεί,['ἐπεί'],['ἐπεί'],22/22
δεινόν,['δεινός'],['δεινός'],12/12
τισίν,['τις'],['τις'],3/3
μηχανῶνται,['μηχανάομαι'],['μηχανάομαι'],3/3
λαμβάνειν,['λαμβάνω'],['λαμβάνω'],58/58
αὗται,['οὗτος'],['οὗτος'],65/65
ἐλάμβανεν,['λαμβάνω'],['λαμβάνω'],8/8
ποιεῖται,['ποιέω'],['ποιέω'],18/18
κατηγορεῖ,['κατηγορέω'],['κατηγορέω'],12/12
σχεδὸν,['σχεδόν'],['σχεδόν'],97/97
τινὸς,['τις'],['τις'],74/74
ἔλαχον,['λαγχάνω'],['λαγχάνω'],7/7
Παντακλέα,['Παντακλέης'],['Παντακλέης'],1/1
δικαιότατα,['δίκαιος'],['δίκαιος'],2/2
συνέλεξα,['σύν-λέγω1'],['συλλέγω'],0/1
βίᾳ,['βία'],['βία'],42/42
οὐδενί,['οὐδείς'],['οὐδείς'],7/7
ἥδιστα,['ἡδύς'],['ἡδύς'],9/9
ἀμφοτέροις,['ἀμφότερος'],['ἀμφότερος'],46/46
βουλόμενοι,['βούλομαι'],['βούλομαι'],68/68
παρεῖναι,"['πάρειμι1', 'πάρειμι', 'παρίημι']",['πάρειμι'],7/47
Ἀθηναίοις,"['Ἀθήναιος', 'Ἀθηναῖος', 'Ἀθήναιον']",['Ἀθηναῖος'],35/87
τουτωνὶ,['οὗτος'],['οὗτος'],8/8
Ἐρεχθῇδος,['Ἐρεχθηῖς'],['Ἐρεχθηίς'],0/2
Ἀμεινίαν,"['Ἀμεινίης', 'Ἀμεινίας']",['Ἀμεινίας'],1/2
ἐψηφίσαντο,"['ψηφίζομαι', 'ψηφίζω']",['ψηφίζω'],19/22
χρηστὸν,['χρηστός'],['χρηστός'],9/9
ὅσπερ,"['ὅς', 'ὅσπερ']",['ὅσπερ'],2/11
εἴωθεν,['ἔθω'],['ἔθω'],1/1
προσετέτακτο,['προστάσσω'],['προστάσσω'],5/5
ἄλλος,['ἄλλος'],['ἄλλος'],83/83
μηδενὸς,['μηδείς'],['μηδείς'],34/34
βούληται,['βούλομαι'],['βούλομαι'],21/21
περιεστώτων,['περιίστημι'],['περιίστημι'],6/6
ἐπίστανται,['ἐφίστημι'],['ἐπίσταμαι'],0/1
ὁρκωτοῦ,['ὁρκωτής'],['ὁρκωτής'],1/1
ἅττα,['ὅστις'],['ὅστις'],2/2
ἐκέλευσα,['κελεύω'],['κελεύω'],9/9
παρῆ,['πάρειμι1'],['πάρειμι'],0/1
μαθεῖν,['μανθάνω'],['μανθάνω'],26/26
ὑπεσχόμην,['ὑπέχω'],"['ὑπέχω', 'ὑπισχνέομαι']",4/4
ἅ,['ὅς'],['ὅς'],27/27
βουλεύσαντα,['βουλεύω'],['βουλεύω'],2/2
ἐκέλευσε,['κελεύω'],['κελεύω'],40/40
προστίθημι,['προστίθημι'],['προστίθημι'],2/2
μέγιστος,['μέγας'],['μέγας'],17/17
ἐκέλευσεν,['κελεύω'],['κελεύω'],48/48
φάρμακόν,['φάρμακον'],['φάρμακον'],2/2
βουλομένῳ,['βούλομαι'],['βούλομαι'],14/14
πράττεται,['πράσσω'],['πράσσω'],4/4
ἀποκρινομένου,['ἀποκρίνω'],['ἀποκρίνω'],2/2
θηρεύειν,['θηρεύω'],['θηρεύω'],3/3
σμικρὸν,"['μικρός', 'σμικρός']",['μικρός'],3/5
σάφα,['σάφα'],['σαφής'],0/1
πραχθῆναι,['πράσσω'],['πράσσω'],7/7
ὧνπερ,['ὅς'],['ὅσπερ'],0/10
μάλιστ᾽,['μάλιστα'],['μάλα'],0/22
οἵῳ,['οἷος'],['οἷος'],5/5
ἔλεξε,"['λέγω3', 'λέγω']",['λέγω'],2/8
ἔλεξα,['λέγω3'],['λέγω'],0/1
διαβάλλων,['διαβάλλω'],['διαβάλλω'],7/7
ἕνῃ,['ἕνος'],['ἕνος'],6/6
ψευδόμενος,['ψεύδω'],['ψεύδω'],5/5
νεώτεροι,"['νέος', 'νεώτερος']",['νέος'],7/9
σύμπαντες,['σύμπας'],['σύμπας'],8/8
λεχθέντας,['λέγω3'],['λέγω'],0/2
πόσεως,['πόσις2'],['πόσις'],0/1
βούλοιτο,['βούλομαι'],['βούλομαι'],32/32
παραγενομένους,['παραγίγνομαι'],['παραγίγνομαι'],10/10
προκαλουμένου,['προκαλέω'],['προκαλέω'],6/6
παρῆσαν,"['πάρειμι1', 'πάρειμι']",['πάρειμι'],5/36
οὐδεπώποτε,['οὐδεπώποτε'],['οὐδεπώποτε'],14/14
μέγισταί,['μέγας'],['μέγας'],1/1
ἔλεγχοι,['ἔλεγχος2'],['ἔλεγχος'],0/1
πιστότατοι,['πιστός1'],['πιστός'],0/1
ἐξείη,['ἔξεστι'],['ἔξειμι'],0/5
ἀνάγκαις,['ἀνάγκη'],['ἀνάγκη'],3/3
ἢν,"['ἐάν', 'εἄν']","['ἄν', 'ἐάν']",140/141
ἀποθανεῖσθαι,['ἀποθνήσκω'],['ἀποθνῄσκω'],0/6
μία,['εἷς'],['εἷς'],31/31
προὐκαλεσάμην,['προκαλέω'],['προκαλέω'],4/4
φάσκοντες,['φάσκω'],['φάσκω'],20/20
ἐθέλοντες,['ἐθέλω'],['θέλω'],0/5
ἐκδιδόναι,['ἐκδίδωμι'],['ἐκδίδωμι'],9/9
παραγενόμενοι,['παραγίγνομαι'],['παραγίγνομαι'],16/16
ἔλεγον,"['λέγω3', 'λέγω', 'λέγω2', 'λέγω1']",['λέγω'],1/56
πιστότεροι,['πιστός1'],['πιστός'],0/1
πιστὰ,"['πιστός1', 'πιστός', 'πιστός2', 'πιστόν']",['πιστός'],1/11
ὅμοια,"['ὅμοιος', 'ὁμοῖος']",['ὅμοιος'],8/15
εἰκότας,['ἔοικα'],['ἔοικα'],1/1
μεγίστω,['μέγας'],['μέγας'],1/1
ἐλθόντα,['ἔρχομαι'],['ἔρχομαι'],12/12
ἀπολελύσθαι,['ἀπολύω'],['ἀπολύω'],6/6
ἀποδεδειγμένων,['ἀποδείκνυμι'],['ἀποδείκνυμι'],2/2
μισεῖσθαι,['μισέω'],['μισέω'],6/6
ταυτησί,['οὗτος'],['οὗτος'],3/3
